chr	start	end	strand	geneName	chrInt	testIndex	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	Zscore	testStat	signedTestStat	pvalue	adjpvalue
chr9	136806942	136834340	+	RABL6	9	43986	9	27389	13946	1811005109	5	27393	7256	1811011799	12	27386	14517	1811004538	3.87389853992252	150.497109658783	150.497109658783	0	0
chr8	144147644	144261809	+	MROH1	8	40836	14	114151	13941	1810918347	10	114155	7251	1810925037	15	114150	14514	1810917774	2.85230250613805	148.939324477804	148.939324477804	0	0
chr9	136799365	136829466	+	AL355987.2	9	43984	9	30092	13946	1811002406	5	30096	7256	1811009096	12	30089	14517	1811001835	3.77978025779929	145.710399340489	145.710399340489	0	0
chr13	71439945	71867769	-	DACH1	13	58965	20	427804	13935	1810604694	18	427806	7243	1810611386	25	427799	14504	1810604125	2.01124283794593	144.192490284215	144.192490284215	0	0
chr3	49727027	49787542	-	IP6K1	3	16316	15	60500	13940	1810971998	8	60507	7253	1810978685	8	60507	14521	1810971417	3.25734405809734	142.311978021869	142.311978021869	0	0
chr19	41548517	41586843	+	CEACAM21	19	80657	14	38312	13941	1810994186	5	38321	7256	1811000871	8	38318	14521	1810993606	3.57592081181381	140.5858949268	140.5858949268	0	0
chr6	31739020	31762676	+	MSH5	6	29648	7	23649	13948	1811008849	6	23650	7255	1811015542	10	23646	14519	1811008278	3.89807530104713	134.223017834243	134.223017834243	0	0
chr22	29882212	30026495	+	MTMR3	22	87288	20	144263	13935	1810888235	9	144274	7252	1810894918	10	144273	14519	1810887651	2.61813022434837	131.863793784636	131.863793784636	0	0
chr6	31739019	31764850	+	MSH5-SAPCD1	6	29647	7	25824	13948	1811006674	6	25825	7255	1811013367	10	25821	14519	1811006103	3.81008826437516	130.262101497035	130.262101497035	0	0
chr12	6987258	7071032	+	C1S	12	53433	10	83764	13945	1810948734	8	83766	7253	1810955426	14	83760	14515	1810948164	2.96383304879941	128.959592206869	128.959592206869	0	0
chr12	56520998	56589503	+	RBMS2	12	55400	10	68495	13945	1810964003	10	68495	7251	1810970697	10	68495	14519	1810963429	3.10048157040312	128.703578269109	128.703578269109	0	0
chr6	32292955	32372912	-	TSBP1	6	29771	9	79948	13946	1810952550	7	79950	7254	1810959242	15	79942	14514	1810951982	2.97869407374262	125.804461585707	125.804461585707	0	0
chr6	32254337	32391931	+	TSBP1-AS1	6	29762	12	137582	13943	1810894916	8	137586	7253	1810901606	17	137577	14512	1810894347	2.61290303659424	124.744849907234	124.744849907234	0	0
chr11	65181461	65211987	+	CAPN1	11	50398	13	30513	13942	1811001985	1	30525	7260	1811008667	9	30517	14520	1811001407	3.64303655194403	122.764108526753	122.764108526753	0	0
chr16	14974128	15036604	+	PDXDC1	16	67497	15	62461	13940	1810970037	2	62474	7259	1810976718	11	62465	14518	1810969459	3.12356369915982	121.359692423022	121.359692423022	0	0
chr16	1679336	1699269	+	JPT2	16	66644	5	19928	13950	1811012570	4	19929	7257	1811019263	11	19922	14518	1811012002	3.92948193578806	117.948244855041	117.948244855041	0	0
chr9	137618012	137764757	+	EHMT1	9	44101	12	146733	13943	1810885765	7	146738	7254	1810892454	17	146728	14512	1810885196	2.52107407583705	115.271033382509	115.271033382509	0	0
chr17	81877666	81879557	+	AC145207.6	17	75353	3	1888	13952	1811030610	3	1888	7258	1811037304	6	1885	14523	1811030039	5.77549623877911	114.657108228188	114.657108228188	0	0
chr17	44395280	44504406	-	GPATCH8	17	73229	15	109111	13940	1810923387	6	109120	7255	1810930072	11	109115	14518	1810922809	2.69940898463167	113.03821041598	113.03821041598	0	0
chr22	40043816	40335807	+	TNRC6B	22	87879	17	291974	13938	1810740524	11	291980	7250	1810747212	18	291973	14511	1810739951	2.0783405493563	110.672807327937	110.672807327937	0	0
chr19	49555710	49581558	-	NOSIP	19	81512	9	25839	13946	1811006659	4	25844	7257	1811013348	7	25841	14522	1811006083	3.66954553253249	107.785813520197	107.785813520197	0	0
chr16	18804859	18927408	-	SMG1	16	67627	13	122536	13942	1810909962	6	122543	7255	1810916649	13	122536	14516	1810909388	2.58338309297511	106.142797928769	106.142797928769	0	0
chr17	2592653	2685615	+	PAFAH1B1	17	70601	12	92950	13943	1810939548	6	92956	7255	1810946236	11	92951	14518	1810938973	2.76121244740631	105.793493474601	105.793493474601	0	0
chr17	77958239	78106037	+	TNRC6C	17	75036	16	147782	13939	1810884716	4	147794	7257	1810891398	14	147784	14515	1810884140	2.45670388970563	104.855393026839	104.855393026839	0	0
chr19	5622138	5668327	+	SAFB	19	77981	8	46181	13947	1810986317	6	46183	7255	1810993009	9	46180	14520	1810985744	3.22877982300129	104.328561146976	104.328561146976	0	0
chr16	424648	523011	+	RAB11FIP3	16	66453	17	98346	13938	1810934152	4	98359	7257	1810940833	8	98355	14521	1810933569	2.70472984510854	102.730880465242	102.730880465242	0	0
chr17	75783805	75825799	+	UNK	17	74832	7	41987	13948	1810990511	7	41987	7254	1810997205	8	41986	14521	1810989938	3.27952595156954	101.939465640928	101.939465640928	0	0
chr16	1705192	1769140	+	MAPK8IP3	16	66648	14	63934	13941	1810968564	5	63943	7256	1810975249	6	63942	14523	1810967982	2.98684336112685	101.845779666095	101.845779666095	0	0
chr17	75343404	75373662	+	AC011933.4	17	74784	8	30250	13947	1811002248	5	30253	7256	1811008939	7	30251	14522	1811001673	3.51197811395242	101.657954428811	101.657954428811	0	0
chr12	53379638	53416446	+	SP1	12	55028	5	36803	13950	1810995695	6	36802	7255	1811002390	10	36798	14519	1810995126	3.36480789543766	100.758588036522	100.758588036522	0	0
chr11	64765651	64778760	-	SF1	11	50307	7	13102	13948	1811019396	3	13106	7258	1811026086	6	13103	14523	1811018821	4.12538024242513	100.515965436003	100.515965436003	0	0
chr6	31797395	31807966	-	LSM2	6	29657	7	10564	13948	1811021934	2	10569	7259	1811028623	6	10565	14523	1811021359	4.27606592496414	98.6858702600002	98.6858702600002	0	0
chr1	1385710	1400335	-	CCNL2	1	145	6	14619	13949	1811017879	3	14622	7258	1811024570	7	14618	14522	1811017306	4.01590384034575	97.0732402782887	97.0732402782887	0	0
chr19	49766133	49807110	+	AP2A1	19	81559	6	40971	13949	1810991527	5	40972	7256	1810998220	10	40967	14519	1810990957	3.25749052054901	96.4162400277564	96.4162400277564	0	0
chr12	54230941	54281122	-	CBX5	12	55139	8	50173	13947	1810982325	4	50177	7257	1810989015	10	50171	14519	1810981753	3.10138321772818	94.4249992863042	94.4249992863042	0	0
chr19	49594521	49626438	+	PRR12	19	81516	9	31908	13946	1811000590	4	31913	7257	1811007279	6	31911	14523	1811000013	3.40725584057953	92.7217679746682	92.7217679746682	0	0
chr9	128946698	129007096	+	NUP188	9	43497	7	60391	13948	1810972107	7	60391	7254	1810978801	9	60389	14520	1810971535	2.96051860503372	92.5503549420973	92.5503549420973	0	0
chr19	8443989	8489110	+	HNRNPM	19	78255	7	45114	13948	1810987384	2	45119	7259	1810994073	12	45109	14517	1810986815	3.16113570423453	92.5332519200165	92.5332519200165	0	0
chr9	137612678	137711013	+	AL590627.3	9	44096	8	98327	13947	1810934171	5	98330	7256	1810940862	14	98321	14515	1810933603	2.63349284867733	92.0675718131242	92.0675718131242	0	0
chr17	82101522	82213819	-	CCDC57	17	75428	8	112289	13947	1810920209	7	112290	7254	1810926902	13	112284	14516	1810919640	2.53710523843869	90.486630546744	90.486630546744	0	0
chr17	59706653	59842255	+	VMP1	17	74068	14	135588	13941	1810896910	4	135598	7257	1810903594	12	135590	14517	1810896334	2.41755489251329	90.3789150880184	90.3789150880184	0	0
chr11	68459748	68613117	+	PPP6R3	11	50796	11	153358	13944	1810879140	7	153362	7254	1810885830	13	153356	14516	1810878568	2.32723387631121	88.3139395561302	88.3139395561302	0	0
chr16	15948615	16143053	+	ABCC1	16	67553	16	194422	13939	1810838076	6	194432	7255	1810844760	12	194426	14517	1810837498	2.1823928696527	88.0441345265135	88.0441345265135	0	0
chr17	29389930	29544340	+	TAOK1	17	72079	17	154393	13938	1810878105	4	154406	7257	1810884786	10	154400	14519	1810877524	2.3204682273185	87.9355805227533	87.9355805227533	0	0
chr3	52254433	52279649	-	WDR82	3	16531	9	25207	13946	1811007291	3	25213	7258	1811013979	5	25211	14524	1811006713	3.53166429396909	87.0600746148266	87.0600746148266	0	0
chr12	19128795	19373668	+	PLEKHA5	12	53931	15	244858	13940	1810787640	8	244865	7253	1810794327	14	244859	14515	1810787065	2.03637213293294	86.3182513030479	86.3182513030479	0	0
chr16	68084343	68218090	+	NFATC3	16	69349	6	133741	13949	1810898757	10	133737	7251	1810905455	13	133734	14516	1810898190	2.39739906543236	86.3033062011236	86.3033062011236	0	0
chr16	189895	228686	-	LUC7L	16	66424	9	38782	13946	1810993716	1	38790	7260	1811000402	9	38782	14520	1810993142	3.21216739753106	85.5804307417711	85.5804307417711	0	0
chr3	52547840	52686836	-	PBRM1	3	16564	14	138982	13941	1810893516	5	138991	7256	1810900201	10	138986	14519	1810892938	2.35889823715833	84.2775542670861	84.2775542670861	0	0
chr19	6783117	6857366	+	VAV1	19	78106	12	74237	13943	1810958261	2	74247	7259	1810964945	9	74240	14520	1810957684	2.75401895653006	83.5986977518769	83.5986977518769	0	0
chr16	287440	353449	-	AXIN1	16	66436	9	66000	13946	1810966498	5	66004	7256	1810973188	8	66001	14521	1810965923	2.82718480412946	82.9858641931787	82.9858641931787	0	0
chr12	6666729	6690292	-	ZNF384	12	53349	7	23556	13948	1811008942	3	23560	7258	1811015632	6	23557	14523	1811008367	3.5388152432757	82.1614481281722	82.1614481281722	0	0
chr8	144720908	144756531	-	ZNF251	8	40908	8	35615	13947	1810996883	3	35620	7258	1811003572	7	35616	14522	1810996308	3.24327586251224	82.1520465922076	82.1520465922076	0	0
chr6	78934418	79079254	-	PHIP	6	31005	13	144823	13942	1810887675	7	144829	7254	1810894363	9	144827	14520	1810887097	2.31773529572944	82.1207352782367	82.1207352782367	0	0
chr12	123154214	123231446	-	MPHOSPH9	12	57455	12	77220	13943	1810955278	4	77228	7257	1810961964	7	77225	14522	1810954699	2.71462375143874	81.9043670365354	81.9043670365354	0	0
chr17	77143645	77214360	+	SEC14L1	17	74994	10	70705	13945	1810961793	5	70710	7256	1810968482	7	70708	14522	1810961216	2.75830819331066	80.1412290378939	80.1412290378939	0	0
chr16	233845	266120	+	FAM234A	16	66427	5	32270	13950	1811000228	3	32272	7258	1811006920	9	32266	14520	1810999658	3.28479701268615	78.9460789719597	78.9460789719597	0	0
chr1	15846706	15940456	+	SPEN	1	842	9	93741	13946	1810938757	5	93745	7256	1810945447	10	93740	14519	1810938184	2.56337051731079	78.7244505871786	78.7244505871786	0	0
chr3	47585268	47782893	-	SMARCC1	3	16092	15	197610	13940	1810834888	5	197620	7256	1810841572	12	197613	14517	1810834311	2.1054482209607	78.519878817955	78.519878817955	0	0
chr22	40824534	40857639	-	ST13	22	87908	5	33100	13950	1810999398	5	33100	7256	1811006092	7	33098	14522	1810998826	3.25940076001068	78.1154434932396	78.1154434932396	0	0
chr1	1785285	1892087	-	GNB1	1	212	11	106791	13944	1810925707	6	106796	7255	1810932396	8	106794	14521	1810925130	2.47386100379674	77.8896909485338	77.8896909485338	0	0
chr6	42563061	42620351	+	UBR2	6	30300	10	57280	13945	1810975218	2	57288	7259	1810981904	8	57282	14521	1810974642	2.87349373332915	77.1877603735775	77.1877603735775	0	0
chr17	29673839	29762390	-	SSH2	17	72104	6	88545	13949	1810943953	8	88543	7253	1810950649	9	88542	14520	1810943382	2.57784003275544	76.0594410706544	76.0594410706544	0	0
chr19	925034	975939	+	ARID3A	19	77501	6	50899	13949	1810981599	7	50898	7254	1810988294	6	50899	14523	1810981025	2.94034895982958	75.730273903464	75.730273903464	0	0
chr19	1204804	1228094	+	STK11	19	77540	4	23286	13951	1811009212	4	23286	7257	1811015906	7	23283	14522	1811008641	3.48589082414863	75.4865773635684	75.4865773635684	0	0
chr10	113853660	113917194	+	NHLRC2	10	47122	8	63526	13947	1810968972	5	63529	7256	1810975663	7	63527	14522	1810968397	2.77002974061129	73.2959152904805	73.2959152904805	0	0
chr4	1693446	1713317	-	SLBP	4	20166	4	19867	13951	1811012631	4	19867	7257	1811019325	6	19865	14523	1811012059	3.57565472277299	72.8939628917724	72.8939628917724	0	0
chr16	1631258	1686715	+	AL031708.1	16	66638	8	55449	13947	1810977049	3	55454	7258	1810983738	8	55449	14521	1810976475	2.85468943776721	72.6551002017222	72.6551002017222	0	0
chr17	82518731	82604602	+	FOXK2	17	75492	12	85859	13943	1810946639	4	85867	7257	1810953325	6	85865	14523	1810946059	2.56409306362674	72.194468258298	72.194468258298	0	0
chr19	29941238	30016612	+	URI1	19	79664	10	75364	13945	1810957134	4	75370	7257	1810963822	7	75367	14522	1810956557	2.64794210505833	72.1746922844323	72.1746922844323	0	0
chr3	47016688	47164967	-	SETD2	3	16064	13	148266	13942	1810884232	4	148275	7257	1810890917	10	148269	14519	1810883655	2.22271882178161	71.8582583115203	71.8582583115203	0	0
chr19	48208085	48256912	-	CARD8	19	81309	7	48820	13948	1810983678	3	48824	7258	1810990368	8	48819	14521	1810983105	2.92793107528602	71.3216894674115	71.3216894674115	0	0
chr17	47521956	47622006	+	NPEPPS	17	73463	7	100043	13948	1810932455	8	100042	7253	1810939150	8	100042	14521	1810931882	2.45573232763695	70.896654167329	70.896654167329	0	0
chr11	72002863	72081389	-	NUMA1	11	50946	8	78518	13947	1810953980	5	78521	7256	1810960671	8	78518	14521	1810953406	2.60696924425208	70.5783379757777	70.5783379757777	0	0
chr2	187464229	187514641	-	TFPI	2	13058	6	50406	13949	1810982092	6	50406	7255	1810988786	6	50406	14523	1810981518	2.8959805326244	70.2341070029652	70.2341070029652	0	0
chr1	155913044	155935399	-	KHDC4	1	5433	5	22350	13950	1811010148	3	22352	7258	1811016840	6	22349	14523	1811009575	3.45783862271274	69.693533346639	69.693533346639	1.11022302462516e-16	6.11780809864488e-15
chr16	67028115	67098811	+	CBFB	16	69205	9	70687	13946	1810961811	1	70695	7260	1810968497	10	70686	14519	1810961238	2.66320135600639	69.3057202849304	69.3057202849304	1.11022302462516e-16	6.11780809864488e-15
chr19	10133345	10195953	-	DNMT1	19	78392	10	62598	13945	1810969900	3	62605	7258	1810976587	6	62602	14523	1810969322	2.73338732381439	68.3281581168994	68.3281581168994	1.11022302462516e-16	6.11780809864488e-15
chr2	213005362	213151334	-	IKZF2	2	13719	4	145968	13951	1810886530	8	145964	7253	1810893228	14	145958	14515	1810885966	2.20063125829479	68.1747690417105	68.1747690417105	1.11022302462516e-16	6.11780809864488e-15
chr12	49366474	49527419	+	SPATS2	12	54709	14	160931	13941	1810871567	3	160942	7258	1810878250	10	160935	14519	1810870989	2.14073999299554	67.9315581611591	67.9315581611591	2.22044604925031e-16	1.18933611987642e-14
chr11	65260961	65298685	+	POLA2	11	50401	7	37717	13948	1810994781	4	37720	7257	1811001472	5	37719	14524	1810994205	3.06810363085631	67.6590456725098	67.6590456725098	2.22044604925031e-16	1.18933611987642e-14
chr16	89720006	89738520	+	ZNF276	16	70380	8	18506	13947	1811013992	2	18512	7259	1811020680	3	18511	14526	1811013413	3.57225290182762	67.6016407868592	67.6016407868592	2.22044604925031e-16	1.18933611987642e-14
chr11	66637666	66668374	+	RBM4	11	50637	7	30701	13948	1811001797	4	30704	7257	1811008488	4	30704	14525	1811001220	3.20933573483194	67.4835293295328	67.4835293295328	2.22044604925031e-16	1.18933611987642e-14
chr3	49939149	50077249	+	RBM6	3	16349	9	138091	13946	1810894407	4	138096	7257	1810901096	12	138088	14517	1810893836	2.21682462883935	66.2738732459257	66.2738732459257	4.44089209850063e-16	2.28288678043393e-14
chrX	154675252	154752057	-	GAB3	23	91534	4	76801	13951	1810955697	4	76801	7257	1810962391	12	76793	14517	1810955131	2.58030973341978	66.2313642748632	66.2313642748632	4.44089209850063e-16	2.28288678043393e-14
chr19	10653327	10685765	+	ILF3	19	78454	5	32433	13950	1811000065	4	32434	7257	1811006758	6	32432	14523	1810999492	3.15451872627002	65.9074404474814	65.9074404474814	4.44089209850063e-16	2.28288678043393e-14
chr12	53513441	53627000	-	ATF7	12	55068	10	113549	13945	1810918949	6	113553	7255	1810925639	7	113552	14522	1810918372	2.32906328692569	65.6033826664789	65.6033826664789	5.55111512312578e-16	2.8345844190388e-14
chr7	12210299	12243367	+	TMEM106B	7	33330	5	33063	13950	1810999435	4	33064	7257	1811006128	6	33062	14523	1810998862	3.13527996899749	65.3551893200493	65.3551893200493	6.66133814775094e-16	3.3678230721253e-14
chr16	30471750	30521779	+	ITGAL	16	68268	3	50026	13952	1810982472	4	50025	7257	1810989167	10	50019	14519	1810981905	2.84641499281472	64.7429967147764	64.7429967147764	8.88178419700125e-16	4.38903393915684e-14
chr11	116845592	117099437	-	SIK3	11	52241	13	253832	13942	1810778666	7	253838	7254	1810785354	12	253833	14517	1810778091	1.85505267060364	64.7144804379204	64.7144804379204	8.88178419700125e-16	4.38903393915684e-14
chr16	53155002	53327451	+	CHD9	16	68725	6	172443	13949	1810860055	7	172442	7254	1810866750	14	172435	14515	1810859489	2.0716910607878	64.6571755193872	64.6571755193872	8.88178419700125e-16	4.38903393915684e-14
chr8	115413921	115669007	-	TRPS1	8	40030	11	255075	13944	1810777423	4	255082	7257	1810784110	17	255069	14512	1810776855	1.85017488215017	64.451301104622	64.451301104622	9.99200722162641e-16	4.89033733636086e-14
chr13	37009499	37052646	-	SUPT20H	13	58342	7	43140	13948	1810989358	4	43143	7257	1810996049	5	43142	14524	1810988782	2.93376647120944	63.5746134704677	63.5746134704677	1.55431223447522e-15	7.34892256787836e-14
chr19	1355363	1377094	+	PWWP3A	19	77572	7	21724	13948	1811010774	3	21728	7258	1811017464	3	21728	14526	1811010196	3.41200385887327	63.5626036324538	63.5626036324538	1.55431223447522e-15	7.34892256787836e-14
chr12	53506690	53626979	-	ATF7-NPFF	12	55065	10	120279	13945	1810912219	6	120283	7255	1810918909	7	120282	14522	1810911642	2.27148113801342	63.2203720363323	63.2203720363323	1.88737914186277e-15	8.84182295846964e-14
chr17	4271979	4367628	-	UBE2G1	17	70714	8	95641	13947	1810936857	3	95646	7258	1810943546	10	95639	14519	1810936285	2.40968836857504	62.9688327342738	62.9688327342738	2.1094237467878e-15	9.82196424834112e-14
chr9	128688221	128696396	+	SET	9	43471	3	8172	13952	1811024326	3	8172	7258	1811031020	4	8171	14525	1811023753	4.12743062261373	62.8644405489322	62.8644405489322	2.22044604925031e-15	1.02454858519475e-13
chr17	28759591	28843792	-	FAM222B	17	72035	7	84194	13948	1810948304	5	84196	7256	1810954996	8	84193	14521	1810947731	2.48836096900953	62.8455352804158	62.8455352804158	2.22044604925031e-15	1.02454858519475e-13
chr20	63707089	63736141	+	ZGPAT	20	85080	3	29049	13952	1811003449	1	29051	7260	1811010141	10	29042	14519	1811002882	3.19574947663532	62.6200749053387	62.6200749053387	2.55351295663786e-15	1.1539016219096e-13
chr6	33250277	33272876	-	VPS52	6	29843	4	22595	13951	1811009903	4	22595	7257	1811016597	5	22594	14524	1811009330	3.37282987409659	62.5784449321218	62.5784449321218	2.55351295663786e-15	1.1539016219096e-13
chr5	100806932	100904282	-	ST8SIA4	5	26025	9	97341	13946	1810935157	3	97347	7258	1810941845	9	97341	14520	1810934583	2.39205865966946	62.2955624496099	62.2955624496099	2.99760216648792e-15	1.34269788270259e-13
chr4	48497356	48781279	-	FRYL	4	21099	7	283916	13948	1810748582	12	283911	7249	1810755281	14	283909	14515	1810748015	1.77385321246391	62.2511572323274	62.2511572323274	2.99760216648792e-15	1.34269788270259e-13
chr2	190879833	190935289	+	GLS	2	13142	8	55448	13947	1810977050	3	55453	7258	1810983739	6	55450	14523	1810976474	2.74341383413747	61.455380088184	61.455380088184	4.55191440096314e-15	1.98098797466916e-13
chr19	18339597	18369950	+	PGPEP1	19	79206	4	30349	13951	1811002149	4	30349	7257	1811008843	6	30347	14523	1811001577	3.15193384046392	61.4446927899262	61.4446927899262	4.55191440096314e-15	1.98098797466916e-13
chr1	35267708	35422058	+	ZMYM4	1	1841	5	154345	13950	1810878153	8	154342	7253	1810884850	12	154338	14517	1810877586	2.10556461154987	61.3525444676634	61.3525444676634	4.77395900588817e-15	2.07173592099719e-13
chr12	6493101	6531955	+	NCAPD2	12	53291	6	38848	13949	1810993650	3	38851	7258	1811000341	6	38848	14523	1810993076	2.97400926999593	60.7458104116377	60.7458104116377	6.43929354282591e-15	2.76312430763446e-13
chr1	27456197	27459582	+	FO393419.2	1	1438	3	3382	13952	1811029116	2	3383	7259	1811035809	3	3382	14526	1811028542	4.78634082967051	60.7069775612326	60.7069775612326	6.66133814775094e-15	2.85042008618426e-13
chr20	63707863	63739103	+	AL121845.3	20	85081	3	31237	13952	1811001261	1	31239	7260	1811007953	10	31230	14519	1811000694	3.12312501911824	60.6731207726989	60.6731207726989	6.77236045021346e-15	2.88985486732089e-13
chr17	7591229	7615897	-	FXR2	17	71107	5	24663	13950	1811007835	4	24664	7257	1811014528	4	24664	14525	1811007260	3.28521144635087	60.3822485014098	60.3822485014098	7.7715611723761e-15	3.28874435358092e-13
chr12	53530751	53621218	+	AC023509.6	12	55070	9	90458	13946	1810942040	5	90462	7256	1810948730	6	90461	14523	1810941463	2.41657367893334	60.2215105759678	60.2215105759678	8.43769498715119e-15	3.53161337454014e-13
chr12	55760423	55818709	-	SARNP	12	55264	8	58278	13947	1810974220	3	58283	7258	1810980909	6	58280	14523	1810973644	2.69363529582001	59.8747094855644	59.8747094855644	1.01030295240889e-14	4.20566057824778e-13
chr11	68053819	68122444	-	CHKA	11	50782	7	68618	13948	1810963880	5	68620	7256	1810970572	6	68619	14523	1810963305	2.58751122690848	59.8487552539446	59.8487552539446	1.02140518265514e-14	4.24035392766779e-13
chr9	136885515	136926607	+	TRAF2	9	44000	7	41085	13948	1810991413	2	41090	7259	1810998102	6	41086	14523	1810990838	2.91799860090242	59.1539416747401	59.1539416747401	1.45439216225896e-14	5.94128894230532e-13
chr10	103111744	103194298	-	NT5C2	10	46889	6	82548	13949	1810949950	4	82550	7257	1810956642	9	82545	14520	1810949379	2.45679230732923	58.6054015700938	58.6054015700938	1.93178806284777e-14	7.82885220496429e-13
chr12	108646566	108731843	-	CORO1C	12	56773	8	85269	13947	1810947229	4	85273	7257	1810953919	7	85270	14522	1810946654	2.4243361969421	57.4796111213509	57.4796111213509	3.41948691584548e-14	1.34315692471377e-12
chr12	38652202	38906591	-	CPNE8	12	54334	13	254376	13942	1810778122	5	254384	7256	1810784808	12	254377	14517	1810777547	1.78831439059023	57.3150863857009	57.3150863857009	3.70814490224802e-14	1.45281513446387e-12
chr22	21769203	21868440	-	MAPK1	22	86832	8	99229	13947	1810933269	3	99234	7258	1810939958	9	99228	14520	1810932696	2.32403653793681	56.866363174282	56.866363174282	4.66293670342566e-14	1.81298292791314e-12
chr1	35930257	36056462	+	AGO3	1	1871	9	126196	13946	1810906302	2	126203	7259	1810912989	11	126194	14518	1810905730	2.17898209737238	56.8424460936803	56.8424460936803	4.71844785465692e-14	1.82992158697441e-12
chr9	136440096	136484759	-	SEC16A	9	43941	5	44658	13950	1810987840	4	44659	7257	1810994533	6	44657	14523	1810987267	2.83465493621386	56.7947443458252	56.7947443458252	4.84057238736568e-14	1.87254364651654e-12
chr1	17018721	17055032	-	SDHB	1	910	6	36305	13949	1810996193	4	36307	7257	1811002885	4	36307	14525	1810995617	2.97267995364174	56.6611292174785	56.6611292174785	5.17363929475323e-14	1.99133116473178e-12
chr3	48917835	48983620	+	ARIH2	3	16208	7	65778	13948	1810966720	4	65781	7257	1810973411	6	65779	14523	1810966145	2.57259014985979	56.0553913725307	56.0553913725307	7.04991620636974e-14	2.68650911356662e-12
chr3	128725192	128814353	+	RAB7A	3	18044	8	89153	13947	1810943345	4	89157	7257	1810950035	7	89154	14522	1810942770	2.37979187406227	55.9403167439159	55.9403167439159	7.4718009557273e-14	2.84021138562746e-12
chr16	1510426	1613072	-	IFT140	16	66626	5	102641	13950	1810929857	4	102642	7257	1810936550	11	102635	14518	1810929289	2.29025717750933	55.6498112588888	55.6498112588888	8.65973959207622e-14	3.2755197731115e-12
chr11	236025	252953	+	PSMD13	11	47673	5	16923	13950	1811015575	2	16926	7259	1811022266	4	16924	14525	1811015000	3.49468441145632	55.5455162086291	55.5455162086291	9.13713549266504e-14	3.44758075399349e-12
