chr	start	end	strand	geneName	chrInt	testIndex	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	Zscore	testStat	signedTestStat	pvalue	adjpvalue
chr17	75320340	75394803	-	GRB2	17	74783	12	74451	3568	1810968422	1	74462	219	1810971771	3	74460	1209	1810970781	8	74455	3127	1810968863	4	74459	1543	1810970447	4	74459	806	1810971184	4.30844820589378	212.503515661287	212.503515661287	0	0
chr3	49727027	49787542	-	IP6K1	3	16316	10	60505	3570	1810982368	1	60514	219	1810985719	5	60510	1207	1810984731	9	60506	3126	1810982812	3	60512	1544	1810984394	1	60514	809	1810985129	4.41715223914487	198.813296514854	198.813296514854	0	0
chr3	49939149	50077249	+	RBM6	3	16349	14	138086	3566	1810904787	0	138100	220	1810908133	5	138095	1207	1810907146	9	138091	3126	1810905227	5	138095	1542	1810906811	2	138098	808	1810907545	3.7805941558614	196.124614017084	196.124614017084	0	0
chr12	54261614	54279063	+	SCAT2	12	55144	7	17442	3573	1811025431	1	17448	219	1811028785	1	17448	1211	1811027793	6	17443	3129	1811025875	3	17446	1544	1811027460	3	17446	807	1811028197	5.33742016766509	182.326012358535	182.326012358535	0	0
chr1	150363710	150473556	+	RPRD2	1	4828	10	109836	3570	1810933037	1	109845	219	1810936388	2	109844	1210	1810935397	11	109835	3124	1810933483	4	109842	1543	1810935064	3	109843	807	1810935800	3.88777241089777	180.222387334798	180.222387334798	0	0
chr19	6783117	6857366	+	VAV1	19	78106	8	74241	3572	1810968632	0	74249	220	1810971984	3	74246	1209	1810970995	9	74240	3126	1810969078	4	74245	1543	1810970661	3	74246	807	1810971397	4.14093425675136	170.399898334173	170.399898334173	0	0
chr19	48208085	48256912	-	CARD8	19	81309	10	48817	3570	1810994056	0	48827	220	1810997406	2	48825	1210	1810996416	6	48821	3129	1810994497	3	48824	1544	1810996082	3	48824	807	1810996819	4.44205021188075	165.727084920916	165.727084920916	0	0
chr3	47016688	47164967	-	SETD2	3	16064	13	148266	3567	1810894607	0	148279	220	1810897954	3	148276	1209	1810896965	8	148271	3127	1810895047	3	148276	1544	1810896630	4	148275	806	1810897368	3.58771751682555	162.065376890125	162.065376890125	0	0
chr11	65181461	65211987	+	CAPN1	11	50398	8	30518	3572	1811012355	0	30526	220	1811015707	2	30524	1210	1811014717	6	30520	3129	1811012798	4	30522	1543	1811014384	1	30525	809	1811015118	4.77799403180974	158.984379367321	158.984379367321	0	0
chr9	129887186	130044189	-	FNBP1	9	43587	12	156991	3568	1810885882	1	157002	219	1810889231	2	157001	1210	1810888240	10	156993	3125	1810886325	5	156998	1542	1810887908	1	157002	809	1810888641	3.5305407082085	158.6217040958	158.6217040958	0	0
chr17	4004444	4144030	-	ZZEF1	17	70703	7	139579	3573	1810903294	0	139586	220	1810906647	3	139583	1209	1810905658	10	139576	3125	1810903742	6	139580	1541	1810905326	4	139582	806	1810906061	3.61525319064493	158.447064523876	158.447064523876	0	0
chr1	28368739	28500364	+	PHACTR4	1	1504	7	131618	3573	1810911255	3	131622	217	1810914611	4	131621	1208	1810913620	8	131617	3127	1810911701	3	131622	1544	1810913284	4	131621	806	1810914022	3.6399857762507	154.564341684978	154.564341684978	0	0
chr22	50342330	50444374	+	PPP6R2	22	88337	12	102032	3568	1810940841	0	102044	220	1810944189	2	102042	1210	1810943199	8	102036	3127	1810941282	3	102041	1544	1810942865	2	102042	808	1810943601	3.82291557089115	153.549961873621	153.549961873621	0	0
chr11	65260961	65298685	+	POLA2	11	50401	6	37718	3574	1811005155	0	37724	220	1811008509	4	37720	1208	1811007521	6	37718	3129	1811005600	4	37720	1543	1811007186	1	37723	809	1811007920	4.56624116688277	150.174912997638	150.174912997638	0	0
chr12	6987258	7071032	+	C1S	12	53433	10	83764	3570	1810959109	0	83774	220	1810962459	4	83770	1208	1810961471	6	83768	3129	1810959550	3	83771	1544	1810961135	2	83772	808	1810961871	3.94306322266915	148.063588348217	148.063588348217	0	0
chr3	47585268	47782893	-	SMARCC1	3	16092	12	197613	3568	1810845260	0	197625	220	1810848608	5	197620	1207	1810847621	8	197617	3127	1810845701	6	197619	1541	1810847287	0	197625	810	1810848018	3.30040224180878	144.824676173797	144.824676173797	0	0
chr1	8436769	8818271	-	RERE	1	506	11	381491	3569	1810661382	0	381502	220	1810664731	6	381496	1206	1810663745	13	381489	3122	1810661829	7	381495	1540	1810663411	1	381501	809	1810664142	2.84680986372599	144.644710656255	144.644710656255	0	0
chr6	33064568	33081710	-	HLA-DPA1	6	29823	5	17137	3575	1811025736	1	17141	219	1811029092	3	17139	1209	1811028102	6	17136	3129	1811026182	1	17141	1546	1811027765	1	17141	809	1811028502	5.14343018373724	141.043924947269	141.043924947269	0	0
chr16	67028115	67098811	+	CBFB	16	69205	6	70690	3574	1810972183	1	70695	219	1810975538	4	70692	1208	1810974549	5	70691	3130	1810972627	4	70692	1543	1810974214	3	70693	807	1810974950	4.02923809685347	140.112824330456	140.112824330456	0	0
chr17	5281486	5383223	+	RABEP1	17	70842	10	101727	3570	1810941146	1	101736	219	1810944497	4	101733	1208	1810943508	7	101730	3128	1810941588	3	101734	1544	1810943172	0	101737	810	1810943906	3.74877243222777	138.557742577104	138.557742577104	0	0
chr12	6976184	7019476	-	LPCAT3	12	53432	7	43285	3573	1810999588	0	43292	220	1811002941	3	43289	1209	1811001952	6	43286	3129	1811000032	2	43290	1545	1811001616	2	43290	808	1811002353	4.3796586758844	135.648215116002	135.648215116002	0	0
chr16	68084343	68218090	+	NFATC3	16	69349	7	133740	3573	1810909133	0	133747	220	1810912486	4	133743	1208	1810911498	8	133739	3127	1810909579	6	133741	1541	1810911165	1	133746	809	1810911897	3.51449980909901	132.239841679868	132.239841679868	0	0
chr11	65260927	65326543	+	AP000944.5	11	50400	6	65610	3574	1810977263	0	65616	220	1810980617	4	65612	1208	1810979629	6	65610	3129	1810977708	4	65612	1543	1810979294	1	65615	809	1810980028	4.01264648705323	127.248670845001	127.248670845001	0	0
chr6	34587287	34697767	-	ILRUN	6	29956	9	110471	3571	1810932402	0	110480	220	1810935753	2	110478	1210	1810934763	9	110471	3126	1810932847	3	110477	1544	1810934429	1	110479	809	1810935164	3.6253999669665	127.244640213263	127.244640213263	0	0
chr1	24744446	24844321	+	CLIC4	1	1249	10	99865	3570	1810943008	0	99875	220	1810946358	3	99872	1209	1810945369	6	99869	3129	1810943449	3	99872	1544	1810945034	1	99874	809	1810945769	3.68366899115788	124.555656309181	124.555656309181	0	0
chr19	49289764	49326185	-	SLC6A16	19	81458	6	36415	3574	1811006458	0	36421	220	1811009812	1	36420	1211	1811008821	8	36413	3127	1811006905	1	36420	1546	1811008486	2	36419	808	1811009224	4.44694120153472	124.479373687995	124.479373687995	0	0
chr1	15846706	15940456	+	SPEN	1	842	9	93741	3571	1810949132	0	93750	220	1810952483	4	93746	1208	1810951495	5	93745	3130	1810949573	2	93748	1545	1810951158	2	93748	808	1810951895	3.70241398383422	119.9463680833	119.9463680833	0	0
chr1	153809809	153923030	-	GATAD2B	1	5149	8	113213	3572	1810929660	0	113221	220	1810933012	2	113219	1210	1810932022	11	113210	3124	1810930108	2	113219	1545	1810931687	0	113221	810	1810932422	3.55823292474737	118.940566666075	118.940566666075	0	0
chr1	27233667	27308244	+	WDTC1	1	1417	7	74570	3573	1810968303	0	74577	220	1810971656	3	74574	1209	1810970667	5	74572	3130	1810968746	3	74574	1544	1810970332	2	74575	808	1810971068	3.83573108323226	114.254946532194	114.254946532194	0	0
chr17	75167867	75183956	-	SUMO2	17	74747	4	16085	3576	1811026788	0	16089	220	1811030144	3	16086	1209	1811029155	3	16086	3132	1811027232	2	16087	1545	1811028819	2	16087	808	1811029556	5.01235562793255	112.511018882797	112.511018882797	0	0
chr1	155335267	155563693	-	ASH1L	1	5388	8	228418	3572	1810814455	0	228426	220	1810817807	3	228423	1209	1810816818	12	228414	3123	1810814904	3	228423	1544	1810816483	1	228425	809	1810817218	3.01700279144306	111.497767942492	111.497767942492	0	0
chr19	54353623	54371558	-	LAIR1	19	82220	4	17931	3576	1811024942	1	17934	219	1811028299	1	17934	1211	1811027307	4	17931	3131	1811025387	3	17932	1544	1811026974	1	17934	809	1811027709	4.90371503565409	109.490795078571	109.490795078571	0	0
chr17	77143645	77214360	+	SEC14L1	17	74994	7	70708	3573	1810972165	0	70715	220	1810975518	1	70714	1211	1810974527	4	70711	3131	1810972607	6	70709	1541	1810974197	1	70714	809	1810974929	3.83751907689136	108.610408138367	108.610408138367	0	0
chr4	2842972	2929307	+	ADD1	4	20243	5	86330	3575	1810956543	0	86335	220	1810959898	2	86333	1210	1810958908	6	86329	3129	1810956989	5	86330	1542	1810958576	2	86333	808	1810959310	3.68931297499887	108.534793951607	108.534793951607	0	0
chr17	80544467	80966368	+	RPTOR	17	75225	10	421891	3570	1810620982	0	421901	220	1810624332	6	421895	1206	1810623346	9	421892	3126	1810621426	4	421897	1543	1810623009	3	421898	807	1810623745	2.57370391672227	105.513385013677	105.513385013677	0	0
chr11	68459748	68613117	+	PPP6R3	11	50796	8	153361	3572	1810889512	1	153368	219	1810892865	4	153365	1208	1810891876	6	153363	3129	1810889955	3	153366	1544	1810891540	1	153368	809	1810892275	3.2546930025084	105.443769722478	105.443769722478	0	0
chr1	27456197	27459582	+	FO393419.2	1	1438	5	3380	3575	1811039493	1	3384	219	1811042849	0	3385	1212	1811041856	3	3382	3132	1811039936	1	3384	1546	1811041522	0	3385	810	1811042258	6.23478616578111	104.718445084756	104.718445084756	0	0
chr6	34279678	34393669	-	NUDT3	6	29940	7	113984	3573	1810928889	0	113991	220	1810932242	2	113989	1210	1810931252	9	113982	3126	1810929336	2	113989	1545	1810930917	1	113990	809	1810931653	3.46028758758821	104.611450167315	104.611450167315	0	0
chr17	75343404	75373662	+	AC011933.4	17	74784	6	30252	3574	1811012621	1	30257	219	1811015976	1	30257	1211	1811014984	4	30254	3131	1811013064	2	30256	1545	1811014650	1	30257	809	1811015386	4.44972227150271	103.819454889512	103.819454889512	0	0
chr12	7094553	7110214	-	C1RL	12	53442	2	15659	3578	1811027214	1	15660	219	1811030573	2	15659	1210	1811029582	4	15657	3131	1811027661	2	15659	1545	1811029247	2	15659	808	1811029984	4.96510531605348	103.255740557099	103.255740557099	0	0
chr16	69565061	69697840	+	NFAT5	16	69451	4	132775	3576	1810910098	1	132778	219	1810913455	3	132776	1209	1810912465	8	132771	3127	1810910547	1	132778	1546	1810912128	4	132775	806	1810912868	3.30770442391132	98.4210411499371	98.4210411499371	0	0
chr11	63680495	63758421	+	RTN3	11	50161	7	77919	3573	1810964954	0	77926	220	1810968307	3	77923	1209	1810967318	5	77921	3130	1810965397	2	77924	1545	1810966982	1	77925	809	1810967718	3.68624162787681	97.5767861328204	97.5767861328204	0	0
chr1	17307194	17334796	+	PADI4	1	919	4	27598	3576	1811015275	0	27602	220	1811018631	2	27600	1210	1811017641	3	27599	3132	1811015719	3	27599	1544	1811017307	2	27600	808	1811018043	4.47251063347698	97.5301185623976	97.5301185623976	0	0
chr6	34286968	34427046	-	RPS10-NUDT3	6	29943	7	140071	3573	1810902802	0	140078	220	1810906155	2	140076	1210	1810905165	9	140069	3126	1810903249	2	140076	1545	1810904830	1	140077	809	1810905566	3.2541851208915	96.2579458768014	96.2579458768014	0	0
chr22	40044473	40323360	+	TNRC6B	22	87880	8	278879	3572	1810763994	0	278887	220	1810767346	4	278883	1208	1810766358	7	278880	3128	1810764438	4	278883	1543	1810766023	3	278884	807	1810766759	2.77953888178683	95.7063019942725	95.7063019942725	0	0
chr17	7856685	7886209	-	NAA38	17	71159	6	29518	3574	1811013355	0	29524	220	1811016709	1	29523	1211	1811015718	3	29521	3132	1811013797	2	29522	1545	1811015384	2	29522	808	1811016121	4.40518646567978	95.6674467888079	95.6674467888079	0	0
chr19	1107640	1175256	-	SBNO2	19	77538	7	67609	3573	1810975264	0	67616	220	1810978617	3	67613	1209	1810977628	2	67614	3133	1810975704	3	67613	1544	1810977293	2	67614	808	1810978029	3.77091341864715	94.9668534087832	94.9668534087832	0	0
chr12	56520998	56589503	+	RBMS2	12	55400	7	68498	3573	1810974375	0	68505	220	1810977728	3	68502	1209	1810976739	5	68500	3130	1810974818	1	68504	1546	1810976402	1	68504	809	1810977139	3.75785004864334	94.5330258153263	94.5330258153263	0	0
chr22	27978013	28680865	-	TTC28	22	87180	8	702844	3572	1810340029	1	702851	219	1810343382	7	702845	1205	1810342396	10	702842	3125	1810340476	5	702847	1542	1810342059	5	702847	805	1810342796	2.18133234142927	93.0864435250987	93.0864435250987	0	0
chr6	31739020	31762676	+	MSH5	6	29648	5	23651	3575	1811019222	0	23656	220	1811022577	2	23654	1210	1811021587	4	23652	3131	1811019666	2	23654	1545	1811021252	0	23656	810	1811021987	4.55259102039147	92.6239767287043	92.6239767287043	0	0
chr6	35580556	35689942	-	FKBP5	6	30006	8	109378	3572	1810933495	0	109386	220	1810936847	3	109383	1209	1810935858	4	109382	3131	1810933936	4	109382	1543	1810935524	0	109386	810	1810936257	3.40124998645111	92.4812139234855	92.4812139234855	0	0
chr16	1677276	1701490	+	JPT2	16	66639	4	24210	3576	1811018663	0	24214	220	1811022019	2	24212	1210	1811021029	5	24209	3130	1811019109	1	24213	1546	1811020693	1	24213	809	1811021430	4.52927350727717	92.0242323050625	92.0242323050625	0	0
chr17	44486152	44487815	-	AC103703.1	17	73231	2	1661	3578	1811041212	0	1663	220	1811044570	2	1661	1210	1811043580	1	1662	3134	1811041656	2	1661	1545	1811043245	1	1662	809	1811043981	6.72262486031796	91.5660491050221	91.5660491050221	0	0
chr6	31739019	31764850	+	MSH5-SAPCD1	6	29647	5	25826	3575	1811017047	0	25831	220	1811020402	2	25829	1210	1811019412	4	25827	3131	1811017491	2	25829	1545	1811019077	0	25831	810	1811019812	4.46462028957737	90.3621119551826	90.3621119551826	0	0
chr6	31879758	31898202	-	EHMT2	6	29676	3	18441	3577	1811024432	1	18443	219	1811027790	1	18443	1211	1811026798	2	18442	3133	1811024876	2	18442	1545	1811026464	3	18441	807	1811027202	4.72135755716692	89.5109578236006	89.5109578236006	0	0
chr1	27408196	27491051	-	WASF2	1	1437	9	82846	3571	1810960027	1	82854	219	1810963379	1	82854	1211	1810962387	4	82851	3131	1810960467	2	82853	1545	1810962053	0	82855	810	1810962788	3.56764653916843	88.2327463299153	88.2327463299153	0	0
chr17	78674047	78783272	-	CYTH1	17	75103	5	109220	3575	1810933653	0	109225	220	1810937008	4	109221	1208	1810936020	6	109219	3129	1810934099	2	109223	1545	1810935683	1	109224	809	1810936419	3.34855830696816	85.783554585767	85.783554585767	0	0
chr9	132261355	132355986	-	SETX	9	43682	5	94626	3575	1810948247	1	94630	219	1810951603	3	94628	1209	1810950613	5	94626	3130	1810948692	2	94629	1545	1810950277	1	94630	809	1810951013	3.4347409786907	83.8506657851394	83.8506657851394	0	0
chr11	73405982	73599098	-	FAM168A	11	51075	9	193107	3571	1810849766	1	193115	219	1810853118	1	193115	1211	1810852126	7	193109	3128	1810850209	2	193114	1545	1810851792	1	193115	809	1810852528	2.93305440941821	83.3859548609471	83.3859548609471	0	0
chr19	48899319	48923271	+	NUCB1	19	81406	4	23948	3576	1811018925	0	23952	220	1811022281	2	23950	1210	1811021291	3	23949	3132	1811019369	2	23950	1545	1811020956	1	23951	809	1811021692	4.46000626341636	83.3028466869728	83.3028466869728	0	0
chr2	43230851	43596974	-	THADA	2	9650	9	366114	3571	1810676759	0	366123	220	1810680110	0	366123	1212	1810679118	9	366114	3126	1810677204	4	366119	1543	1810678787	4	366119	806	1810679524	2.50732279201671	82.5633142781444	82.5633142781444	0	0
chr3	51395866	51500994	-	DCAF1	3	16446	4	105124	3576	1810937749	0	105128	220	1810941105	3	105125	1209	1810940116	4	105124	3131	1810938194	5	105123	1542	1810939783	1	105127	809	1810940516	3.32953738308518	80.395588305546	80.395588305546	0	0
chr1	25429896	25500209	+	MACO1	1	1286	9	70304	3571	1810972569	0	70313	220	1810975920	2	70311	1210	1810974930	4	70309	3131	1810973009	0	70313	1547	1810974593	0	70313	810	1810975330	3.60643698500213	78.9865492151002	78.9865492151002	0	0
chr20	44965521	45075608	+	STK4	20	84255	6	110081	3574	1810932792	0	110087	220	1810936146	2	110085	1210	1810935156	5	110082	3130	1810933236	3	110084	1544	1810934822	1	110086	809	1810935557	3.28344059963247	78.8858563940739	78.8858563940739	0	0
chr6	13621497	13712835	-	RANBP9	6	28829	7	91331	3573	1810951542	0	91338	220	1810954895	1	91337	1211	1810953904	3	91335	3132	1810951983	4	91334	1543	1810953572	1	91337	809	1810954306	3.40943995567668	78.136559851002	78.136559851002	0	0
chr5	177133228	177295762	+	NSD1	5	28123	7	162527	3573	1810880346	0	162534	220	1810883699	2	162532	1210	1810882709	6	162528	3129	1810880790	2	162532	1545	1810882374	2	162532	808	1810883111	3.00520281486721	78.0482396388543	78.0482396388543	0	0
chr17	2416048	2512888	-	METTL16	17	70597	6	96834	3574	1810946039	0	96840	220	1810949393	1	96839	1211	1810948402	3	96837	3132	1810946481	5	96835	1542	1810948071	1	96839	809	1810948804	3.35094133385404	76.3284657376353	76.3284657376353	0	0
chr16	15867419	15889614	-	FOPNL	16	67549	2	22193	3578	1811020680	1	22194	219	1811024039	2	22193	1210	1811023048	2	22193	3133	1811021125	2	22193	1545	1811022713	2	22193	808	1811023450	4.44908405884888	76.124488544825	76.124488544825	0	0
chr22	24269882	24414773	+	SPECC1L	22	87004	4	144887	3576	1810897986	1	144890	219	1810901343	4	144887	1208	1810900354	6	144885	3129	1810898433	1	144890	1546	1810900016	2	144889	808	1810900754	3.06595721922719	76.0238410717575	76.0238410717575	0	0
chr11	65502704	65504689	+	MALAT1	11	50439	2	1983	3578	1811040890	0	1985	220	1811044248	0	1985	1212	1811043256	3	1982	3132	1811041336	1	1984	1546	1811042922	1	1984	809	1811043659	6.4116971098595	75.7762527478626	75.7762527478626	0	0
chr19	47129894	47210170	+	SAE1	19	81231	6	80270	3574	1810962603	0	80276	220	1810965957	1	80275	1211	1810964966	5	80271	3130	1810963047	3	80273	1544	1810964633	0	80276	810	1810965367	3.47391120157423	75.1264456193312	75.1264456193312	0	0
chr3	49316731	49341036	-	USP4	3	16262	3	24302	3577	1811018571	1	24304	219	1811021929	1	24304	1211	1811020937	4	24301	3131	1811019017	1	24304	1546	1811020602	1	24304	809	1811021339	4.35825762211859	74.1508959519561	74.1508959519561	0	0
chr19	15268263	15333540	-	BRD4	19	78915	3	65274	3577	1810977599	0	65277	220	1810980956	2	65275	1210	1810979966	5	65272	3130	1810978046	3	65274	1544	1810979632	1	65276	809	1810980367	3.61166877602991	73.8645585478516	73.8645585478516	0	0
chr17	31093976	31377675	+	NF1	17	72192	6	283693	3574	1810759180	0	283699	220	1810762534	3	283696	1209	1810761545	7	283692	3128	1810759626	4	283695	1543	1810761211	2	283697	808	1810761946	2.59498960458561	73.4241432724521	73.4241432724521	0	0
chr15	68053575	68188064	+	PIAS1	15	64998	5	134484	3575	1810908389	1	134488	219	1810911745	3	134486	1209	1810910755	5	134484	3130	1810908834	2	134487	1545	1810910419	1	134488	809	1810911155	3.08320903005351	72.3611747763353	72.3611747763353	0	0
chr1	27977272	28089564	-	EYA3	1	1488	6	112286	3574	1810930587	0	112292	220	1810933941	2	112290	1210	1810932951	6	112286	3129	1810931032	2	112290	1545	1810932616	0	112292	810	1810933351	3.20288484706064	71.7699980962789	71.7699980962789	0	0
chr20	63707089	63736141	+	ZGPAT	20	85080	3	29049	3577	1811013824	0	29052	220	1811017181	2	29050	1210	1811016191	3	29049	3132	1811014269	1	29051	1546	1811015855	2	29050	808	1811016593	4.17983218828745	70.2807958220947	70.2807958220947	0	0
chr22	24269897	24442356	+	SPECC1L-ADORA2A	22	87005	4	172455	3576	1810870418	1	172458	219	1810873775	4	172455	1208	1810872786	6	172453	3129	1810870865	1	172458	1546	1810872448	2	172457	808	1810873186	2.89175948748962	70.0726220699144	70.0726220699144	1.11022302462516e-16	2.08241832186448e-15
chr17	4271979	4367628	-	UBE2G1	17	70714	5	95644	3575	1810947229	0	95649	220	1810950584	4	95645	1208	1810949596	4	95645	3131	1810947673	2	95647	1545	1810949259	0	95649	810	1810949994	3.29868103139681	70.0479827185627	70.0479827185627	1.11022302462516e-16	2.08241832186448e-15
chr17	75783805	75825799	+	UNK	17	74832	3	41991	3577	1811000882	1	41993	219	1811004240	1	41993	1211	1811003248	6	41988	3129	1811001330	0	41994	1547	1811002912	1	41993	809	1811003650	3.89847024158538	70.0358845348819	70.0358845348819	1.11022302462516e-16	2.08241832186448e-15
chr20	63707863	63739103	+	AL121845.3	20	85081	3	31237	3577	1811011636	0	31240	220	1811014993	2	31238	1210	1811014003	3	31237	3132	1811012081	1	31239	1546	1811013667	2	31238	808	1811014405	4.10721268377924	68.7086165550863	68.7086165550863	1.11022302462516e-16	2.08241832186448e-15
chr3	52548010	52680714	-	PBRM1	3	16570	7	132697	3573	1810910176	1	132703	219	1810913530	3	132701	1209	1810912540	5	132699	3130	1810910619	0	132704	1547	1810912202	0	132704	810	1810912939	3.03584998346518	66.6617594417767	66.6617594417767	3.33066907387547e-16	6.06007129621237e-15
chr4	52294	87521	+	ZNF595	4	20045	3	35224	3577	1811007649	0	35227	220	1811011006	2	35225	1210	1811010016	3	35224	3132	1811008094	1	35226	1546	1811009680	2	35225	808	1811010418	3.9870875068937	66.1122168093571	66.1122168093571	4.44089209850063e-16	7.99031622759854e-15
chr9	122940019	123104866	+	RABGAP1	9	43163	6	164841	3574	1810878032	1	164846	219	1810881387	2	164845	1210	1810880396	4	164843	3131	1810878475	3	164844	1544	1810880062	1	164846	809	1810880797	2.87965137729686	65.7924898136989	65.7924898136989	5.55111512312578e-16	9.87813819345973e-15
chr11	9663076	9751821	+	SWAP70	11	48448	4	88741	3576	1810954132	0	88745	220	1810957488	2	88743	1210	1810956498	3	88742	3132	1810954576	3	88742	1544	1810956164	2	88743	808	1810956900	3.30451501115428	65.5366805518279	65.5366805518279	5.55111512312578e-16	9.87813819345973e-15
chr12	122503453	122527936	-	RSRC2	12	57400	3	24480	3577	1811018393	0	24483	220	1811021750	2	24481	1210	1811020760	4	24479	3131	1811018839	1	24482	1546	1811020424	0	24483	810	1811021160	4.25554464801727	65.3844002134283	65.3844002134283	6.66133814775094e-16	1.17249205513674e-14
chr14	103385029	103503227	+	MARK3	14	62824	6	118192	3574	1810924681	1	118197	219	1810928036	2	118196	1210	1810927045	3	118195	3132	1810925123	2	118196	1545	1810926710	1	118197	809	1810927446	3.0869855347426	63.958805561706	63.958805561706	1.22124532708767e-15	2.14180859169383e-14
chr12	57693144	57721024	+	OS9	12	55537	3	27877	3577	1811014996	0	27880	220	1811018353	2	27878	1210	1811017363	2	27878	3133	1811015440	2	27878	1545	1811017028	1	27879	809	1811017764	4.12560037120713	62.825037231145	62.825037231145	2.22044604925031e-15	3.79821369973874e-14
chr12	123154214	123231446	-	MPHOSPH9	12	57455	4	77228	3576	1810965645	0	77232	220	1810969001	2	77230	1210	1810968011	5	77227	3130	1810966091	1	77231	1546	1810967675	1	77231	809	1810968412	3.36927378360353	62.4803994058748	62.4803994058748	2.66453525910038e-15	4.46355596162401e-14
chr12	57694131	57722510	-	AC025165.2	12	55534	3	28376	3577	1811014497	0	28379	220	1811017854	2	28377	1210	1811016864	2	28377	3133	1811014941	2	28377	1545	1811016529	1	28378	809	1811017265	4.10785874851542	62.4760086376919	62.4760086376919	2.66453525910038e-15	4.46355596162401e-14
chr14	81180208	81222231	-	GTF2A1	14	61961	2	42021	3578	1811000852	1	42022	219	1811004211	2	42021	1210	1811003220	2	42021	3133	1811001297	3	42020	1544	1811002886	1	42022	809	1811003621	3.81066751743679	62.3099432719173	62.3099432719173	2.88657986402541e-15	4.75356100997811e-14
chr9	125747198	125967377	+	PBX3	9	43260	3	220176	3577	1810822697	1	220178	219	1810826055	3	220176	1209	1810825065	6	220173	3129	1810823145	3	220176	1544	1810824730	2	220177	808	1810825466	2.64744643835109	61.8310577620287	61.8310577620287	3.77475828372553e-15	6.19519450754684e-14
chr9	128946698	129007096	+	NUP188	9	43497	4	60394	3576	1810982479	0	60398	220	1810985835	1	60397	1211	1810984844	3	60395	3132	1810982923	3	60395	1544	1810984511	1	60397	809	1810985246	3.53501016033288	61.5265815955936	61.5265815955936	4.32986979603811e-15	6.98820846151267e-14
chr1	154219848	154263505	+	UBAP2L	1	5205	3	43654	3577	1810999219	0	43657	220	1811002576	2	43655	1210	1811001586	4	43653	3131	1810999665	2	43655	1545	1811001251	0	43657	810	1811001986	3.77251773725224	61.4896284503047	61.4896284503047	4.44089209850063e-15	7.14366020348213e-14
