chr	start	end	strand	geneName	chrInt	testIndex	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	Zscore	testStat	signedTestStat	pvalue	adjpvalue
chr12	48997371	49019197	+	DDN-AS1	12	54664	2	21824	3917	1811020710	6	21820	3992	1811020635	5	21821	4528	1811020099	0	21826	3086	1811021541	1	21825	13954	1811010673	0	21826	7261	1811017366	1	21825	14528	1811010099	2.70595649126021	20.7183460972738	20.7183460972738	5.32038080469643e-06	0.0019363346183007
chr19	1107637	1175268	-	SBNO2	19	77537	2	67629	3917	1810974905	7	67624	3991	1810974831	6	67625	4527	1810974295	2	67629	3084	1810975738	2	67629	13953	1810964869	1	67630	7260	1810971562	2	67629	14527	1810964295	2.05802335338988	20.6381469937041	20.6381469937041	5.54795900320482e-06	0.0019495336927169
chr2	218453500	218569341	-	USP37	2	13885	2	115839	3917	1810926695	2	115839	3996	1810926616	5	115836	4528	1810926084	2	115839	3084	1810927528	0	115841	13955	1810916657	0	115841	7261	1810923351	1	115840	14528	1810916084	3.2318512230267	20.1143954717554	20.1143954717554	7.29455652448419e-06	0.00238222394545226
chr1	97077742	97922034	-	DPYD	1	3759	1	844291	3918	1810198243	0	844292	3998	1810198163	1	844291	4532	1810197629	0	844292	3086	1810199075	19	844273	13936	1810188225	11	844281	7250	1810194911	14	844278	14515	1810187646	-2.25890741685826	20.0963450537529	-20.0963450537529	7.36372643950212e-06	0.00238222394545226
chr19	41548517	41586843	+	CEACAM21	19	80657	0	38326	3919	1811004208	0	38326	3998	1811004129	0	38326	4533	1811003594	0	38326	3086	1811005041	14	38312	13941	1810994186	5	38321	7256	1811000871	8	38318	14521	1810993606	-12.7704590852644	19.4980010881554	-19.4980010881554	1.00705010434021e-05	0.00320698252758717
chr13	113887305	113923512	+	LINC00452	13	59652	1	36206	3918	1811006328	2	36205	3996	1811006250	1	36206	4532	1811005714	4	36203	3082	1811007164	0	36207	13955	1810996291	0	36207	7261	1811002985	0	36207	14529	1810995717	13.5078371767727	19.1095535415225	19.1095535415225	1.2342551109823e-05	0.00339956634836065
chr6	35341613	35425393	+	PPARD	6	29992	2	83778	3917	1810958756	3	83777	3995	1810958678	1	83779	4532	1810958141	2	83778	3084	1810959589	0	83780	13955	1810948718	0	83780	7261	1810955412	0	83780	14529	1810948144	13.5077855599198	19.1094880730379	19.1094880730379	1.23429744970371e-05	0.00339956634836065
chr3	170417867	170860380	+	AC026316.4	3	19105	4	442509	3915	1810600025	2	442511	3996	1810599944	2	442511	4531	1810599409	0	442513	3086	1810600854	0	442513	13955	1810589985	0	442513	7261	1810596679	0	442513	14529	1810589411	13.5077537094956	19.1094444752671	19.1094444752671	1.23432564534953e-05	0.00339956634836065
chr2	213005362	213151334	-	IKZF2	2	13719	0	145972	3919	1810896562	0	145972	3998	1810896483	0	145972	4533	1810895948	0	145972	3086	1810897395	4	145968	13951	1810886530	8	145964	7253	1810893228	14	145958	14515	1810885966	-12.7324904392321	18.7735960755963	-18.7735960755963	1.4719086314563e-05	0.0038460784167833
chrX	123960313	124102656	+	STAG2	23	90768	0	142343	3919	1810900191	3	142340	3995	1810900115	4	142339	4529	1810899581	5	142338	3081	1810901029	1	142342	13954	1810890156	0	142343	7261	1810896849	1	142342	14528	1810889582	2.62574738702578	18.6258719279431	18.6258719279431	1.59047412733315e-05	0.00390548938996722
chr16	30703066	30745169	+	AC106886.6	16	68302	2	42101	3917	1811000433	3	42100	3995	1811000355	10	42093	4523	1810999827	5	42098	3081	1811001269	4	42099	13951	1810990399	2	42101	7259	1810997091	3	42100	14526	1810989824	1.63284632980807	18.3500096926	18.3500096926	1.83818049754869e-05	0.00445999484768332
chr21	16070210	16488346	+	MIR99AHG	21	85371	0	418136	3919	1810624398	0	418136	3998	1810624319	0	418136	4533	1810623784	0	418136	3086	1810625231	8	418128	13947	1810614370	5	418131	7256	1810621061	12	418124	14517	1810613800	-12.6931965287224	18.0508845904842	-18.0508845904842	2.15078688747816e-05	0.0046803789284903
chr17	17847468	17973397	-	TOM1L2	17	71611	2	125927	3917	1810916607	1	125928	3997	1810916527	3	125926	4530	1810915994	4	125925	3082	1810917442	0	125929	13955	1810906569	0	125929	7261	1810913263	1	125928	14528	1810905996	3.13647297650646	17.9072227533907	17.9072227533907	2.31939201686959e-05	0.0046803789284903
chr9	35160991	35405334	+	UNC13B	9	41622	5	244338	3914	1810798196	2	244341	3996	1810798114	1	244342	4532	1810797578	2	244341	3084	1810799026	1	244342	13954	1810788156	0	244343	7261	1810794849	0	244343	14529	1810787581	3.13646463853724	17.9072151831351	17.9072151831351	2.31940124265639e-05	0.0046803789284903
chr13	101451666	101720856	+	ITGBL1	13	59377	3	269187	3916	1810773347	1	269189	3997	1810773266	4	269186	4529	1810772734	2	269188	3084	1810774179	1	269189	13954	1810763309	0	269190	7261	1810770002	0	269190	14529	1810762734	3.13646382011603	17.9072119710036	17.9072119710036	2.31940515725837e-05	0.0046803789284903
chr1	1385710	1400335	-	CCNL2	1	145	10	14615	3909	1811027919	7	14618	3991	1811027837	6	14619	4527	1811027301	3	14622	3083	1811028745	6	14619	13949	1811017879	3	14622	7258	1811024570	7	14618	14522	1811017306	1.32006961810156	17.8365648582112	17.8365648582112	2.4071281256588e-05	0.00480977238520117
chr19	6771707	6857361	+	VAV1	19	78103	0	85654	3919	1810956880	0	85654	3998	1810956801	0	85654	4533	1810956266	0	85654	3086	1810957713	12	85642	13943	1810946856	2	85652	7259	1810953540	10	85644	14519	1810946280	-12.6524319977547	17.3294285400771	-17.3294285400771	3.14281918913917e-05	0.00528585174315679
chr3	47016688	47164967	-	SETD2	3	16064	4	148275	3915	1810894259	3	148276	3995	1810894179	12	148267	4521	1810893653	15	148264	3071	1810895103	13	148266	13942	1810884232	4	148275	7257	1810890917	10	148269	14519	1810883655	1.06521029229114	16.954493337078	16.954493337078	3.82865937859078e-05	0.00528585174315679
chr7	100874102	100888664	+	SRRT	7	35578	3	14559	3916	1811027975	3	14559	3995	1811027896	1	14561	4532	1811027359	0	14562	3086	1811028805	0	14562	13955	1811017936	0	14562	7261	1811024630	0	14562	14529	1811017362	13.3743593188467	16.7206596762408	16.7206596762408	4.3306820664557e-05	0.00528585174315679
chr3	129170101	129184910	-	CNBP	3	18079	0	14809	3919	1811027725	1	14808	3997	1811027647	3	14806	4530	1811027114	3	14806	3083	1811028561	0	14809	13955	1811017689	0	14809	7261	1811024383	0	14809	14529	1811017115	13.3743558394998	16.7206524501089	16.7206524501089	4.33069856118351e-05	0.00528585174315679
chr1	9848275	9911269	-	CTNNBIP1	1	552	0	62994	3919	1810979540	3	62991	3995	1810979464	4	62990	4529	1810978930	0	62994	3086	1810980373	0	62994	13955	1810969504	0	62994	7261	1810976198	0	62994	14529	1810968930	13.3741987629431	16.7204902782105	16.7204902782105	4.33106875926681e-05	0.00528585174315679
chr1	43388898	43454247	+	SZT2	1	2257	0	65349	3919	1810977185	2	65347	3996	1810977108	3	65346	4530	1810976574	2	65347	3084	1810978020	0	65349	13955	1810967149	0	65349	7261	1810973843	0	65349	14529	1810966575	13.3741970238153	16.7204853629228	16.7204853629228	4.33107998014659e-05	0.00528585174315679
chr10	73167118	73244504	+	FAM149B1	10	45847	4	77382	3915	1810965152	1	77385	3997	1810965070	0	77386	4533	1810964534	2	77384	3084	1810965983	0	77386	13955	1810955112	0	77386	7261	1810961806	0	77386	14529	1810954538	13.3741897928868	16.7204792485572	16.7204792485572	4.33109393837006e-05	0.00528585174315679
chr11	123069871	123196248	-	CLMP	11	52591	1	126376	3918	1810916158	1	126376	3997	1810916079	3	126374	4530	1810915546	2	126375	3084	1810916992	0	126377	13955	1810906121	0	126377	7261	1810912815	0	126377	14529	1810905547	13.3741745544416	16.7204635834787	16.7204635834787	4.3311296997417e-05	0.00528585174315679
chr3	12288070	12434339	+	PPARG	3	15099	1	146268	3918	1810896266	2	146267	3996	1810896188	2	146267	4531	1810895653	2	146267	3084	1810897100	0	146269	13955	1810886229	0	146269	7261	1810892923	0	146269	14529	1810885655	13.3741712803198	16.7204634072259	16.7204634072259	4.33113010210873e-05	0.00528585174315679
chr10	93306429	93483194	-	MYOF	10	46427	2	176763	3917	1810865771	1	176764	3997	1810865691	2	176763	4531	1810865157	2	176763	3084	1810866604	0	176765	13955	1810855733	0	176765	7261	1810862427	0	176765	14529	1810855159	13.3741676945666	16.7204581010155	16.7204581010155	4.33114221557451e-05	0.00528585174315679
chr9	113875281	114050221	+	ZNF618	9	42964	3	174937	3916	1810867597	1	174939	3997	1810867516	2	174938	4531	1810866982	1	174939	3085	1810868428	0	174940	13955	1810857558	0	174940	7261	1810864252	0	174940	14529	1810856984	13.3741678766785	16.7204568730667	16.7204568730667	4.33114501884324e-05	0.00528585174315679
chr8	32547209	32760989	+	NRG1	8	38262	1	213779	3918	1810828755	0	213780	3998	1810828675	3	213777	4530	1810828143	3	213777	3083	1810829590	0	213780	13955	1810818718	0	213780	7261	1810825412	0	213780	14529	1810818144	13.3741647142173	16.7204538569786	16.7204538569786	4.3311519042466e-05	0.00528585174315679
chr4	20252563	20620559	+	SLIT2	4	20640	0	367996	3919	1810674538	4	367992	3994	1810674463	2	367994	4531	1810673926	1	367995	3085	1810675372	0	367996	13955	1810664502	0	367996	7261	1810671196	0	367996	14529	1810663928	13.3741587534523	16.7204480578657	16.7204480578657	4.33116514302334e-05	0.00528585174315679
chr11	131910467	132315070	+	NTM	11	52928	0	404603	3919	1810637931	2	404601	3996	1810637854	4	404599	4529	1810637321	1	404602	3085	1810638765	0	404603	13955	1810627895	0	404603	7261	1810634589	0	404603	14529	1810627321	13.3741580062015	16.7204478406347	16.7204478406347	4.33116563893776e-05	0.00528585174315679
chr4	65319562	65671343	-	EPHA5	4	21359	0	351781	3919	1810690753	2	351779	3996	1810690676	1	351780	4532	1810690140	4	351777	3082	1810691590	0	351781	13955	1810680717	0	351781	7261	1810687411	0	351781	14529	1810680143	13.3741591343407	16.7204470899887	16.7204470899887	4.3311673525892e-05	0.00528585174315679
chr2	58519752	59061653	+	LINC01122	2	10015	0	541901	3919	1810500633	0	541901	3998	1810500554	0	541901	4533	1810500019	0	541901	3086	1810501466	8	541893	13947	1810490605	3	541898	7258	1810497294	12	541889	14517	1810490035	-12.6097524423471	16.6063564743381	-16.6063564743381	4.59966038673931e-05	0.00548225492449338
chr16	287440	353449	-	AXIN1	16	66436	0	66009	3919	1810976525	0	66009	3998	1810976446	0	66009	4533	1810975911	0	66009	3086	1810977358	9	66000	13946	1810966498	5	66004	7256	1810973188	8	66001	14521	1810965923	-12.5653868168156	15.8851040541194	-15.8851040541194	6.73063826462927e-05	0.00779777665654641
chrY	13323033	13481670	-	UTY	24	91755	0	158637	3919	1810883897	0	158637	3998	1810883818	0	158637	4533	1810883283	0	158637	3086	1810884730	7	158630	13948	1810873868	6	158631	7255	1810880561	9	158628	14520	1810873296	-12.565310523101	15.884469152661	-15.884469152661	6.7328965983382e-05	0.00779777665654641
chr2	184597528	184939492	+	ZNF804A	2	13028	0	341964	3919	1810700570	0	341964	3998	1810700491	0	341964	4533	1810699956	0	341964	3086	1810701403	11	341953	13944	1810690545	4	341960	7257	1810697232	7	341957	14522	1810689967	-12.5652813766335	15.8842250050511	-15.8842250050511	6.73376523012692e-05	0.00779777665654641
chr5	138506094	138544236	-	ETF1	5	26830	2	38140	3917	1811004394	5	38137	3993	1811004318	2	38140	4531	1811003780	3	38139	3083	1811005228	1	38141	13954	1810994357	1	38141	7260	1811001051	1	38141	14528	1810993783	2.22029034636022	15.8183689750731	15.8183689750731	6.97223324348517e-05	0.00785265185796395
chr12	6976184	7019476	-	LPCAT3	12	53432	0	43292	3919	1810999242	2	43290	3996	1810999165	0	43292	4533	1810998628	0	43292	3086	1811000075	13	43279	13942	1810989219	9	43283	7252	1810995909	15	43277	14514	1810988647	-2.08569624156312	15.7195641924627	-15.7195641924627	7.34604170445907e-05	0.00785265185796395
chr16	729765	741934	-	CIAO3	16	66525	2	12167	3917	1811030367	0	12169	3998	1811030286	4	12165	4529	1811029755	3	12166	3083	1811031201	1	12168	13954	1811020330	0	12169	7261	1811027023	0	12169	14529	1811019755	3.03118836949873	15.7185651366599	15.7185651366599	7.34992262674261e-05	0.00785265185796395
chr19	647525	664214	-	RNF126	19	77456	2	16687	3917	1811025847	4	16685	3994	1811025770	2	16687	4531	1811025233	1	16688	3085	1811026679	0	16689	13955	1811015809	0	16689	7261	1811022503	1	16688	14528	1811015236	3.03114570373435	15.7185176576022	15.7185176576022	7.35010711474526e-05	0.00785265185796395
chr12	19128795	19373668	+	PLEKHA5	12	53931	0	244873	3919	1810797661	1	244872	3997	1810797583	1	244872	4532	1810797048	0	244873	3086	1810798494	15	244858	13940	1810787640	8	244865	7253	1810794327	14	244859	14515	1810787065	-2.08547118845486	15.7162144738249	-15.7162144738249	7.35906212578907e-05	0.00785265185796395
chr1	243499723	243851243	-	AKT3	1	8211	4	351516	3915	1810691018	2	351518	3996	1810690937	3	351517	4530	1810690403	4	351516	3082	1810691851	2	351518	13953	1810680980	1	351519	7260	1810687673	1	351519	14528	1810680405	2.01264043634814	15.390982425306	15.390982425306	8.74044104711702e-05	0.00904261253567982
chr5	100806932	100904282	-	ST8SIA4	5	26025	0	97350	3919	1810945184	0	97350	3998	1810945105	0	97350	4533	1810944570	0	97350	3086	1810946017	9	97341	13946	1810935157	3	97347	7258	1810941845	9	97341	14520	1810934583	-12.51879331777	15.1625037456397	-15.1625037456397	9.86428969509401e-05	0.0101537418321066
chr7	110962307	111562924	-	IMMP2L	7	35896	0	600617	3919	1810441917	1	600616	3997	1810441839	1	600616	4532	1810441304	0	600617	3086	1810442750	10	600607	13945	1810431891	11	600606	7250	1810438586	15	600602	14514	1810431322	-2.05801503005603	15.1001140309963	-15.1001140309963	0.000101957129717944	0.0102875850032193
chr11	67120268	67255062	+	KDM2A	11	50690	6	134788	3913	1810907746	2	134792	3996	1810907663	2	134792	4531	1810907128	0	134794	3086	1810908573	27	134767	13928	1810897731	14	134780	7247	1810904412	31	134763	14498	1810897161	-1.14235820235301	15.067921588663	-15.067921588663	0.000103710840596238	0.0103109248651466
chr3	49029931	49095062	-	QRICH1	3	16234	6	65125	3913	1810977409	6	65125	3992	1810977330	5	65126	4528	1810976794	0	65131	3086	1810978236	4	65127	13951	1810967371	1	65130	7260	1810974062	3	65128	14526	1810966796	1.5879218926096	15.0404977914877	15.0404977914877	0.000105228703244475	0.0103109248651466
chr6	78934418	79079254	-	PHIP	6	31005	0	144836	3919	1810897698	0	144836	3998	1810897619	0	144836	4533	1810897084	1	144835	3085	1810898532	13	144823	13942	1810887675	7	144829	7254	1810894363	9	144827	14520	1810887097	-2.53485333640093	14.5591731416062	-14.5591731416062	0.00013582576449267	0.0105895494431717
chr5	95961000	96631085	+	AC104123.1	5	25952	1	670084	3918	1810372450	7	670078	3991	1810372377	2	670083	4531	1810371837	0	670085	3086	1810373282	1	670084	13954	1810362414	0	670085	7261	1810369107	1	670084	14528	1810361840	2.44328335049266	14.5171741521917	14.5171741521917	0.000138887578991276	0.0105895494431717
chr1	1311584	1325687	-	INTS11	1	119	3	14100	3916	1811028434	1	14102	3997	1811028353	5	14098	4528	1811027822	1	14102	3085	1811029265	1	14102	13954	1811018396	0	14103	7261	1811025089	1	14102	14528	1811017822	2.44341062319608	14.5171601190232	14.5171601190232	0.000138888613566479	0.0105895494431717
chr17	75343404	75373662	+	AC011933.4	17	74784	0	30258	3919	1811012276	0	30258	3998	1811012197	0	30258	4533	1811011662	0	30258	3086	1811013109	8	30250	13947	1811002248	5	30253	7256	1811008939	7	30251	14522	1811001673	-12.470153008947	14.441628703149	-14.441628703149	0.000144571012081762	0.0105895494431717
chr11	65859432	65866439	+	MUS81	11	50512	1	7006	3918	1811035528	2	7005	3996	1811035450	1	7006	4532	1811034914	2	7005	3084	1811036362	0	7007	13955	1811025491	0	7007	7261	1811032185	0	7007	14529	1811024917	13.2203337394221	14.3318653753959	14.3318653753959	0.000153248748822721	0.0105895494431717
chr5	177456926	177474198	-	DBN1	5	28153	0	17272	3919	1811025262	4	17268	3994	1811025187	1	17271	4532	1811024649	1	17271	3085	1811026096	0	17272	13955	1811015226	0	17272	7261	1811021920	0	17272	14529	1811014652	13.2200970071474	14.3316628094763	14.3316628094763	0.000153265238934108	0.0105895494431717
chr6	30600412	30618243	-	PPP1R10	6	29431	2	17829	3917	1811024705	3	17828	3995	1811024627	1	17830	4532	1811024090	0	17831	3086	1811025536	0	17831	13955	1811014667	0	17831	7261	1811021361	0	17831	14529	1811014093	13.2200919408957	14.3316574667115	14.3316574667115	0.000153265673892178	0.0105895494431717
chr19	45351390	45371587	-	ERCC2	19	81034	1	20196	3918	1811022338	3	20194	3995	1811022261	1	20196	4532	1811021724	1	20196	3085	1811023171	0	20197	13955	1811012301	0	20197	7261	1811018995	0	20197	14529	1811011727	13.2200736033534	14.3316439178307	14.3316439178307	0.00015326677692129	0.0105895494431717
chr16	89574757	89597246	+	CPNE7	16	70355	0	22489	3919	1811020045	4	22485	3994	1811019970	1	22488	4532	1811019432	1	22488	3085	1811020879	0	22489	13955	1811010009	0	22489	7261	1811016703	0	22489	14529	1811009435	13.220059520497	14.3316344867926	14.3316344867926	0.000153267544717006	0.0105895494431717
chr1	44745405	44767767	+	KIF2C	1	2379	1	22361	3918	1811020173	2	22360	3996	1811020095	1	22361	4532	1811019559	2	22360	3084	1811021007	0	22362	13955	1811010136	0	22362	7261	1811016830	0	22362	14529	1811009562	13.2200602262857	14.331631924957	14.331631924957	0.000153267753280839	0.0105895494431717
chr11	128460243	128523201	-	ETS1	11	52832	0	62958	3919	1810979576	3	62955	3995	1810979500	2	62956	4531	1810978964	1	62957	3085	1810980410	0	62958	13955	1810969540	0	62958	7261	1810976234	0	62958	14529	1810968966	13.2199797470618	14.3315675358754	14.3315675358754	0.000153272995408793	0.0105895494431717
chr12	121711751	121782068	+	TMEM120B	12	57331	1	70316	3918	1810972218	2	70315	3996	1810972140	1	70316	4532	1810971604	2	70315	3084	1810973052	0	70317	13955	1810962181	0	70317	7261	1810968875	0	70317	14529	1810961607	13.2199751054348	14.3315615279134	14.3315615279134	0.000153273484546079	0.0105895494431717
chr14	102229136	102306185	-	MOK	14	62775	1	77048	3918	1810965486	2	77047	3996	1810965408	2	77047	4531	1810964873	1	77048	3085	1810966319	0	77049	13955	1810955449	0	77049	7261	1810962143	0	77049	14529	1810954875	13.2199716350707	14.3315590880811	14.3315590880811	0.000153273683185073	0.0105895494431717
chr12	57127482	57213361	+	LRP1	12	55456	2	85877	3917	1810956657	2	85877	3996	1810956578	0	85879	4533	1810956041	2	85877	3084	1810957490	0	85879	13955	1810946619	0	85879	7261	1810953313	0	85879	14529	1810946045	13.219967915071	14.3315546936356	14.3315546936356	0.000153274040959661	0.0105895494431717
chr15	70656976	70764430	-	UACA	15	65112	2	107452	3917	1810935082	1	107453	3997	1810935002	1	107453	4532	1810934467	2	107452	3084	1810935915	0	107454	13955	1810925044	0	107454	7261	1810931738	0	107454	14529	1810924470	13.2199613908748	14.3315485385247	14.3315485385247	0.000153274542080473	0.0105895494431717
chr20	47209213	47357414	-	ZMYND8	20	84421	1	148200	3918	1810894334	3	148198	3995	1810894257	1	148200	4532	1810893720	1	148200	3085	1810895167	0	148201	13955	1810884297	0	148201	7261	1810890991	0	148201	14529	1810883723	13.2199542468639	14.3315451457165	14.3315451457165	0.000153274818307958	0.0105895494431717
chr12	78035256	78211465	+	NAV3	12	56042	0	176209	3919	1810866325	0	176209	3998	1810866246	3	176206	4530	1810865714	3	176206	3083	1810867161	0	176209	13955	1810856289	0	176209	7261	1810862983	0	176209	14529	1810855715	13.2199512552388	14.3315402325243	14.3315402325243	0.000153275218319426	0.0105895494431717
chr1	22709964	22921500	+	EPHB2	1	1119	1	211535	3918	1810830999	1	211535	3997	1810830920	2	211534	4531	1810830386	2	211534	3084	1810831833	0	211536	13955	1810820962	0	211536	7261	1810827656	0	211536	14529	1810820388	13.2199486120901	14.3315395475365	14.3315395475365	0.000153275274088371	0.0105895494431717
chr2	215619634	215828403	-	LINC00607	2	13780	3	208766	3916	1810833768	3	208766	3995	1810833689	0	208769	4533	1810833151	0	208769	3086	1810834598	0	208769	13955	1810823729	0	208769	7261	1810830423	0	208769	14529	1810823155	13.2199487851309	14.3315381989814	14.3315381989814	0.000153275383882212	0.0105895494431717
chr14	51488136	51730459	+	FRMD6	14	60938	4	242319	3915	1810800215	0	242323	3998	1810800132	1	242322	4532	1810799598	1	242322	3085	1810801045	0	242323	13955	1810790175	0	242323	7261	1810796869	0	242323	14529	1810789601	13.2199469446352	14.331537750084	14.331537750084	0.000153275420429644	0.0105895494431717
chr6	143059853	143340290	+	AIG1	6	32284	0	280437	3919	1810762097	0	280437	3998	1810762018	4	280433	4529	1810761487	2	280435	3084	1810762932	0	280437	13955	1810752061	0	280437	7261	1810758755	0	280437	14529	1810751487	13.2199453692751	14.3315373051446	14.3315373051446	0.000153275456654889	0.0105895494431717
chr1	85318485	85579363	-	DDAH1	1	3488	1	260877	3918	1810781657	1	260877	3997	1810781578	3	260875	4530	1810781045	1	260877	3085	1810782490	0	260878	13955	1810771620	0	260878	7261	1810778314	0	260878	14529	1810771046	13.2199461125998	14.3315371498466	14.3315371498466	0.000153275469298553	0.0105895494431717
chr12	126190150	126434227	+	AC007368.1	12	57591	0	244077	3919	1810798457	1	244076	3997	1810798379	3	244074	4530	1810797846	2	244075	3084	1810799292	0	244077	13955	1810788421	0	244077	7261	1810795115	0	244077	14529	1810787847	13.2199468509497	14.331536621321	14.331536621321	0.000153275512329021	0.0105895494431717
chr10	126041345	126389455	-	ADAM12	10	47469	1	348109	3918	1810694425	2	348108	3996	1810694347	2	348108	4531	1810693812	1	348109	3085	1810695258	0	348110	13955	1810684388	0	348110	7261	1810691082	0	348110	14529	1810683814	13.219943430681	14.3315348946489	14.3315348946489	0.000153275652907903	0.0105895494431717
