testIndex	chr	start	end	strand	geneName	chrInt	(Intercept)	time	group	V4	interaction	testStat	signedTestStat	pvalue	adjpvalue
21667	chr4	77713386	77820368	-	CNOT6L	4	-8.47149337131116	0.273555508301506	-0.266651874435396	0.634999669319194	-0.430301844461572	7.28477146822115	-7.28477146822115	0.00695415770305785	1
34597	chr7	66627957	66811189	+	AC027644.4	7	-8.4706485225014	0.273447574844179	-0.268498499334223	0.113159126854011	0.33072792162549	7.1452560621583	7.1452560621583	0.00751625416723356	1
16174	chr3	48599001	48610646	-	UQCRC1	3	-8.47164099711397	0.274240499987832	-0.267639193767959	1.17087501633379	-1.35670955620514	6.83249318261005	-6.83249318261005	0.00895142313374309	1
55139	chr12	54230941	54281122	-	CBX5	12	-8.47156119512133	0.274244246786572	-0.267580798775297	0.538420873044583	-0.792872667689567	6.67479529915363	-6.67479529915363	0.00977857420918671	1
12568	chr2	167954021	168248595	-	STK39	2	-8.47140237641327	0.274031551413597	-0.267455172729535	0.476380229441226	-0.739567544518418	6.65035543360864	-6.65035543360864	0.00991360463843538	1
6270	chr1	172774904	173064015	+	AL031599.1	1	-8.47145920670806	0.273860740982156	-0.267071658112145	0.536470366247029	-0.74371915311934	6.62820756071596	-6.62820756071596	0.0100376221253411	1
57401	chr12	122526247	122626332	+	KNTC1	12	-8.47152891848518	0.274273084428933	-0.267751097714121	1.27618954101444	-1.51266281800772	6.50954490961885	-6.50954490961885	0.0107296964595266	1
22203	chr4	101023408	101348477	-	PPP3CA	4	-8.47145108773582	0.273839744853273	-0.267032644987255	0.496443075295536	-0.637010359172608	6.19171969732633	-6.19171969732633	0.0128349402800287	1
14507	chr2	237965954	238042595	+	UBE2F	2	-8.47152098406754	0.274265005113732	-0.267786369632327	1.276189685912	-1.40269166747498	5.86036905551009	-5.86036905551009	0.0154855467032138	1
75200	chr17	80259865	80395312	+	RNF213	17	-8.47149301618681	0.274186859448839	-0.267640755438522	0.607762686819052	-0.720558001905846	5.78668053022557	-5.78668053022557	0.0161480526776314	1
54664	chr12	48997371	49019197	+	DDN-AS1	12	-8.47142549751528	0.273895939788224	-0.267127851648836	0.35786962547369	-0.467249041219541	5.62558724636619	-5.62558724636619	0.0177001346312723	1
32378	chr6	147203424	147390476	+	STXBP5	6	-8.47155915902991	0.274160156500615	-0.267526473994896	0.476084246902428	-0.593593577316169	5.54603463787862	-5.54603463787862	0.0185226036978061	1
9341	chr2	31865059	32011557	-	MEMO1	2	-8.47148206325396	0.273797758340546	-0.266981933154976	0.580385200077783	-0.611347722005334	5.38177771725532	-5.38177771725532	0.0203481336611531	1
83855	chr20	35302565	35412963	-	UQCC1	20	-8.47145970870475	0.274152309205577	-0.267502436107771	0.278725303711164	-0.523829634684641	5.34045972799868	-5.34045972799868	0.0208359774759547	1
15067	chr3	11271415	11554988	+	ATG7	3	-8.47111492737845	0.274120204405707	-0.268253616472882	-0.160756425796685	0.591184443328365	5.3344012420057	5.3344012420057	0.0209085212256976	1
70504	chr17	1420688	1457223	-	CRK	17	-8.47156740256646	0.274278264813863	-0.267757710024012	0.919251941824758	-1.18253011581966	5.26076910571283	-5.26076910571283	0.0218113780749324	1
78676	chr19	12699193	12724996	-	TNPO2	19	-8.47150618910234	0.274249939805169	-0.267814230871652	1.27618995625536	-1.30833712619217	5.19339894225413	-5.19339894225413	0.0226728312888514	1
67498	chr16	14974199	15022728	+	PDXDC1	16	-8.47134396044382	0.274328777388683	-0.268284659548369	-0.204536650261714	1.63061445114078	5.17997902202478	5.17997902202478	0.0228485997354284	1
60900	chr14	50633579	50669306	-	SAV1	14	-8.47150208896503	0.274245764659205	-0.267791141914916	1.27619003126401	-1.50996191606673	5.1700240776554	-5.1700240776554	0.0229798974070299	1
18830	chr3	157814821	158089983	-	AC079943.2	3	-8.4715035810942	0.273733896910002	-0.266819603209895	0.619589495996021	-0.853334536337463	4.93505582742	-4.93505582742	0.0263172125091623	1
16797	chr3	61560570	62297609	+	PTPRG	3	-8.47172099852029	0.273670323612946	-0.266481724981441	0.606857070095391	-0.840598767540958	4.81860825155673	-4.81860825155673	0.0281540690306827	1
19301	chr3	180911669	180982753	+	FXR1	3	-8.47149405519579	0.274066321376572	-0.267423365318055	0.377376963360895	-0.614795512327553	4.81292142676102	-4.81292142676102	0.028247119261874	1
58106	chr13	27545912	27621529	-	LNX2	13	-8.47143250671176	0.273757905133611	-0.266936169715518	0.605892754414749	-0.839639056918209	4.69823449579417	-4.69823449579417	0.0301936180169935	1
58934	chr13	66302833	67231336	-	PCDH9	13	-8.47113728682978	0.274142981698368	-0.26831809510091	-0.16076933105113	0.547928727911921	4.62813056025334	4.62813056025334	0.0314518156772418	1
26499	chr5	131425890	131797983	-	AC008695.1	5	-8.47137637186232	0.274013876863246	-0.267407690415293	0.297214739430538	-0.51817598039113	4.51343236117464	-4.51343236117464	0.0336296906998099	1
42466	chr9	93450684	93566112	+	FAM120A	9	-8.47132843197879	0.274316631822317	-0.268277166122147	-0.334281515633409	1.76034844018758	4.44428022228385	4.44428022228385	0.0350183488955615	1
9994	chr2	57906628	58159840	+	VRK2	2	-8.47148710767113	0.273766890424922	-0.266893741753642	0.548485532212164	-0.701811654025864	4.28129870359771	-4.28129870359771	0.0385338949774372	1
10115	chr2	62704741	63046487	+	EHBP1	2	-8.47139728191616	0.274190209681579	-0.267627388105267	0.301529928087821	-0.51481905521892	4.23478588525177	-4.23478588525177	0.0396036186418803	1
76806	chr18	55222184	55589192	-	TCF4	18	-8.47150436439499	0.274123001230449	-0.267520471198134	0.355108623367153	-0.592542863742494	4.10722787563645	-4.10722787563645	0.0427002984781792	1
43379	chr9	128090968	128095457	-	AL360268.1	9	-8.47148034468771	0.27427996409783	-0.267818130876532	1.05279320026873	-1.30722089857636	4.10445292110308	-4.10445292110308	0.04277042673593	1
61126	chr14	57200506	57269905	-	EXOC5	14	-8.4714061431516	0.274199235344002	-0.26771027822934	0.301524173024172	-0.564792881285724	4.09642432610417	-4.09642432610417	0.0429740071580864	1
27898	chr5	170861017	171300015	+	RANBP17	5	-8.47142736706531	0.274050008838148	-0.267393063436095	0.23943461008351	-0.379893916599457	4.0926091047404	-4.0926091047404	0.0430711063431447	1
20141	chr4	1288886	1339177	+	MAEA	4	-8.4714794068806	0.274279009160029	-0.267847116454309	1.05279321739943	-1.31607166549236	3.98854100659082	-3.98854100659082	0.0458107155536738	1
77705	chr19	2268524	2341172	+	AC005258.1	19	-8.47147940687895	0.274279009159089	-0.267847116453978	1.05279321739872	-1.31607166549136	3.9885409849885	-3.9885409849885	0.0458107161410315	1
78481	chr19	10959824	11062282	+	SMARCA4	19	-8.4714235586286	0.27422236685705	-0.267759738053429	0.52503691168405	-0.668184525502337	3.91824641337735	-3.91824641337735	0.0477646787146779	1
3486	chr1	85318480	85579250	-	DDAH1	1	-8.47116778448503	0.274174048327639	-0.268446236265251	-0.160786932542318	0.495002919754004	3.89974415205143	3.89974415205143	0.0482934616214417	1
34777	chr7	74688863	74728886	-	AC211433.1	7	-8.4714062024544	0.274204691254639	-0.267773451231558	0.525045909199363	-0.762502763364964	3.85381503527606	-3.85381503527606	0.0496329747762778	1
23413	chr4	157929070	158095763	-	AC084740.1	4	-8.47140620245435	0.274204691254621	-0.267773451231567	0.525045909199358	-0.762502763364953	3.85381502027667	-3.85381502027667	0.0496329752200835	1
32329	chr6	144582209	144851003	+	UTRN	6	-8.47146906879824	0.274083475718548	-0.267480860676605	0.316613616523407	-0.554036914716083	3.8082267398313	-3.8082267398313	0.0510014179780974	1
41695	chr9	36035912	36124455	+	RECK	9	-8.47148832554464	0.274226953924135	-0.267524331161105	0.222547978177762	-0.379443753322091	3.76768518368772	-3.76768518368772	0.0522518979775907	1
88338	chr22	50371071	50444391	+	PPP6R2	22	-8.47140428508968	0.27416457235041	-0.267649469955414	0.29623189702663	-0.432790051215145	3.73899917193194	-3.73899917193194	0.053156275498612	1
34771	chr7	74649230	74760692	+	GTF2I	7	-8.47143487541105	0.274223007357471	-0.267720994237694	0.445216107928909	-0.681117282892338	3.65733248963079	-3.65733248963079	0.0558229400549268	1
76555	chr18	45847608	45968329	-	EPG5	18	-8.47137312861544	0.274132834675431	-0.267641083612564	0.296252023894592	-0.532695101994436	3.61664124430899	-3.61664124430899	0.05720425218518	1
54688	chr12	49226925	49273334	+	TUBA1C	12	-8.4715000026143	0.274196289330836	-0.267669745707069	0.377985504990402	-0.641233491591977	3.59628758471808	-3.59628758471808	0.0579087526686221	1
56165	chr12	89010700	89310566	-	LINC02458	12	-8.4714479277068	0.274100678133506	-0.267623495223903	0.525170785012633	-0.482087855131253	3.57896869374599	-3.57896869374599	0.0585154684768478	1
28796	chr6	12011311	12164999	+	HIVEP1	6	-8.47115712838276	0.274180089119974	-0.268226897671785	-0.173820513249917	0.508189315928227	3.52208345581676	3.52208345581676	0.0605562791616482	1
87597	chr22	36281279	36388967	-	MYH9	22	-8.4714063705313	0.274148512079622	-0.267699471476897	0.636803397908849	-0.822646513124178	3.5052117022824	-3.5052117022824	0.0611760264637844	1
19653	chr3	188211932	188890671	+	LPP	3	-8.47116710233984	0.274092618235323	-0.26825365793076	0.0348961117444368	0.415479130536737	3.46415794473069	3.46415794473069	0.0627124304188862	1
68140	chr16	29819393	29848039	+	MVP	16	-8.47136548890939	0.274041306411306	-0.267511045281494	0.379318304158528	-0.613094079057876	3.4499220912403	-3.4499220912403	0.0632547513265254	1
30935	chr6	74068450	74690727	+	AL357507.1	6	-8.47150015389938	0.273900592048071	-0.267138907031428	0.508586923492577	-0.742340720658728	3.35443195042171	-3.35443195042171	0.067024331502576	1
76456	chr18	39206916	39752389	-	MIR924HG	18	-8.4713465973213	0.274149594269921	-0.267734655189363	0.327207668832296	-0.590438458976525	3.26430276955216	-3.26430276955216	0.0708031152041286	1
50532	chr11	65944444	65959963	+	TSGA10IP	11	-8.47144721547912	0.274246229650888	-0.267846896730422	1.05279380550709	-1.2865657146367	3.23748738263021	-3.23748738263021	0.0719709352845402	1
27585	chr5	154711842	154817605	+	LARP1	5	-8.47116331892636	0.274050434791707	-0.268186332247153	0.0813533327964177	0.337385624025084	3.19058986719028	3.19058986719028	0.0740632825520487	1
8752	chr2	10570753	10690975	-	NOL10	2	-8.47142760999223	0.274025698017625	-0.267415861777894	0.34846325322481	-0.555707431765538	3.1759679279312	-3.1759679279312	0.0747289224228431	1
36561	chr7	139339358	139422511	+	LUC7L2	7	-8.47137848581208	0.274138291863495	-0.267681346812249	0.296248563126269	-0.559475190826186	3.15025827741556	-3.15025827741556	0.0759149461373114	1
58128	chr13	28137544	28295335	+	PAN3	13	-8.47136959695451	0.27397794068326	-0.267412975971453	0.493134574515393	-0.678993580775492	3.14053934645199	-3.14053934645199	0.0763685501196616	1
6717	chr1	196225778	196609411	-	KCNT2	1	-8.47155848646415	0.273811230994531	-0.266930231474558	0.348739296119461	-0.373936521321689	3.10420559709019	-3.10420559709019	0.0780903195591638	1
75206	chr17	80351827	80416118	-	RNF213-AS1	17	-8.47144905706545	0.274248104943361	-0.267867561255422	1.05279377180095	-1.07810075664085	3.05339736265159	-3.05339736265159	0.080568443595715	1
76653	chr18	49041473	49461802	-	DYM	18	-8.47111185575557	0.274051341890726	-0.268175195019392	8.35862765044548e-05	0.469702388389577	2.93834481890735	2.93834481890735	0.0864993281133719	1
31623	chr6	112987310	113084454	+	AL360015.1	6	-8.47136715406489	0.274137066950038	-0.267660501746042	0.217309868026475	-0.471698187699248	2.89630760509681	-2.89630760509681	0.0887827094521279	1
31235	chr6	89926527	90297843	-	BACH2	6	-8.47138745354384	0.274185430132674	-0.26770229699866	0.225659714000975	-0.475330254911417	2.89587509092235	-2.89587509092235	0.0888065395616594	1
23658	chr4	174236657	174284667	-	FBXO8	4	-8.47141290390588	0.274100852987808	-0.267575977183	0.231791495724735	-0.495004335060779	2.7648978341349	-2.7648978341349	0.0963528382714685	1
88053	chr22	42869772	43016149	-	PACSIN2	22	-8.47136118887395	0.274099684259063	-0.267632138671105	0.318876087101647	-0.449364145222488	2.75881490650499	-2.75881490650499	0.0967198610632716	1
24696	chr5	37288136	37372106	-	NUP155	5	-8.47147178494375	0.273963029045019	-0.267285597579141	0.456085683850007	-0.689842757217068	2.7520822471779	-2.7520822471779	0.0971278636618844	1
35117	chr7	91939861	92110673	+	AKAP9	7	-8.47140369620003	0.274191253353533	-0.26775354418615	0.445230123856533	-0.652469664322151	2.6074619318897	-2.6074619318897	0.106361868546362	1
74160	chr17	62457657	62613664	+	TLK2	17	-8.4714129064463	0.274232803599898	-0.267790766726562	0.377899085331737	-0.614363689555708	2.58162205147528	-2.58162205147528	0.108110826115941	1
63746	chr15	38627059	39180499	+	LINC02694	15	-8.47131600434598	0.274118433064845	-0.267706699826662	0.327228632378933	-0.561008448940943	2.49739992141258	-2.49739992141258	0.11403442614284	1
46475	chr10	94544787	94602099	+	HELLS	10	-8.47138581882775	0.274240277373497	-0.267807878296221	0.381029678708227	-0.630712577439244	2.49012190576104	-2.49012190576104	0.114562850575298	1
70841	chr17	5281283	5386340	+	RABEP1	17	-8.47145673764874	0.274028770837381	-0.267513563684152	0.285175706249193	-0.251941851590435	2.44674978445255	-2.44674978445255	0.1177684951591	1
72972	chr17	42457843	42521485	+	ATP6V0A1	17	-8.47149331139056	0.274315510135174	-0.267783736860746	0.582471062080117	-0.836942496795254	2.43659613500495	-2.43659613500495	0.118533187994207	1
90170	chrX	96683662	97469838	+	DIAPH2	23	-8.47139297772039	0.274225831472073	-0.267732528503115	0.160377840974484	-0.397291549329641	2.42917857740758	-2.42917857740758	0.119095290854426	1
11789	chr2	127480811	127527489	-	IWS1	2	-8.4713778242539	0.274175790264239	-0.26781566618859	0.525060621089516	-0.517440917022438	2.39456163903742	-2.39456163903742	0.121757876191546	1
46479	chr10	94576438	94611238	+	AL138759.1	10	-8.47138458589236	0.274239021771008	-0.267836293346074	0.381030317843021	-0.635446734250287	2.36803799017434	-2.36803799017434	0.123842612600685	1
80084	chr19	36053896	36105108	+	WDR62	19	-8.47153994636996	0.274328995826902	-0.267656310295124	0.513478496845278	-0.663467991359359	2.36080474206756	-2.36080474206756	0.124417991562221	1
56040	chr12	77829893	78213010	+	NAV3	12	-8.47075546541506	0.273743789721706	-0.268760019243356	-0.151920642566423	0.576531126190819	2.35389495991694	2.35389495991694	0.12497041347932	1
9750	chr2	46697951	46763129	+	SOCS5	2	-8.47138090505649	0.274178927815275	-0.267785647449295	0.525059023939773	-0.758827411085642	2.34153802139554	-2.34153802139554	0.12596513066953	1
33391	chr7	16645133	16706512	+	BZW2	7	-8.47115935240351	0.274201510725598	-0.268226539046183	-0.217424668270086	0.485179406705519	2.33349213578185	2.33349213578185	0.126617543455209	1
73002	chr17	42658283	42667006	+	TUBG2	17	-8.47137692463075	0.274174873994905	-0.267778881417128	0.525061087547273	-0.710901745639757	2.33312360046693	-2.33312360046693	0.126647516563942	1
43377	chr9	128067200	128109244	+	SLC25A25	9	-8.47145981497011	0.274281402943446	-0.26781182533126	0.582471672851397	-0.83216383705684	2.29942377356201	-2.29942377356201	0.129422004275086	1
21672	chr4	78056322	78544269	+	FRAS1	4	-8.47146939225066	0.274185407987835	-0.267709442210608	0.489160532487601	-0.722929258828287	2.28583762192284	-2.28583762192284	0.130559639632501	1
75294	chr17	81556886	81638112	-	NPLOC4	17	-8.47105098312924	0.274132086206858	-0.268712535065075	-0.213407177170364	0.358459071193324	2.2593539738009	2.2593539738009	0.132809453950366	1
24221	chr5	9035032	9547075	-	SEMA5A	5	-8.47111624915992	0.274177824287344	-0.268492946241676	-0.22807494168425	0.419431126885598	2.25830511692402	2.25830511692402	0.1328994422353	1
82848	chr20	472497	544790	-	CSNK2A1	20	-8.47134352273082	0.274202815037746	-0.267808736734583	0.231153427555823	-0.485559866524281	2.2371548767369	-2.2371548767369	0.134728679152301	1
28408	chr5	181222565	181223633	-	MIR4638	5	-8.4710859227455	0.274031659683045	-0.26831819251825	-0.0290187496149705	0.517301794891572	2.20732870648499	2.20732870648499	0.137356334012959	1
39831	chr8	102252272	102413700	-	UBR5	8	-8.47121523956532	0.274199947265671	-0.268262421998561	-0.157511070594213	0.447083011474428	2.19964027704191	2.19964027704191	0.13804294823899	1
44031	chr9	137085984	137109183	+	MAN1B1	9	-8.47141813839024	0.274273190216652	-0.267824417839604	0.381012925646323	-0.543377325180237	2.19231130546905	-2.19231130546905	0.138701045161924	1
69174	chr16	66754639	66802584	-	TERB1	16	-8.47136818895123	0.274023196149969	-0.267503217201131	0.39746933336767	-0.631229562024947	2.15416655352237	-2.15416655352237	0.142183577089659	1
80565	chr19	40691529	40716073	-	COQ8B	19	-8.47137675995501	0.274231051992968	-0.267852853772075	0.381034374652388	-0.618498525737401	2.11806994273138	-2.11806994273138	0.145569888956352	1
20258	chr4	2936265	2961738	+	NOP14-AS1	4	-8.47137675995421	0.274231051992337	-0.267852853771281	0.381034374652616	-0.618498525737609	2.11806993657228	-2.11806993657228	0.145569889541848	1
25953	chr5	95961001	96319018	+	AC104123.1	5	-8.47140335834359	0.2740981583961	-0.267569337753103	0.283020531728165	-0.412435741044433	2.11330741719576	-2.11330741719576	0.146023418737861	1
55477	chr12	57253763	57432005	-	R3HDM2	12	-8.47143387862535	0.274289219044318	-0.267807513796716	0.38100476693621	-0.517222265605529	2.10938720790364	-2.10938720790364	0.146397931324641	1
35198	chr7	94278679	94393196	-	AC002074.1	7	-8.471364063806	0.274116245128208	-0.267651013764789	0.276121704048861	-0.483363347550338	2.10206932379879	-2.10206932379879	0.147099939197578	1
26747	chr5	136027987	136063818	+	TGFBI	5	-8.47076683745568	0.273431229006966	-0.268207226991133	0.379706737986016	0.20369700710367	2.05980317858121	2.05980317858121	0.151229702885484	1
46809	chr10	101845598	102057173	-	ARMH3	10	-8.4714139453273	0.274199065665642	-0.267755451856189	0.3755725728689	-0.561429583341193	2.05291617336479	-2.05291617336479	0.15191496809528	1
15249	chr3	15667235	15799184	-	ANKRD28	3	-8.47134967692974	0.274204686310806	-0.267766911153005	0.203656360875163	-0.427270148982377	2.04773375383957	-2.04773375383957	0.152432943574442	1
9822	chr2	48313681	48379295	+	FOXN2	2	-8.47147274058416	0.274096430850041	-0.267508264457975	0.241434275348811	-0.475212939261273	2.02737830100523	-2.02737830100523	0.154486901076978	1
83075	chr20	3931423	3975387	-	RNF24	20	-8.47142453564089	0.274279473296077	-0.267902867369852	0.764858512540565	-1.02813713154426	1.99777770336732	-1.99777770336732	0.157530022371575	1
39970	chr8	109538710	109565160	+	EBAG9	8	-8.47136390080958	0.274039688618041	-0.267538760830428	0.379319333974384	-0.613080427355906	1.99612028546471	-1.99612028546471	0.157702418169141	1
56253	chr12	92770636	92930295	-	EEA1	12	-8.47136714924809	0.274284463358006	-0.268128478124156	0.104124853964139	1.03396301779081	1.98287445760434	1.98287445760434	0.159087915890507	1
55406	chr12	56598368	56631211	-	BAZ2A	12	-8.47139966366593	0.274251737805069	-0.267815753646818	0.300986886217346	-0.550672367013295	1.98044256434514	-1.98044256434514	0.159343791306871	1
