chr	start	end	strand	geneName	chrInt	testIndex	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	Zscore	testStat	signedTestStat	pvalue	adjpvalue
chr11	65421797	65445540	+	NEAT1	11	50421	62	23681	34668	1810988042	56	23687	28460	1810994250	20	23723	11314	1811011396	2	23741	1841	1811020869	85	23658	38842	1810983868	35	23708	17602	1811005108	5.00875088522755	2087.00366484001	2087.00366484001	0	0
chr3	47016688	47164967	-	SETD2	3	16064	114	148165	34616	1810863558	100	148179	28416	1810869758	36	148243	11298	1810886876	8	148271	1835	1810896339	86	148193	38841	1810859333	44	148235	17593	1810880581	3.5766267946194	2019.91876697913	2019.91876697913	0	0
chr11	63680495	63758421	+	RTN3	11	50161	77	77849	34653	1810933874	60	77866	28456	1810940071	31	77895	11303	1810957224	2	77924	1841	1810966686	92	77834	38835	1810929692	41	77885	17596	1810950931	3.9723224960738	1811.76370074879	1811.76370074879	0	0
chr17	4271979	4367628	-	UBE2G1	17	70714	98	95551	34632	1810916172	71	95578	28445	1810922359	28	95621	11306	1810939498	3	95646	1840	1810948964	80	95569	38847	1810911957	36	95613	17601	1810933203	3.80938683120306	1788.63579726592	1788.63579726592	0	0
chr3	49727027	49787542	-	IP6K1	3	16316	80	60435	34650	1810951288	69	60446	28447	1810957491	26	60489	11308	1810974630	2	60513	1841	1810984097	71	60444	38856	1810947082	33	60482	17604	1810968334	4.14979569994583	1778.23779891804	1778.23779891804	0	0
chr6	35580556	35689942	-	FKBP5	6	30006	77	109309	34653	1810902414	70	109316	28446	1810908621	26	109360	11308	1810925759	5	109381	1838	1810935229	96	109290	38831	1810898236	47	109339	17590	1810919477	3.69085016762152	1742.64148304425	1742.64148304425	0	0
chr17	75318075	75394656	-	GRB2	17	74778	80	76501	34650	1810935222	57	76524	28459	1810941413	21	76560	11313	1810958559	4	76577	1839	1810968033	91	76490	38836	1810931036	34	76547	17603	1810952269	3.93533681243444	1695.31209961325	1695.31209961325	0	0
chr17	42199176	42277391	-	STAT5B	17	72955	66	78149	34664	1810933574	71	78144	28445	1810939793	27	78188	11307	1810956931	4	78211	1839	1810966399	74	78141	38853	1810929385	32	78183	17605	1810950633	3.86772635598875	1582.25907079037	1582.25907079037	0	0
chr3	49939149	50077249	+	RBM6	3	16349	86	138014	34644	1810873709	75	138025	28441	1810879912	26	138074	11308	1810897045	1	138099	1842	1810906511	82	138018	38845	1810869508	42	138058	17595	1810890758	3.42910899866093	1535.18362561427	1535.18362561427	0	0
chr6	34279678	34393669	-	NUDT3	6	29940	61	113930	34669	1810897793	59	113932	28457	1810904005	27	113964	11307	1810921155	5	113986	1838	1810930624	94	113897	38833	1810893629	47	113944	17590	1810914872	3.5580644057249	1514.98213255545	1514.98213255545	0	0
chr19	48208085	48256912	-	CARD8	19	81309	61	48766	34669	1810962957	49	48778	28467	1810969159	26	48801	11308	1810986318	0	48827	1843	1810995783	65	48762	38862	1810958764	29	48798	17608	1810980018	4.16376273417468	1461.90401759511	1461.90401759511	0	0
chr1	27977272	28089564	-	EYA3	1	1488	78	112214	34652	1810899509	57	112235	28459	1810905702	19	112273	11315	1810922846	5	112287	1838	1810932323	84	112208	38843	1810895318	38	112254	17599	1810916562	3.53116132984375	1438.28062699828	1438.28062699828	0	0
chr17	81561765	81638060	-	NPLOC4	17	75297	74	76221	34656	1810935502	53	76242	28463	1810941695	19	76276	11315	1810958843	2	76293	1841	1810968317	72	76223	38855	1810931303	33	76262	17604	1810952554	3.81265014803731	1433.76966888597	1433.76966888597	0	0
chr6	34286968	34427046	-	RPS10-NUDT3	6	29943	60	140018	34670	1810871705	59	140019	28457	1810877918	27	140051	11307	1810895068	5	140073	1838	1810904537	92	139986	38835	1810867540	47	140031	17590	1810888785	3.34156368238967	1377.93612745684	1377.93612745684	0	0
chr17	75941506	75980166	-	ACOX1	17	74852	46	38614	34684	1810973109	46	38614	28470	1810979323	16	38644	11318	1810996475	1	38659	1842	1811005951	60	38600	38867	1810968926	32	38628	17605	1810990188	4.26234352868949	1316.64326561941	1316.64326561941	0	0
chr1	27408196	27491051	-	WASF2	1	1437	69	82786	34661	1810928937	47	82808	28469	1810935129	20	82835	11314	1810952284	2	82853	1841	1810961757	61	82794	38866	1810924732	34	82821	17603	1810945995	3.64756730883288	1245.40559655055	1245.40559655055	0	0
chr1	155335267	155563693	-	ASH1L	1	5388	89	228337	34641	1810783386	73	228353	28443	1810789584	19	228407	11315	1810806712	6	228420	1837	1810816190	90	228336	38837	1810779190	36	228390	17601	1810800426	2.92886868764901	1240.2044268013	1240.2044268013	0	0
chr12	6987258	7071032	+	C1S	12	53433	77	83697	34653	1810928026	39	83735	28477	1810934202	17	83757	11317	1810951362	1	83773	1842	1810960837	62	83712	38865	1810923814	29	83745	17608	1810945071	3.60151461237849	1182.49276098004	1182.49276098004	0	0
chr3	48917835	48983620	+	ARIH2	3	16208	47	65738	34683	1810945985	42	65743	28474	1810952194	20	65765	11314	1810969354	1	65784	1842	1810978826	72	65713	38855	1810941813	28	65757	17609	1810963059	3.77424282604364	1174.38811607379	1174.38811607379	0	0
chr17	42315558	42389414	-	STAT3	17	72969	56	73800	34674	1810937923	51	73805	28465	1810944132	16	73840	11318	1810961279	3	73853	1840	1810970757	58	73798	38869	1810933728	32	73824	17605	1810954992	3.68667973943535	1171.02502564108	1171.02502564108	0	0
chr1	8436769	8818271	-	RERE	1	506	88	381414	34642	1810630309	70	381432	28446	1810636505	30	381472	11304	1810653647	3	381499	1840	1810663111	108	381394	38819	1810626132	58	381444	17579	1810647372	2.54766464449338	1160.04540041881	1160.04540041881	0	0
chr1	153809809	153923030	-	GATAD2B	1	5149	57	113164	34673	1810898559	51	113170	28465	1810904767	15	113206	11319	1810921913	7	113214	1836	1810931396	71	113150	38856	1810894376	39	113182	17598	1810915634	3.36482664233482	1151.21794685721	1151.21794685721	0	0
chr12	6976184	7019476	-	LPCAT3	12	53432	63	43229	34667	1810968494	30	43262	28486	1810974675	15	43277	11319	1810991842	1	43291	1842	1811001319	54	43238	38873	1810964288	22	43270	17615	1810985546	4.06593842050873	1140.35206787568	1140.35206787568	0	0
chr17	29389930	29544340	+	TAOK1	17	72079	66	154344	34664	1810857379	50	154360	28466	1810863577	30	154380	11304	1810880739	3	154407	1840	1810890203	74	154336	38853	1810853190	38	154372	17599	1810874444	3.13849475862824	1138.37819637265	1138.37819637265	0	0
chr19	49289764	49326185	-	SLC6A16	19	81458	49	36372	34681	1810975351	38	36383	28478	1810981554	12	36409	11322	1810998710	0	36421	1843	1811008189	52	36369	38875	1810971157	23	36398	17614	1810992418	4.17747407850743	1110.72894030483	1110.72894030483	0	0
chr11	68166406	68214601	-	KMT5B	11	50789	44	48151	34686	1810963572	44	48151	28472	1810969786	14	48181	11320	1810986938	2	48193	1841	1810996417	55	48140	38872	1810959386	27	48168	17610	1810980648	3.96397040156533	1109.28253633156	1109.28253633156	0	0
chr12	54230941	54281122	-	CBX5	12	55139	43	50138	34687	1810961585	46	50135	28470	1810967802	15	50166	11319	1810984953	1	50180	1842	1810994430	52	50129	38875	1810957397	29	50152	17608	1810978664	3.92355997882338	1094.54677271377	1094.54677271377	0	0
chr17	46029955	46193800	-	KANSL1	17	73375	50	163795	34680	1810847928	56	163789	28460	1810854148	22	163823	11312	1810871296	4	163841	1839	1810880769	79	163766	38848	1810843760	46	163799	17591	1810865017	3.06368321022187	1084.22549596429	1084.22549596429	0	0
chr11	68459748	68613117	+	PPP6R3	11	50796	64	153305	34666	1810858418	52	153317	28464	1810864620	23	153346	11311	1810881773	3	153366	1840	1810891244	74	153295	38853	1810854231	34	153335	17603	1810875481	3.10210649286293	1073.03282766836	1073.03282766836	0	0
chr1	25429896	25500209	+	MACO1	1	1286	60	70253	34670	1810941470	34	70279	28482	1810947658	17	70296	11317	1810964823	0	70313	1843	1810974297	59	70254	38868	1810937272	28	70285	17609	1810958531	3.64867529286124	1058.80421577673	1058.80421577673	0	0
chr6	42563061	42693504	+	UBR2	6	30301	58	130385	34672	1810881338	42	130401	28474	1810887536	13	130430	11321	1810904689	0	130443	1843	1810914167	76	130367	38851	1810877159	43	130400	17594	1810898416	3.18919778892691	1034.46452689217	1034.46452689217	0	0
chr17	7856685	7886209	-	NAA38	17	71159	42	29482	34688	1810982241	35	29489	28481	1810988448	12	29512	11322	1811005607	3	29521	1840	1811015089	47	29477	38880	1810978049	16	29508	17621	1810999308	4.27173375690225	1018.24278003257	1018.24278003257	0	0
chr3	47585268	47782893	-	SMARCC1	3	16092	52	197573	34678	1810814150	58	197567	28458	1810820370	19	197606	11315	1810837513	5	197620	1838	1810846990	89	197536	38838	1810809990	37	197588	17600	1810831228	2.88779568845074	1010.10717036668	1010.10717036668	0	0
chr16	67028148	67101058	+	CBFB	16	69206	57	72853	34673	1810938870	44	72866	28472	1810945071	20	72890	11314	1810962229	1	72909	1842	1810971701	44	72866	38883	1810934660	27	72883	17610	1810955933	3.58675915613938	1008.82257676031	1008.82257676031	0	0
chr16	68084343	68218090	+	NFATC3	16	69349	64	133683	34666	1810878040	49	133698	28467	1810884239	21	133726	11313	1810901393	3	133744	1840	1810910866	62	133685	38865	1810873841	26	133721	17611	1810895095	3.13347493054388	979.2561214827	979.2561214827	0	0
chr6	31739019	31764850	+	MSH5-SAPCD1	6	29647	40	25791	34690	1810985932	27	25804	28489	1810992133	16	25815	11318	1811009304	2	25829	1841	1811018781	40	25791	38887	1810981735	19	25812	17618	1811003004	4.33172917876819	963.027723557781	963.027723557781	0	0
chr6	31739020	31762676	+	MSH5	6	29648	40	23616	34690	1810988107	26	23630	28490	1810994307	15	23641	11319	1811011478	2	23654	1841	1811020956	39	23617	38888	1810983909	19	23637	17618	1811005179	4.39868400934121	961.598669242579	961.598669242579	0	0
chr22	40043816	40335807	+	TNRC6B	22	87879	64	291927	34666	1810719796	56	291935	28460	1810726002	29	291962	11305	1810743157	7	291984	1836	1810752626	89	291902	38838	1810715624	42	291949	17595	1810736867	2.59633465386507	958.510014625266	958.510014625266	0	0
chr19	6783117	6857366	+	VAV1	19	78106	51	74198	34679	1810937525	35	74214	28481	1810943723	14	74235	11320	1810960884	2	74247	1841	1810970363	57	74192	38870	1810933334	25	74224	17612	1810954592	3.52070658771217	938.18588652648	938.18588652648	0	0
chr17	75343404	75373662	+	AC011933.4	17	74784	39	30219	34691	1810981504	32	30226	28484	1810987711	9	30249	11325	1811004870	1	30257	1842	1811014353	46	30212	38881	1810977314	17	30241	17620	1810998575	4.17339115326556	918.09819316119	918.09819316119	0	0
chr17	5281283	5386340	+	RABEP1	17	70841	52	105005	34678	1810906718	46	105011	28470	1810912926	15	105042	11319	1810930077	5	105052	1838	1810939558	51	105006	38876	1810902520	31	105026	17606	1810923790	3.25700712550244	917.861086266581	917.861086266581	0	0
chr1	155764843	155858295	-	GON4L	1	5426	48	93404	34682	1810918319	41	93411	28475	1810924526	14	93438	11320	1810941681	1	93451	1842	1810951159	65	93387	38862	1810914139	22	93430	17615	1810935386	3.32798274656744	902.667931292206	902.667931292206	0	0
chr17	78674047	78783272	-	CYTH1	17	75103	51	109174	34679	1810902549	42	109183	28474	1810908754	18	109207	11316	1810925912	3	109222	1840	1810935388	54	109171	38873	1810898355	31	109194	17606	1810919622	3.21306277091324	896.475732688792	896.475732688792	0	0
chr22	35738735	36029824	-	RBFOX2	22	87567	59	291030	34671	1810720693	62	291027	28454	1810726910	20	291069	11314	1810744050	4	291085	1839	1810753525	81	291008	38846	1810716518	43	291046	17594	1810737770	2.53451177034706	867.730348915793	867.730348915793	0	0
chr12	54261614	54279063	+	SCAT2	12	55144	27	17422	34703	1810994301	27	17422	28489	1811000515	10	17439	11324	1811017680	1	17448	1842	1811027162	36	17413	38891	1810990113	20	17429	17617	1811011387	4.55008151174647	861.417590810917	861.417590810917	0	0
chr9	125747198	125967377	+	PBX3	9	43260	52	220127	34678	1810791596	44	220135	28472	1810797802	16	220163	11318	1810814956	4	220175	1839	1810824435	91	220088	38836	1810787438	35	220144	17602	1810808672	2.70779429048329	858.420669656713	858.420669656713	0	0
chr3	51540579	51668667	+	RAD54L2	3	16449	53	128035	34677	1810883688	35	128053	28481	1810889884	18	128070	11316	1810907049	3	128085	1840	1810916525	62	128026	38865	1810879500	31	128057	17606	1810900759	3.06868516751501	854.195059786551	854.195059786551	0	0
chr17	42457903	42522578	+	ATP6V0A1	17	72977	46	64629	34684	1810947094	39	64636	28477	1810953301	6	64669	11328	1810970450	2	64673	1841	1810979937	46	64629	38881	1810942897	26	64649	17611	1810964167	3.54964157012438	850.597839503083	850.597839503083	0	0
chr6	34587287	34697767	-	ILRUN	6	29956	47	110433	34683	1810901290	40	110440	28476	1810907497	17	110463	11317	1810924656	3	110477	1840	1810934133	56	110424	38871	1810897102	27	110453	17610	1810918363	3.15527020080069	834.896709880326	834.896709880326	0	0
chr22	50342330	50444374	+	PPP6R2	22	88337	38	102006	34692	1810909717	39	102005	28477	1810915932	18	102026	11316	1810933093	2	102042	1841	1810942568	58	101986	38869	1810905540	27	102017	17610	1810926799	3.1916393945868	812.434569390956	812.434569390956	0	0
chr1	150363710	150473556	+	RPRD2	1	4828	40	109806	34690	1810901917	46	109800	28470	1810908137	13	109833	11321	1810925286	3	109843	1840	1810934767	54	109792	38873	1810897734	30	109816	17607	1810919000	3.13971327724876	811.787756050937	811.787756050937	0	0
chr1	15846706	15940456	+	SPEN	1	842	43	93707	34687	1810918016	46	93704	28470	1810924233	11	93739	11323	1810941380	0	93750	1843	1810950860	53	93697	38874	1810913829	24	93726	17613	1810935090	3.24854103665533	809.454961327836	809.454961327836	0	0
chr22	38483439	38507337	-	DDX17	22	87781	29	23869	34701	1810987854	19	23879	28497	1810994058	13	23885	11321	1811011234	0	23898	1843	1811020712	40	23858	38887	1810983668	21	23877	17616	1811004939	4.24346639663197	794.688835443929	794.688835443929	0	0
chrX	155070527	155120150	+	BRCC3	23	91560	36	49587	34694	1810962136	26	49597	28490	1810968340	12	49611	11322	1810985508	2	49621	1841	1810994989	44	49579	38883	1810957947	25	49598	17612	1810979218	3.68527617648848	785.781728485134	785.781728485134	0	0
chr9	137612678	137711013	+	AL590627.3	9	44096	38	98297	34692	1810913426	39	98296	28477	1810919641	13	98322	11321	1810936797	1	98334	1842	1810946276	60	98275	38867	1810909251	24	98311	17613	1810930505	3.18939137677386	780.441309243906	780.441309243906	0	0
chr9	129895811	130044167	-	FNBP1	9	43590	57	148299	34673	1810863424	35	148321	28481	1810869616	17	148339	11317	1810886780	0	148356	1843	1810896254	66	148290	38861	1810859236	24	148332	17613	1810880484	2.90674784504079	780.327313660644	780.327313660644	0	0
chr1	28368739	28500364	+	PHACTR4	1	1504	41	131584	34689	1810880139	40	131585	28476	1810886352	11	131614	11323	1810903505	2	131623	1841	1810912987	58	131567	38869	1810875959	38	131587	17599	1810897229	2.9800851835796	771.441699226853	771.441699226853	0	0
chr22	40824534	40857639	-	ST13	22	87908	25	33080	34705	1810978643	27	33078	28489	1810984859	17	33088	11317	1811002031	1	33104	1842	1811011506	45	33060	38882	1810974466	13	33092	17624	1810995724	3.96539794262776	763.789380989969	763.789380989969	0	0
chr19	8443989	8489110	+	HNRNPM	19	78255	41	45080	34689	1810966643	22	45099	28494	1810972838	15	45106	11319	1810990013	2	45119	1841	1810999491	40	45081	38887	1810962445	18	45103	17619	1810983713	3.73087770471697	760.12789865071	760.12789865071	0	0
chr17	2059842	2304785	-	SMG6	17	70568	47	244896	34683	1810766827	45	244898	28471	1810773039	25	244918	11309	1810790201	5	244938	1838	1810799672	69	244874	38858	1810762652	41	244902	17596	1810783914	2.5588922705123	758.855851044413	758.855851044413	0	0
chr11	65260961	65298685	+	POLA2	11	50401	36	37688	34694	1810974035	27	37697	28489	1810980240	13	37711	11321	1810997408	2	37722	1841	1811006888	33	37691	38894	1810969835	18	37706	17619	1810991110	3.84249056079179	738.696422674693	738.696422674693	0	0
chr15	41659411	41769941	+	MGA	15	63945	51	110479	34679	1810901244	31	110499	28485	1810907438	13	110517	11321	1810924602	2	110528	1841	1810934082	46	110484	38881	1810897042	31	110499	17606	1810918317	3.06670165056537	735.167135810014	735.167135810014	0	0
chr12	57253775	57431808	-	R3HDM2	12	55481	39	177994	34691	1810833729	37	177996	28479	1810839941	17	178016	11317	1810857103	3	178030	1840	1810866580	77	177956	38850	1810829570	30	178003	17607	1810850813	2.74427156072245	733.969192571472	733.969192571472	0	0
chr19	15380049	15419988	-	AKAP8L	19	78919	34	39905	34696	1810971818	25	39914	28491	1810978023	11	39928	11323	1810995191	4	39935	1839	1811004675	40	39899	38887	1810967627	16	39923	17621	1810988893	3.79313179418814	731.874794209376	731.874794209376	0	0
chr1	35930104	36072500	+	AGO3	1	1870	56	142340	34674	1810869383	40	142356	28476	1810875581	15	142381	11319	1810892738	4	142392	1839	1810902218	55	142341	38872	1810865185	18	142378	17619	1810886438	2.89080443314884	731.544268496335	731.544268496335	0	0
chr17	77139931	77214329	+	SEC14L1	17	74991	42	74356	34688	1810937367	26	74372	28490	1810943565	17	74381	11317	1810960738	3	74395	1840	1810970215	41	74357	38886	1810933169	24	74374	17613	1810954442	3.33389285591673	724.863650070969	724.863650070969	0	0
chr1	24744446	24844321	+	CLIC4	1	1249	44	99831	34686	1810911892	27	99848	28489	1810918089	16	99859	11318	1810935260	2	99873	1841	1810944737	49	99826	38878	1810907700	29	99846	17608	1810928970	3.12697893748585	724.818002883811	724.818002883811	0	0
chr19	41548517	41586843	+	CEACAM21	19	80657	26	38300	34704	1810973423	28	38298	28488	1810979639	18	38308	11316	1810996811	0	38326	1843	1811006284	34	38292	38893	1810969234	21	38305	17616	1810990511	3.81099832887969	719.423436951824	719.423436951824	0	0
chr1	150646229	150698154	-	GOLPH3L	1	4867	30	51895	34700	1810959828	30	51895	28486	1810966042	11	51914	11323	1810983205	3	51922	1840	1810992688	43	51882	38884	1810955644	19	51906	17618	1810976910	3.57572657906379	708.018823023886	708.018823023886	0	0
chr16	69564983	69704666	+	NFAT5	16	69450	46	139637	34684	1810872086	49	139634	28467	1810878303	14	139669	11320	1810895450	1	139682	1842	1810904928	46	139637	38881	1810867889	26	139657	17611	1810889159	2.87755862606325	703.653427205049	703.653427205049	0	0
chr11	65260927	65326543	+	AP000944.5	11	50400	40	65576	34690	1810946147	31	65585	28485	1810952352	14	65602	11320	1810969517	2	65614	1841	1810978996	37	65579	38890	1810941947	20	65596	17617	1810963220	3.39884025351862	700.288495014422	700.288495014422	0	0
chr17	75783805	75825799	+	UNK	17	74832	41	41953	34689	1810969770	27	41967	28489	1810975970	8	41986	11326	1810993133	1	41993	1842	1811002617	38	41956	38889	1810965570	12	41982	17625	1810986834	3.71954475336192	696.739705494605	696.739705494605	0	0
chr12	53542886	53626996	-	ATF7	12	55071	39	84071	34691	1810927652	25	84085	28491	1810933852	21	84089	11313	1810951030	2	84108	1841	1810960502	48	84062	38879	1810923464	19	84091	17618	1810944725	3.21767175193751	695.165439920966	695.165439920966	0	0
chr9	128946698	129007096	+	NUP188	9	43497	40	60358	34690	1810951365	34	60364	28482	1810957573	14	60384	11320	1810974735	2	60396	1841	1810984214	33	60365	38894	1810947161	15	60383	17622	1810968433	3.4391185552894	681.865732344333	681.865732344333	0	0
chr9	137618012	137764757	+	EHMT1	9	44101	39	146706	34691	1810865017	40	146705	28476	1810871232	13	146732	11321	1810888387	1	146744	1842	1810897866	63	146682	38864	1810860844	24	146721	17613	1810882095	2.81715495632044	675.443561849184	675.443561849184	0	0
chr12	53530751	53621218	+	AC023509.6	12	55070	39	90428	34691	1810921295	26	90441	28490	1810927496	21	90446	11313	1810944673	2	90465	1841	1810954145	47	90420	38880	1810917106	19	90448	17618	1810938368	3.14478486962935	673.653582599945	673.653582599945	0	0
chr17	4004444	4144030	-	ZZEF1	17	70703	43	139543	34687	1810872180	33	139553	28483	1810878384	22	139564	11312	1810895555	3	139583	1840	1810905027	56	139530	38871	1810867996	19	139567	17618	1810889249	2.8446777307264	669.553378248122	669.553378248122	0	0
chr5	177133228	177295762	+	NSD1	5	28123	58	162476	34672	1810849247	38	162496	28478	1810855441	15	162519	11319	1810872600	1	162533	1842	1810882077	50	162484	38877	1810845042	22	162512	17615	1810866304	2.73694702873638	662.774640180171	662.774640180171	0	0
chr17	48136937	48431219	-	SKAP1	17	73529	55	294227	34675	1810717496	54	294228	28462	1810723709	16	294266	11318	1810740853	3	294279	1840	1810750331	66	294216	38861	1810713310	33	294249	17604	1810734567	2.35349467399949	657.289082852658	657.289082852658	0	0
chr11	64770033	64779763	-	SF1	11	50308	26	9704	34704	1811002019	21	9709	28495	1811008228	5	9725	11329	1811025394	1	9729	1842	1811034881	25	9705	38902	1810997821	8	9722	17629	1811019094	4.79279858599779	653.594622045755	653.594622045755	0	0
chr6	33250277	33272876	-	VPS52	6	29843	32	22567	34698	1810989156	23	22576	28493	1810995361	6	22593	11328	1811012526	1	22598	1842	1811022012	26	22573	38901	1810984953	15	22584	17622	1811006232	4.12982033610391	647.895676169079	647.895676169079	0	0
chrX	155065320	155148775	-	MTCP1	23	91555	36	83419	34694	1810928304	27	83428	28489	1810934509	12	83443	11322	1810951676	2	83453	1841	1810961157	44	83411	38883	1810924115	25	83430	17612	1810945386	3.17206880157442	646.293386743404	646.293386743404	0	0
chr19	51224097	51235966	+	CD33	19	81779	29	11840	34701	1810999883	18	11851	28498	1811006086	5	11864	11329	1811023255	0	11869	1843	1811032741	22	11847	38905	1810995679	14	11855	17623	1811016961	4.6168233323052	638.125551837497	638.125551837497	0	0
chr2	43230851	43596974	-	THADA	2	9650	62	366061	34668	1810645662	47	366076	28469	1810651861	20	366103	11314	1810669016	3	366120	1840	1810678490	71	366052	38856	1810641474	40	366083	17597	1810662733	2.20323627580744	638.07393895695	638.07393895695	0	0
chr12	53506690	53626979	-	ATF7-NPFF	12	55065	42	120247	34688	1810891476	27	120262	28489	1810897675	22	120267	11312	1810914852	2	120287	1841	1810924323	50	120239	38877	1810887287	19	120270	17618	1810908546	2.91049485240502	636.429245820735	636.429245820735	0	0
chr9	132261355	132355986	-	SETX	9	43682	36	94595	34694	1810917128	34	94597	28482	1810923340	13	94618	11321	1810940501	2	94629	1841	1810949981	49	94582	38878	1810912944	16	94615	17621	1810934201	3.07341359506802	635.709132497665	635.709132497665	0	0
chr1	35267708	35422058	+	ZMYM4	1	1841	47	154303	34683	1810857420	32	154318	28484	1810863619	16	154334	11318	1810880785	3	154347	1840	1810890263	53	154297	38874	1810853229	22	154328	17615	1810874488	2.72688694744475	619.911206629127	619.911206629127	0	0
chr17	39259130	39402656	-	FBXL20	17	72632	38	143488	34692	1810868235	47	143479	28469	1810874458	13	143513	11321	1810891606	1	143525	1842	1810901085	50	143476	38877	1810864050	19	143507	17618	1810885309	2.77024336115303	615.632645808626	615.632645808626	0	0
chr1	154219178	154263505	+	UBAP2L	1	5204	30	44297	34700	1810967426	16	44311	28500	1810973626	13	44314	11321	1810990805	1	44326	1842	1811000284	40	44287	38887	1810963239	17	44310	17620	1810984506	3.58331695355441	610.846373298205	610.846373298205	0	0
chr17	47117702	47190295	-	CDC27	17	73446	31	72562	34699	1810939161	28	72565	28488	1810945372	7	72586	11327	1810962533	5	72588	1838	1810972022	44	72549	38883	1810934977	19	72574	17618	1810956242	3.22567447842649	606.961539418437	606.961539418437	0	0
chr12	49366474	49527419	+	SPATS2	12	54709	40	160905	34690	1810850818	43	160902	28473	1810857035	9	160936	11325	1810874183	3	160942	1840	1810883668	52	160893	38875	1810846633	25	160920	17612	1810867896	2.67922911591217	601.036240523215	601.036240523215	0	0
chr12	56520998	56589503	+	RBMS2	12	55400	28	68477	34702	1810943246	33	68472	28483	1810949465	6	68499	11328	1810966620	1	68504	1842	1810976106	42	68463	38885	1810939063	20	68485	17617	1810960331	3.25331257440957	595.749718465377	595.749718465377	0	0
chr22	29882212	30026495	+	MTMR3	22	87288	38	144245	34692	1810867478	40	144243	28476	1810873694	16	144267	11318	1810890852	3	144280	1840	1810900330	51	144232	38876	1810863294	16	144267	17621	1810884549	2.74084859395508	591.952282981016	591.952282981016	0	0
chr16	89738402	89817646	-	FANCA	16	70383	33	79211	34697	1810932512	32	79212	28484	1810938725	9	79235	11325	1810955884	3	79241	1840	1810965369	36	79208	38891	1810928318	21	79223	17616	1810949593	3.13797907123837	584.439819476102	584.439819476102	0	0
chr19	10653360	10684761	+	ILF3	19	78455	35	31366	34695	1810980357	25	31376	28491	1810986561	6	31395	11328	1811003724	3	31398	1840	1811013212	24	31377	38903	1810976149	10	31391	17627	1810997425	3.80064602856945	581.40272587724	581.40272587724	0	0
