chr	start	end	strand	geneName	chrInt	testIndex	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	Zscore	testStat	signedTestStat	pvalue	adjpvalue
chr16	2253125	2265331	-	RNPS1	16	66794	10	12196	13945	1811020302	4	12202	7257	1811026990	8	12198	14521	1811019726	4.51561341980149	155.141035517794	155.141035517794	0	0
chr9	136806942	136834340	+	RABL6	9	43986	9	27389	13946	1811005109	5	27393	7256	1811011799	12	27386	14517	1811004538	3.87392229133462	150.497713506455	150.497713506455	0	0
chr8	144147644	144261809	+	MROH1	8	40836	14	114151	13941	1810918347	10	114155	7251	1810925037	15	114150	14514	1810917774	2.85231073304474	148.939626452513	148.939626452513	0	0
chr9	136799365	136829466	+	AL355987.2	9	43984	9	30092	13946	1811002406	5	30096	7256	1811009096	12	30089	14517	1811001835	3.77980183092718	145.710945050349	145.710945050349	0	0
chr13	71439945	71867769	-	DACH1	13	58965	20	427804	13935	1810604694	18	427806	7243	1810611386	25	427799	14504	1810604125	2.01124609760518	144.192667783354	144.192667783354	0	0
chr3	49727027	49787542	-	IP6K1	3	16316	15	60500	13940	1810971998	8	60507	7253	1810978685	8	60507	14521	1810971417	3.2573566467638	142.312353821122	142.312353821122	0	0
chr19	41548517	41586843	+	CEACAM21	19	80657	14	38312	13941	1810994186	5	38321	7256	1811000871	8	38318	14521	1810993606	3.57593831356987	140.586353522376	140.586353522376	0	0
chr6	31739020	31762676	+	MSH5	6	29648	7	23649	13948	1811008849	6	23650	7255	1811015542	10	23646	14519	1811008278	3.8980996478042	134.223565946217	134.223565946217	0	0
chr22	29882212	30026495	+	MTMR3	22	87288	20	144263	13935	1810888235	9	144274	7252	1810894918	10	144273	14519	1810887651	2.61813662861919	131.864025399904	131.864025399904	0	0
chr6	31739019	31764850	+	MSH5-SAPCD1	6	29647	7	25824	13948	1811006674	6	25825	7255	1811013367	10	25821	14519	1811006103	3.81011051845818	130.26260140806	130.26260140806	0	0
chr12	6987258	7071032	+	C1S	12	53433	10	83764	13945	1810948734	8	83766	7253	1810955426	14	83760	14515	1810948164	2.9638423074241	128.959872793406	128.959872793406	0	0
chr12	56520998	56589503	+	RBMS2	12	55400	10	68495	13945	1810964003	10	68495	7251	1810970697	10	68495	14519	1810963429	3.10049225864741	128.703882481554	128.703882481554	0	0
chr6	32292955	32372912	-	TSBP1	6	29771	9	79948	13946	1810952550	7	79950	7254	1810959242	15	79942	14514	1810951982	2.97870347877856	125.804738055798	125.804738055798	0	0
chr6	32254337	32391931	+	TSBP1-AS1	6	29762	12	137582	13943	1810894916	8	137586	7253	1810901606	17	137577	14512	1810894347	2.61290940528984	124.745067783631	124.745067783631	0	0
chr11	65181461	65211987	+	CAPN1	11	50398	13	30513	13942	1811001985	1	30525	7260	1811008667	9	30517	14520	1811001407	3.64305529233692	122.764527512016	122.764527512016	0	0
chr16	14974128	15036604	+	PDXDC1	16	67497	15	62461	13940	1810970037	2	62474	7259	1810976718	11	62465	14518	1810969459	3.1235746478549	121.359985630377	121.359985630377	0	0
chr16	1679336	1699269	+	JPT2	16	66644	5	19928	13950	1811012570	4	19929	7257	1811019263	11	19922	14518	1811012002	3.92950707722252	117.948734329781	117.948734329781	0	0
chr9	137618012	137764757	+	EHMT1	9	44101	12	146733	13943	1810885765	7	146738	7254	1810892454	17	146728	14512	1810885196	2.52107984176957	115.271225272911	115.271225272911	0	0
chr17	81877666	81879557	+	AC145207.6	17	75353	3	1888	13952	1811030610	3	1888	7258	1811037304	6	1885	14523	1811030039	5.77565802205285	114.659042145242	114.659042145242	0	0
chr17	44395280	44504406	-	GPATCH8	17	73229	15	109111	13940	1810923387	6	109120	7255	1810930072	11	109115	14518	1810922809	2.69941597516693	113.038418952376	113.038418952376	0	0
chr22	40043816	40335807	+	TNRC6B	22	87879	17	291974	13938	1810740524	11	291980	7250	1810747212	18	291973	14511	1810739951	2.0783440717303	110.672949162079	110.672949162079	0	0
chr19	49555710	49581558	-	NOSIP	19	81512	9	25839	13946	1811006659	4	25844	7257	1811013348	7	25841	14522	1811006083	3.66956480491432	107.786188264377	107.786188264377	0	0
chr16	18804859	18927408	-	SMG1	16	67627	13	122536	13942	1810909962	6	122543	7255	1810916649	13	122536	14516	1810909388	2.58338926261028	106.142980227363	106.142980227363	0	0
chr17	2592653	2685615	+	PAFAH1B1	17	70601	12	92950	13943	1810939548	6	92956	7255	1810946236	11	92951	14518	1810938973	2.76121991628796	105.793694242369	105.793694242369	0	0
chr17	77958239	78106037	+	TNRC6C	17	75036	16	147782	13939	1810884716	4	147794	7257	1810891398	14	147784	14515	1810884140	2.45670926496254	104.855560318683	104.855560318683	0	0
chr19	5622138	5668327	+	SAFB	19	77981	8	46181	13947	1810986317	6	46183	7255	1810993009	9	46180	14520	1810985744	3.22879204576134	104.328830913873	104.328830913873	0	0
chr16	424648	523011	+	RAB11FIP3	16	66453	17	98346	13938	1810934152	4	98359	7257	1810940833	8	98355	14521	1810933569	2.70473687584401	102.731071388931	102.731071388931	0	0
chr17	75783805	75825799	+	UNK	17	74832	7	41987	13948	1810990511	7	41987	7254	1810997205	8	41986	14521	1810989938	3.27953883690845	101.939738955116	101.939738955116	0	0
chr16	1705192	1769140	+	MAPK8IP3	16	66648	14	63934	13941	1810968564	5	63943	7256	1810975249	6	63942	14523	1810967982	2.98685284857323	101.846003486658	101.846003486658	0	0
chr17	75343404	75373662	+	AC011933.4	17	74784	8	30250	13947	1811002248	5	30253	7256	1811008939	7	30251	14522	1811001673	3.51199450373953	101.658270744607	101.658270744607	0	0
chr12	53379638	53416446	+	SP1	12	55028	5	36803	13950	1810995695	6	36802	7255	1811002390	10	36798	14519	1810995126	3.36482197296033	100.758873711224	100.758873711224	0	0
chr11	64765651	64778760	-	SF1	11	50307	7	13102	13948	1811019396	3	13106	7258	1811026086	6	13103	14523	1811018821	4.12541093558894	100.516448973096	100.516448973096	0	0
chr6	31797395	31807966	-	LSM2	6	29657	7	10564	13948	1811021934	2	10569	7259	1811028623	6	10565	14523	1811021359	4.27610169092571	98.6863990547135	98.6863990547135	0	0
chr1	1385710	1400335	-	CCNL2	1	145	6	14619	13949	1811017879	3	14622	7258	1811024570	7	14618	14522	1811017306	4.0159312992885	97.0736722601578	97.0736722601578	0	0
chr19	49766133	49807110	+	AP2A1	19	81559	6	40971	13949	1810991527	5	40972	7256	1810998220	10	40967	14519	1810990957	3.25750311462009	96.4164922353812	96.4164922353812	0	0
chr12	54230941	54281122	-	CBX5	12	55139	8	50173	13947	1810982325	4	50177	7257	1810989015	10	50171	14519	1810981753	3.10139391867609	94.4252248754492	94.4252248754492	0	0
chr19	49594521	49626438	+	PRR12	19	81516	9	31908	13946	1811000590	4	31913	7257	1811007279	6	31911	14523	1811000013	3.40727055132204	92.7220381111838	92.7220381111838	0	0
chr9	128946698	129007096	+	NUP188	9	43497	7	60391	13948	1810972107	7	60391	7254	1810978801	9	60389	14520	1810971535	2.96052783343337	92.5505549014779	92.5505549014779	0	0
chr19	8443989	8489110	+	HNRNPM	19	78255	7	45114	13948	1810987384	2	45119	7259	1810994073	12	45109	14517	1810986815	3.16114709425384	92.5334815831157	92.5334815831157	0	0
chr9	137612678	137711013	+	AL590627.3	9	44096	8	98327	13947	1810934171	5	98330	7256	1810940862	14	98321	14515	1810933603	2.63349936199506	92.0677355544176	92.0677355544176	0	0
chr17	82101522	82213819	-	CCDC57	17	75428	8	112289	13947	1810920209	7	112290	7254	1810926902	13	112284	14516	1810919640	2.53711110681494	90.4867836220656	90.4867836220656	0	0
chr17	59706653	59842255	+	VMP1	17	74068	14	135588	13941	1810896910	4	135598	7257	1810903594	12	135590	14517	1810896334	2.41756004264474	90.3790562422946	90.3790562422946	0	0
chr11	68459748	68613117	+	PPP6R3	11	50796	11	153358	13944	1810879140	7	153362	7254	1810885830	13	153356	14516	1810878568	2.32723853812591	88.3140700118383	88.3140700118383	0	0
chr16	15948615	16143053	+	ABCC1	16	67553	16	194422	13939	1810838076	6	194432	7255	1810844760	12	194426	14517	1810837498	2.18239683468166	88.0442554787733	88.0442554787733	0	0
chr17	29389930	29544340	+	TAOK1	17	72079	17	154393	13938	1810878105	4	154406	7257	1810884786	10	154400	14519	1810877524	2.32047285409129	87.9357080140617	87.9357080140617	0	0
chr3	52254433	52279649	-	WDR82	3	16531	9	25207	13946	1811007291	3	25213	7258	1811013979	5	25211	14524	1811006713	3.53168102079761	87.0603510211222	87.0603510211222	0	0
chr12	19128795	19373668	+	PLEKHA5	12	53931	15	244858	13940	1810787640	8	244865	7253	1810794327	14	244859	14515	1810787065	2.03637549062496	86.3183591355337	86.3183591355337	0	0
chr16	68084343	68218090	+	NFATC3	16	69349	6	133741	13949	1810898757	10	133737	7251	1810905455	13	133734	14516	1810898190	2.39740410223291	86.3034377100412	86.3034377100412	0	0
chr16	189895	228686	-	LUC7L	16	66424	9	38782	13946	1810993716	1	38790	7260	1811000402	9	38782	14520	1810993142	3.21217940422588	85.5806489405222	85.5806489405222	0	0
chr3	52547840	52686836	-	PBRM1	3	16564	14	138982	13941	1810893516	5	138991	7256	1810900201	10	138986	14519	1810892938	2.35890306537514	84.2776813923847	84.2776813923847	0	0
chr19	6783117	6857366	+	VAV1	19	78106	12	74237	13943	1810958261	2	74247	7259	1810964945	9	74240	14520	1810957684	2.75402636824212	83.5988561762497	83.5988561762497	0	0
chr16	287440	353449	-	AXIN1	16	66436	9	66000	13946	1810966498	5	66004	7256	1810973188	8	66001	14521	1810965923	2.8271928181447	82.9860300753498	82.9860300753498	0	0
chr12	6666729	6690292	-	ZNF384	12	53349	7	23556	13948	1811008942	3	23560	7258	1811015632	6	23557	14523	1811008367	3.5388320943692	82.1617084698519	82.1617084698519	0	0
chr8	144720908	144756531	-	ZNF251	8	40908	8	35615	13947	1810996883	3	35620	7258	1811003572	7	35616	14522	1810996308	3.24328827277632	82.1522610519314	82.1522610519314	0	0
chr6	78934418	79079254	-	PHIP	6	31005	13	144823	13942	1810887675	7	144829	7254	1810894363	9	144827	14520	1810887097	2.31773990889912	82.1208542495733	82.1208542495733	0	0
chr12	123154214	123231446	-	MPHOSPH9	12	57455	12	77220	13943	1810955278	4	77228	7257	1810961964	7	77225	14522	1810954699	2.71463085843559	81.9045196291991	81.9045196291991	0	0
chr17	77143645	77214360	+	SEC14L1	17	74994	10	70705	13945	1810961793	5	70710	7256	1810968482	7	70708	14522	1810961216	2.7583156403998	80.1413830607198	80.1413830607198	0	0
chr16	233845	266120	+	FAM234A	16	66427	5	32270	13950	1811000228	3	32272	7258	1811006920	9	32266	14520	1810999658	3.28480997064028	78.9462900930084	78.9462900930084	0	0
chr1	15846706	15940456	+	SPEN	1	842	9	93741	13946	1810938757	5	93745	7256	1810945447	10	93740	14519	1810938184	2.56337655597716	78.7245829681633	78.7245829681633	0	0
chr3	47585268	47782893	-	SMARCC1	3	16092	15	197610	13940	1810834888	5	197620	7256	1810841572	12	197613	14517	1810834311	2.10545185522286	78.5199777933303	78.5199777933303	0	0
chr22	40824534	40857639	-	ST13	22	87908	5	33100	13950	1810999398	5	33100	7256	1811006092	7	33098	14522	1810998826	3.25941338038842	78.1156505463878	78.1156505463878	0	0
chr1	1785285	1892087	-	GNB1	1	212	11	106791	13944	1810925707	6	106796	7255	1810932396	8	106794	14521	1810925130	2.47386648212526	77.8898158449447	77.8898158449447	0	0
chr6	42563061	42620351	+	UBR2	6	30300	10	57280	13945	1810975218	2	57288	7259	1810981904	8	57282	14521	1810974642	2.87350215076875	77.1879169467138	77.1879169467138	0	0
chr17	29673839	29762390	-	SSH2	17	72104	6	88545	13949	1810943953	8	88543	7253	1810950649	9	88542	14520	1810943382	2.57784616642631	76.0595713612856	76.0595713612856	0	0
chr19	925034	975939	+	ARID3A	19	77501	6	50899	13949	1810981599	7	50898	7254	1810988294	6	50899	14523	1810981025	2.94035799447071	75.7304351207567	75.7304351207567	0	0
chr19	1204804	1228094	+	STK11	19	77540	4	23286	13951	1811009212	4	23286	7257	1811015906	7	23283	14522	1811008641	3.48590678104864	75.4868070867378	75.4868070867378	0	0
chr10	113853660	113917194	+	NHLRC2	10	47122	8	63526	13947	1810968972	5	63529	7256	1810975663	7	63527	14522	1810968397	2.77003728184069	73.2960573057644	73.2960573057644	0	0
chr4	1693446	1713317	-	SLBP	4	20166	4	19867	13951	1811012631	4	19867	7257	1811019325	6	19865	14523	1811012059	3.5756722258554	72.8942007863661	72.8942007863661	0	0
chr16	1631258	1686715	+	AL031708.1	16	66638	8	55449	13947	1810977049	3	55454	7258	1810983738	8	55449	14521	1810976475	2.85469768992296	72.655246383627	72.655246383627	0	0
chr17	82518731	82604602	+	FOXK2	17	75492	12	85859	13943	1810946639	4	85867	7257	1810953325	6	85865	14523	1810946059	2.56409910713486	72.1945904208114	72.1945904208114	0	0
chr19	29941238	30016612	+	URI1	19	79664	10	75364	13945	1810957134	4	75370	7257	1810963822	7	75367	14522	1810956557	2.64794872154297	72.1748205664335	72.1748205664335	0	0
chr3	47016688	47164967	-	SETD2	3	16064	13	148266	13942	1810884232	4	148275	7257	1810890917	10	148269	14519	1810883655	2.2227229713591	71.8583585062297	71.8583585062297	0	0
chr19	48208085	48256912	-	CARD8	19	81309	7	48820	13948	1810983678	3	48824	7258	1810990368	8	48819	14521	1810983105	2.92793999302073	71.3218402443454	71.3218402443454	0	0
chr17	47521956	47622006	+	NPEPPS	17	73463	7	100043	13948	1810932455	8	100042	7253	1810939150	8	100042	14521	1810931882	2.45573769840285	70.8967679273337	70.8967679273337	0	0
chr11	72002863	72081389	-	NUMA1	11	50946	8	78518	13947	1810953980	5	78521	7256	1810960671	8	78518	14521	1810953406	2.60697557492808	70.5784631087445	70.5784631087445	0	0
chr2	187464229	187514641	-	TFPI	2	13058	6	50406	13949	1810982092	6	50406	7255	1810988786	6	50406	14523	1810981518	2.89598915382116	70.2342549859313	70.2342549859313	0	0
chr1	155913044	155935399	-	KHDC4	1	5433	5	22350	13950	1811010148	3	22352	7258	1811016840	6	22349	14523	1811009575	3.45785412488838	69.6937423474155	69.6937423474155	1.11022302462516e-16	9.27954755402523e-15
chr16	67028115	67098811	+	CBFB	16	69205	9	70687	13946	1810961811	1	70695	7260	1810968497	10	70686	14519	1810961238	2.66320807154084	69.3058434670093	69.3058434670093	1.11022302462516e-16	9.27954755402523e-15
chr19	10133345	10195953	-	DNMT1	19	78392	10	62598	13945	1810969900	3	62605	7258	1810976587	6	62602	14523	1810969322	2.73339457562612	68.3282868377864	68.3282868377864	1.11022302462516e-16	9.27954755402523e-15
chr2	213005362	213151334	-	IKZF2	2	13719	4	145968	13951	1810886530	8	145964	7253	1810893228	14	145958	14515	1810885966	2.20063530512496	68.1748644520994	68.1748644520994	1.11022302462516e-16	9.27954755402523e-15
chr12	49366474	49527419	+	SPATS2	12	54709	14	160931	13941	1810871567	3	160942	7258	1810878250	10	160935	14519	1810870989	2.14074377600493	67.931647569174	67.931647569174	2.22044604925031e-16	1.80399595805525e-14
chr11	65260961	65298685	+	POLA2	11	50401	7	37717	13948	1810994781	4	37720	7257	1811001472	5	37719	14524	1810994205	3.06811396668142	67.6592004161794	67.6592004161794	2.22044604925031e-16	1.80399595805525e-14
chr16	89720006	89738520	+	ZNF276	16	70380	8	18506	13947	1811013992	2	18512	7259	1811020680	3	18511	14526	1811013413	3.57227034277762	67.6018589407904	67.6018589407904	2.22044604925031e-16	1.80399595805525e-14
chr11	66637666	66668374	+	RBM4	11	50637	7	30701	13948	1811001797	4	30704	7257	1811008488	4	30704	14525	1811001220	3.20934771501204	67.4836997857783	67.4836997857783	2.22044604925031e-16	1.80399595805525e-14
chr3	49939149	50077249	+	RBM6	3	16349	9	138091	13946	1810894407	4	138096	7257	1810901096	12	138088	14517	1810893836	2.21682875131176	66.2739640695509	66.2739640695509	4.44089209850063e-16	3.46270365103223e-14
chrX	154675252	154752057	-	GAB3	23	91534	4	76801	13951	1810955697	4	76801	7257	1810962391	12	76793	14517	1810955131	2.58031588391702	66.23148006259	66.23148006259	4.44089209850063e-16	3.46270365103223e-14
chr19	10653327	10685765	+	ILF3	19	78454	5	32433	13950	1811000065	4	32434	7257	1811006758	6	32432	14523	1810999492	3.15453004069836	65.9076024848037	65.9076024848037	4.44089209850063e-16	3.46270365103223e-14
chr12	53513441	53627000	-	ATF7	12	55068	10	113549	13945	1810918949	6	113553	7255	1810925639	7	113552	14522	1810918372	2.32906795906847	65.6034794285661	65.6034794285661	5.55111512312578e-16	4.29952370003169e-14
chr7	12210299	12243367	+	TMEM106B	7	33330	5	33063	13950	1810999435	4	33064	7257	1811006128	6	33062	14523	1810998862	3.13529105824846	65.3553494173102	65.3553494173102	6.66133814775094e-16	5.10834499013666e-14
chr16	5238801	7711458	+	RBFOX1	16	67205	1	2472656	13954	1808559842	2	2472655	7259	1808566537	2	2472655	14527	1808559269	-2.27959367316726	64.8770878069336	-64.8770878069336	7.7715611723761e-16	5.90130703925918e-14
chr16	30471750	30521779	+	ITGAL	16	68268	3	50026	13952	1810982472	4	50025	7257	1810989167	10	50019	14519	1810981905	2.84642317243241	64.7431271529058	64.7431271529058	8.88178419700125e-16	6.65732701940391e-14
chr11	116845592	117099437	-	SIK3	11	52241	13	253832	13942	1810778666	7	253838	7254	1810785354	12	253833	14517	1810778091	1.85505538831561	64.7145529033151	64.7145529033151	8.88178419700125e-16	6.65732701940391e-14
chr16	53155002	53327451	+	CHD9	16	68725	6	172443	13949	1810860055	7	172442	7254	1810866750	14	172435	14515	1810859489	2.0716945578979	64.6572560627246	64.6572560627246	8.88178419700125e-16	6.65732701940391e-14
chr8	115413921	115669007	-	TRPS1	8	40030	11	255075	13944	1810777423	4	255082	7257	1810784110	17	255069	14512	1810776855	1.85017758403678	64.4513750041369	64.4513750041369	9.99200722162641e-16	7.41770861986298e-14
chr11	83457918	85628270	-	DLG2	11	51428	2	2170350	13953	1808862148	0	2170352	7261	1808868840	1	2170351	14528	1808861573	-2.65990442719005	63.7653763006674	-63.7653763006674	1.4432899320127e-15	1.04149952982134e-13
chr13	37009499	37052646	-	SUPT20H	13	58342	7	43140	13948	1810989358	4	43143	7257	1810996049	5	43142	14524	1810988782	2.93377544452018	63.574749286403	63.574749286403	1.55431223447522e-15	1.11469132963785e-13
chr19	1355363	1377094	+	PWWP3A	19	77572	7	21724	13948	1811010774	3	21728	7258	1811017464	3	21728	14526	1811010196	3.41201864406333	63.5627908891765	63.5627908891765	1.55431223447522e-15	1.11469132963785e-13
chr12	53506690	53626979	-	ATF7-NPFF	12	55065	10	120279	13945	1810912219	6	120283	7255	1810918909	7	120282	14522	1810911642	2.27148552053547	63.2204614918446	63.2204614918446	1.88737914186277e-15	1.34113583303741e-13
chr17	4271979	4367628	-	UBE2G1	17	70714	8	95641	13947	1810936857	3	95646	7258	1810943546	10	95639	14519	1810936285	2.40969347555928	62.9689307257068	62.9689307257068	2.1094237467878e-15	1.48980456475262e-13
chr9	128688221	128696396	+	SET	9	43471	3	8172	13952	1811024326	3	8172	7258	1811031020	4	8171	14525	1811023753	4.12746138471758	62.864743353799	62.864743353799	2.22044604925031e-15	1.55404471085483e-13
chr17	28759591	28843792	-	FAM222B	17	72035	7	84194	13948	1810948304	5	84196	7256	1810954996	8	84193	14521	1810947731	2.48836653544103	62.845635002479	62.845635002479	2.22044604925031e-15	1.55404471085483e-13
chr20	63707089	63736141	+	ZGPAT	20	85080	3	29049	13952	1811003449	1	29051	7260	1811010141	10	29042	14519	1811002882	3.19576126009623	62.6202345899073	62.6202345899073	2.55351295663786e-15	1.75024858585361e-13
chr6	33250277	33272876	-	VPS52	6	29843	4	22595	13951	1811009903	4	22595	7257	1811016597	5	22594	14524	1811009330	3.37284407219897	62.5786244755145	62.5786244755145	2.55351295663786e-15	1.75024858585361e-13
chr5	100806932	100904282	-	ST8SIA4	5	26025	9	97341	13946	1810935157	3	97347	7258	1810941845	9	97341	14520	1810934583	2.39206366861807	62.2956567623187	62.2956567623187	2.99760216648792e-15	2.0366164894887e-13
chr4	48497356	48781279	-	FRYL	4	21099	7	283916	13948	1810748582	12	283911	7249	1810755281	14	283909	14515	1810748015	1.77385567807271	62.2512251284206	62.2512251284206	2.99760216648792e-15	2.0366164894887e-13
chr2	190879833	190935289	+	GLS	2	13142	8	55448	13947	1810977050	3	55453	7258	1810983739	6	55450	14523	1810976474	2.74342116463199	61.4554953605402	61.4554953605402	4.55191440096314e-15	3.00478076763578e-13
chr19	18339597	18369950	+	PGPEP1	19	79206	4	30349	13951	1811002149	4	30349	7257	1811008843	6	30347	14523	1811001577	3.15194512459888	61.4448428843171	61.4448428843171	4.55191440096314e-15	3.00478076763578e-13
chr1	35267708	35422058	+	ZMYM4	1	1841	5	154345	13950	1810878153	8	154342	7253	1810884850	12	154338	14517	1810877586	2.10556824629502	61.3526234432356	61.3526234432356	4.77395900588817e-15	3.14242808670871e-13
chrX	31119227	33212519	-	DMD	23	88982	1	2093291	13954	1808939207	1	2093291	7260	1808945901	1	2093291	14528	1808938633	-2.62371038885868	60.9370467988774	-60.9370467988774	5.88418203051333e-15	3.8405857769946e-13
chr12	6493101	6531955	+	NCAPD2	12	53291	6	38848	13949	1810993650	3	38851	7258	1811000341	6	38848	14523	1810993076	2.97401863276205	60.7459446194116	60.7459446194116	6.43929354282591e-15	4.19113234624938e-13
chr1	27456197	27459582	+	FO393419.2	1	1438	3	3382	13952	1811029116	2	3383	7259	1811035809	3	3382	14526	1811028542	4.78640074106843	60.7074527196819	60.7074527196819	6.66133814775094e-15	4.32354338550673e-13
chr20	63707863	63739103	+	AL121845.3	20	85081	3	31237	13952	1811001261	1	31239	7260	1811007953	10	31230	14519	1811000694	3.12313593903549	60.6732669153717	60.6732669153717	6.77236045021346e-15	4.38335842398774e-13
chr17	7591229	7615897	-	FXR2	17	71107	5	24663	13950	1811007835	4	24664	7257	1811014528	4	24664	14525	1811007260	3.2852244112148	60.3824119280325	60.3824119280325	7.7715611723761e-15	4.98839766302019e-13
chr12	53530751	53621218	+	AC023509.6	12	55070	9	90458	13946	1810942040	5	90462	7256	1810948730	6	90461	14523	1810941463	2.41657882483267	60.2216054179007	60.2216054179007	8.43769498715119e-15	5.35678362626899e-13
chr12	55760423	55818709	-	SARNP	12	55264	8	58278	13947	1810974220	3	58283	7258	1810980909	6	58280	14523	1810973644	2.6936422458931	59.8748188695172	59.8748188695172	1.01030295240889e-14	6.37918462015571e-13
chr11	68053819	68122444	-	CHKA	11	50782	7	68618	13948	1810963880	5	68620	7256	1810970572	6	68619	14523	1810963305	2.58751742629694	59.848857122357	59.848857122357	1.02140518265514e-14	6.43180781142952e-13
chr20	13994368	16053197	+	MACROD2	20	83263	1	2058828	13954	1808973670	1	2058828	7260	1808980364	1	2058828	14528	1808973096	-2.60709075712362	59.6747919906629	-59.6747919906629	1.12132525487141e-14	7.04192260059244e-13
chr9	136885515	136926607	+	TRAF2	9	44000	7	41085	13948	1810991413	2	41090	7259	1810998102	6	41086	14523	1810990838	2.91800742600418	59.1540692659328	59.1540692659328	1.45439216225896e-14	9.01180167526642e-13
chr10	103111744	103194298	-	NT5C2	10	46889	6	82548	13949	1810949950	4	82550	7257	1810956642	9	82545	14520	1810949379	2.4567976852698	58.6054964500945	58.6054964500945	1.93178806284777e-14	1.18748749810399e-12
chr12	108646566	108731843	-	CORO1C	12	56773	8	85269	13947	1810947229	4	85273	7257	1810953919	7	85270	14522	1810946654	2.42434138707819	57.4797007201705	57.4797007201705	3.41948691584548e-14	2.0373127686304e-12
chr12	38652202	38906591	-	CPNE8	12	54334	13	254376	13942	1810778122	5	254384	7256	1810784808	12	254377	14517	1810777547	1.78831690045234	57.3151490100427	57.3151490100427	3.70814490224802e-14	2.20364334906995e-12
chr22	21769203	21868440	-	MAPK1	22	86832	8	99229	13947	1810933269	3	99234	7258	1810939958	9	99228	14520	1810932696	2.32404118450394	56.866450342699	56.866450342699	4.66293670342566e-14	2.74994916854819e-12
chr1	35930257	36056462	+	AGO3	1	1871	9	126196	13946	1810906302	2	126203	7259	1810912989	11	126194	14518	1810905730	2.17898604738154	56.8425229879795	56.8425229879795	4.71844785465692e-14	2.77564188229894e-12
chr9	136440096	136484759	-	SEC16A	9	43941	5	44658	13950	1810987840	4	44659	7257	1810994533	6	44657	14523	1810987267	2.83466301554017	56.7948594847694	56.7948594847694	4.84057238736568e-14	2.84029141396033e-12
