chr	start	end	strand	geneName	chrInt	testIndex	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	Zscore	testStat	signedTestStat	pvalue	adjpvalue
chr3	28348177	29767537	+	AC098650.1	3	15467	3	1419357	5817	1809621276	6	1419354	4061	1809623032	0	1419360	2295	1809624798	0	1419360	1255	1809625838	1	1419359	13954	1809613139	0	1419360	7261	1809619832	0	1419360	14529	1809612564	3.17627141453794	17.4959439600352	17.4959439600352	2.87921279867875e-05	0.00605271145288562
chr11	67288302	67302484	+	ANKRD13D	11	50695	0	14182	5820	1811026451	0	14182	4067	1811028204	0	14182	2295	1811029976	0	14182	1255	1811031016	10	14172	13945	1811018326	5	14177	7256	1811025015	12	14170	14517	1811017754	-13.5929738850635	17.2453026769217	-17.2453026769217	3.28508727441834e-05	0.00678036575887448
chr19	41548517	41586843	+	CEACAM21	19	80657	0	38326	5820	1811002307	0	38326	4067	1811004060	0	38326	2295	1811005832	0	38326	1255	1811006872	14	38312	13941	1810994186	5	38321	7256	1811000871	8	38318	14521	1810993606	-13.5924857059696	17.2405860954896	-17.2405860954896	3.29325260933766e-05	0.00678036575887448
chr6	32254337	32391931	+	TSBP1-AS1	6	29762	1	137593	5819	1810903040	0	137594	4067	1810904792	0	137594	2295	1810906564	0	137594	1255	1810907604	12	137582	13943	1810894916	8	137586	7253	1810901606	17	137577	14512	1810894347	-2.63357032144029	16.9713548172731	-16.9713548172731	3.7948057915016e-05	0.00750647327004308
chr17	29625937	29931228	-	SSH2	17	72099	0	305291	5820	1810735342	1	305290	4066	1810737096	0	305291	2295	1810738867	0	305291	1255	1810739907	10	305281	13945	1810727217	10	305281	7251	1810733911	17	305274	14512	1810726650	-2.63351856488897	16.9706212659366	-16.9706212659366	3.79627229730728e-05	0.00750647327004308
chr1	1255177	1274833	-	UBE2J2	1	108	5	19651	5815	1811020982	1	19655	4066	1811022731	0	19656	2295	1811024502	0	19656	1255	1811025542	0	19656	13955	1811012842	0	19656	7261	1811019536	0	19656	14529	1811012268	15.3555001595345	15.5723616860341	15.5723616860341	7.94068727845154e-05	0.0127903049168868
chr21	46097118	46129805	+	COL6A2	21	86382	3	32684	5817	1811007949	1	32686	4066	1811009700	1	32686	2294	1811011472	1	32686	1254	1811012512	0	32687	13955	1810999811	0	32687	7261	1811006505	0	32687	14529	1810999237	14.3554353608583	15.5722729305271	15.5722729305271	7.94106005022055e-05	0.0127903049168868
chr5	151770909	151812785	+	G3BP1	5	27539	0	41876	5820	1810998757	4	41872	4063	1811000514	2	41874	2293	1811002284	0	41876	1255	1811003322	0	41876	13955	1810990622	0	41876	7261	1810997316	0	41876	14529	1810990048	15.3554139149604	15.572258309694	15.572258309694	7.94112145917625e-05	0.0127903049168868
chr15	70656976	70764430	-	UACA	15	65112	3	107451	5817	1810933182	2	107452	4065	1810934934	0	107454	2295	1810936704	1	107453	1254	1810937745	0	107454	13955	1810925044	0	107454	7261	1810931738	0	107454	14529	1810924470	14.3553673501129	15.5721923413221	15.5721923413221	7.94139853889098e-05	0.0127903049168868
chr6	131949945	132077393	+	AL133346.1	6	31971	2	127446	5818	1810913187	1	127447	4066	1810914939	2	127446	2293	1810916712	1	127447	1254	1810917751	0	127448	13955	1810905050	0	127448	7261	1810911744	0	127448	14529	1810904476	14.3553626849165	15.5721849934198	15.5721849934198	7.94142940208076e-05	0.0127903049168868
chr8	121954639	122128184	-	AC037486.1	8	40122	2	173543	5818	1810867090	3	173542	4064	1810868844	1	173544	2294	1810870614	0	173545	1255	1810871653	0	173545	13955	1810858953	0	173545	7261	1810865647	0	173545	14529	1810858379	14.3553560235303	15.5721774422564	15.5721774422564	7.94146111915417e-05	0.0127903049168868
chr8	25844361	26042488	-	EBF2	8	38057	1	198126	5819	1810842507	2	198125	4065	1810844261	2	198125	2293	1810846033	1	198126	1254	1810847072	0	198127	13955	1810834371	0	198127	7261	1810841065	0	198127	14529	1810833797	14.35535373457	15.5721771130338	15.5721771130338	7.94146250198136e-05	0.0127903049168868
chr1	85318485	85579363	-	DDAH1	1	3488	3	260875	5817	1810779758	1	260877	4066	1810781509	1	260877	2294	1810783281	1	260877	1254	1810784321	0	260878	13955	1810771620	0	260878	7261	1810778314	0	260878	14529	1810771046	14.3553498733908	15.5721719192807	15.5721719192807	7.94148431731978e-05	0.0127903049168868
chr11	106687183	107019445	-	GUCY1A2	11	51915	3	332259	5817	1810708374	1	332261	4066	1810710125	1	332261	2294	1810711897	1	332261	1254	1810712937	0	332262	13955	1810700236	0	332262	7261	1810706930	0	332262	14529	1810699662	14.3553472158481	15.5721695735119	15.5721695735119	7.94149417028267e-05	0.0127903049168868
chr10	126041345	126389455	-	ADAM12	10	47469	2	348108	5818	1810692525	2	348108	4065	1810694278	1	348109	2294	1810696049	1	348109	1254	1810697089	0	348110	13955	1810684388	0	348110	7261	1810691082	0	348110	14529	1810683814	14.355346775911	15.5721680272836	15.5721680272836	7.94150066493193e-05	0.0127903049168868
chr10	112446257	112818744	+	VTI1A	10	47073	3	372484	5817	1810668149	1	372486	4066	1810669900	1	372486	2294	1810671672	1	372486	1254	1810672712	0	372487	13955	1810660011	0	372487	7261	1810666705	0	372487	14529	1810659437	14.3553461816953	15.5721675073728	15.5721675073728	7.94150284871842e-05	0.0127903049168868
chrY	13249855	13480665	-	UTY	24	91753	0	230810	5820	1810809823	0	230810	4067	1810811576	0	230810	2295	1810813348	0	230810	1255	1810814388	9	230801	13946	1810801697	6	230804	7255	1810808388	9	230801	14520	1810801123	-13.4743749369846	15.3223110474646	-15.3223110474646	9.06396656736863e-05	0.0135087257201218
chr11	72842953	73141061	-	FCHSD2	11	51050	5	298103	5815	1810742530	3	298105	4064	1810744281	0	298108	2295	1810746050	0	298108	1255	1810747090	31	298077	13924	1810734421	10	298098	7251	1810741094	32	298076	14497	1810733848	-1.23414303914528	15.1508882846683	-15.1508882846683	9.92516066513627e-05	0.0141686485365905
chr4	7758714	7940926	-	AFAP1	4	20415	2	182210	5818	1810858423	4	182208	4063	1810860178	1	182211	2294	1810861947	1	182211	1254	1810862987	0	182212	13955	1810850286	0	182212	7261	1810856980	1	182211	14528	1810849713	3.05842410238723	15.1227221938316	15.1227221938316	0.000100743398210534	0.0141686485365905
chr2	203013878	203219874	+	NBEAL1	2	13483	4	205992	5816	1810834641	2	205994	4065	1810836392	2	205994	2293	1810838164	0	205996	1255	1810839202	0	205996	13955	1810826502	0	205996	7261	1810833196	1	205995	14528	1810825929	3.05842272192615	15.1227206112817	15.1227206112817	0.000100743482659649	0.0141686485365905
chr9	129895811	130044167	-	FNBP1	9	43590	0	148356	5820	1810892277	0	148356	4067	1810894030	0	148356	2295	1810895802	0	148356	1255	1810896842	12	148344	13943	1810884154	4	148352	7257	1810890840	7	148349	14522	1810883575	-13.4318087724572	14.6838758902159	-14.6838758902159	0.000127129214184119	0.0170431925242999
chr2	58519752	59061653	+	LINC01122	2	10015	0	541901	5820	1810498732	0	541901	4067	1810500485	0	541901	2295	1810502257	0	541901	1255	1810503297	8	541893	13947	1810490605	3	541898	7258	1810497294	12	541889	14517	1810490035	-13.431762013671	14.683499438921	-14.683499438921	0.000127154605138791	0.0170431925242999
chr22	29882212	30026495	+	MTMR3	22	87288	0	144283	5820	1810896350	0	144283	4067	1810898103	1	144282	2294	1810899876	1	144282	1254	1810900916	20	144263	13935	1810888235	9	144274	7252	1810894918	10	144273	14519	1810887651	-1.99304685948385	14.1085969544947	-14.1085969544947	0.000172553340478387	0.0222793274341947
chr3	158109105	158544793	+	RSRC1	3	18843	0	435688	5820	1810604945	0	435688	4067	1810606698	0	435688	2295	1810608470	0	435688	1255	1810609510	8	435680	13947	1810596818	5	435683	7256	1810603509	9	435679	14520	1810596245	-13.3872857317316	14.0449416369665	-14.0449416369665	0.000178493291399962	0.0222793274341947
chr3	49727027	49787542	-	IP6K1	3	16316	1	60514	5819	1810980119	0	60515	4067	1810981871	0	60515	2295	1810983643	0	60515	1255	1810984683	15	60500	13940	1810971998	8	60507	7253	1810978685	8	60507	14521	1810971417	-2.45655600940752	13.4885781232733	-13.4885781232733	0.000240020004637298	0.0281216853303096
chr17	28041676	28196381	+	NLK	17	71923	0	154705	5820	1810885928	0	154705	4067	1810887681	0	154705	2295	1810889453	0	154705	1255	1810890493	13	154692	13942	1810877806	2	154703	7259	1810884489	6	154699	14523	1810877225	-13.3407737254878	13.406635197578	-13.406635197578	0.000250735783601797	0.0281216853303096
chr14	67818807	68478099	+	RAD51B	14	61447	0	659292	5820	1810381341	0	659292	4067	1810383094	0	659292	2295	1810384866	0	659292	1255	1810385906	9	659283	13946	1810373215	2	659290	7259	1810379902	10	659282	14519	1810372642	-13.3407300200718	13.4063155220356	-13.4063155220356	0.000250778518535499	0.0281216853303096
chr12	6976184	7019476	-	LPCAT3	12	53432	1	43291	5819	1810997342	0	43292	4067	1810999094	1	43291	2294	1811000867	0	43292	1255	1811001906	13	43279	13942	1810989219	9	43283	7252	1810995909	15	43277	14514	1810988647	-1.94054662264722	13.0389298377559	-13.0389298377559	0.000305082375718135	0.0281216853303096
chr17	50281576	50288855	-	TMEM92-AS1	17	73710	0	7279	5820	1811033354	4	7275	4063	1811035111	1	7278	2294	1811036880	0	7279	1255	1811037919	0	7279	13955	1811025219	0	7279	7261	1811031913	0	7279	14529	1811024645	15.1733369913428	12.9768951504957	12.9768951504957	0.000315358490474593	0.0281216853303096
chr14	22901335	22920178	-	RBM23	14	60093	2	18841	5818	1811021792	1	18842	4066	1811023544	1	18842	2294	1811025316	1	18842	1254	1811026356	0	18843	13955	1811013655	0	18843	7261	1811020349	0	18843	14529	1811013081	14.1730943428566	12.9766626297496	12.9766626297496	0.000315397657139171	0.0281216853303096
chr6	158114730	158169259	-	SERAC1	6	32624	0	54529	5820	1810986104	1	54528	4066	1810987858	2	54527	2293	1810989631	2	54527	1253	1810990671	0	54529	13955	1810977969	0	54529	7261	1810984663	0	54529	14529	1810977395	15.1729943848913	12.9765840717591	12.9765840717591	0.000315410890849521	0.0281216853303096
chr3	138186349	138245635	+	ARMC8	3	18319	2	59284	5818	1810981349	0	59286	4067	1810983100	1	59285	2294	1810984873	2	59284	1253	1810985914	0	59286	13955	1810973212	0	59286	7261	1810979906	0	59286	14529	1810972638	15.1729901431394	12.9765803951304	12.9765803951304	0.000315411510220187	0.0281216853303096
chrX	73943316	74004545	+	JPX	23	89988	1	61228	5819	1810979405	3	61226	4064	1810981160	0	61229	2295	1810982929	1	61228	1254	1810983970	0	61229	13955	1810971269	0	61229	7261	1810977963	0	61229	14529	1810970695	14.1729886034055	12.9765664977022	12.9765664977022	0.000315413851413982	0.0281216853303096
chrX	24148789	24211700	+	ZFX	23	88908	1	62910	5819	1810977723	2	62909	4065	1810979477	1	62910	2294	1810981248	1	62910	1254	1810982288	0	62911	13955	1810969587	0	62911	7261	1810976281	0	62911	14529	1810969013	14.1729873566694	12.9765650827903	12.9765650827903	0.000315414089774424	0.0281216853303096
chrX	73946554	74013945	-	FTX	23	89992	1	67390	5819	1810973243	3	67388	4064	1810974998	0	67391	2295	1810976767	1	67390	1254	1810977808	0	67391	13955	1810965107	0	67391	7261	1810971801	0	67391	14529	1810964533	14.172984306145	12.9765618212987	12.9765618212987	0.000315414639216027	0.0281216853303096
chr2	201805620	201889457	+	CDK15	2	13439	0	83837	5820	1810956796	2	83835	4065	1810958551	2	83835	2293	1810960323	1	83836	1254	1810961362	0	83837	13955	1810948661	0	83837	7261	1810955355	0	83837	14529	1810948087	14.1729759305328	12.9765549278818	12.9765549278818	0.000315415800506869	0.0281216853303096
chr2	173074434	173222204	+	MAP3K20	2	12718	1	147769	5819	1810892864	4	147766	4063	1810894620	0	147770	2295	1810896388	0	147770	1255	1810897428	0	147770	13955	1810884728	0	147770	7261	1810891422	0	147770	14529	1810884154	15.1729610915751	12.9765518130735	12.9765518130735	0.00031541632524057	0.0281216853303096
chr1	8025737	8122702	+	AL034417.3	1	491	2	96963	5818	1810943670	2	96963	4065	1810945423	1	96964	2294	1810947194	0	96965	1255	1810948233	0	96965	13955	1810935533	0	96965	7261	1810942227	0	96965	14529	1810934959	14.172971291985	12.9765503092203	12.9765503092203	0.000315416578586247	0.0281216853303096
chr12	77830288	78210638	+	NAV3	12	56041	0	380350	5820	1810660283	5	380345	4062	1810662041	0	380350	2295	1810663808	0	380350	1255	1810664848	0	380350	13955	1810652148	0	380350	7261	1810658842	0	380350	14529	1810651574	16.1729491711347	12.976547854254	12.976547854254	0.000315416992161199	0.0281216853303096
chr2	12780592	13004905	-	AC064875.1	2	8839	4	224309	5816	1810816324	0	224313	4067	1810818073	0	224313	2295	1810819845	1	224312	1254	1810820886	0	224313	13955	1810808185	0	224313	7261	1810814879	0	224313	14529	1810807611	15.1729544220934	12.9765464309603	12.9765464309603	0.000315417231936066	0.0281216853303096
chr8	76680246	76867281	+	ZFHX4	8	39228	2	187033	5818	1810853600	1	187034	4066	1810855352	2	187033	2293	1810857125	0	187035	1255	1810858163	0	187035	13955	1810845463	0	187035	7261	1810852157	0	187035	14529	1810844889	14.1729569938569	12.9765377324075	12.9765377324075	0.000315418697339642	0.0281216853303096
chr15	96127368	96328021	-	NR2F2-AS1	15	66176	1	200652	5819	1810839981	3	200650	4064	1810841736	1	200652	2294	1810843506	0	200653	1255	1810844545	0	200653	13955	1810831845	0	200653	7261	1810838539	0	200653	14529	1810831271	14.1729559221222	12.9765375643037	12.9765375643037	0.000315418725659433	0.0281216853303096
chr1	214357750	214552223	-	PTPN14	1	7447	0	194473	5820	1810846160	2	194471	4065	1810847915	2	194471	2293	1810849687	1	194472	1254	1810850726	0	194473	13955	1810838025	0	194473	7261	1810844719	0	194473	14529	1810837451	14.172956399478	12.9765374418348	12.9765374418348	0.000315418746291152	0.0281216853303096
chr7	134743251	134968402	+	CALD1	7	36437	2	225149	5818	1810815484	1	225150	4066	1810817236	1	225150	2294	1810819008	1	225150	1254	1810820048	0	225151	13955	1810807347	0	225151	7261	1810814041	0	225151	14529	1810806773	14.1729543864626	12.9765357701108	12.9765357701108	0.000315419027919428	0.0281216853303096
chr3	126703239	126960420	+	CHCHD6	3	17970	2	257179	5818	1810783454	2	257179	4065	1810785207	1	257180	2294	1810786978	0	257181	1255	1810788017	0	257181	13955	1810775317	0	257181	7261	1810782011	0	257181	14529	1810774743	14.172952797228	12.9765350797679	12.9765350797679	0.000315419144218509	0.0281216853303096
chr15	73051462	73305205	+	NEO1	15	65199	2	253741	5818	1810786892	2	253741	4065	1810788645	1	253742	2294	1810790416	0	253743	1255	1810791455	0	253743	13955	1810778755	0	253743	7261	1810785449	0	253743	14529	1810778181	14.1729529324783	12.9765343465842	12.9765343465842	0.00031541926773504	0.0281216853303096
chr8	126875890	127399211	+	PCAT1	8	40281	2	523319	5818	1810517314	1	523320	4066	1810519066	1	523320	2294	1810520838	1	523320	1254	1810521878	0	523321	13955	1810509177	0	523321	7261	1810515871	0	523321	14529	1810508603	14.1729470849484	12.9765306175686	12.9765306175686	0.000315419895947744	0.0281216853303096
chr3	115802373	116446487	-	LSAMP	3	17655	2	644112	5818	1810396521	2	644112	4065	1810398274	1	644113	2294	1810400045	0	644114	1255	1810401084	0	644114	13955	1810388384	0	644114	7261	1810395078	0	644114	14529	1810387810	14.1729460770596	12.9765286047477	12.9765286047477	0.000315420235040276	0.0281216853303096
chr6	159679118	159763529	-	SOD2	6	32677	1	84410	5819	1810956223	1	84410	4066	1810957976	3	84408	2292	1810959750	2	84409	1253	1810960789	0	84411	13955	1810948087	0	84411	7261	1810954781	1	84410	14528	1810947514	2.92482833818073	12.7775761261582	12.7775761261582	0.000350799181351835	0.0294668137901087
chr2	218450250	218569351	-	USP37	2	13883	4	119097	5816	1810921536	1	119100	4066	1810923286	1	119100	2294	1810925058	1	119100	1254	1810926098	0	119101	13955	1810913397	0	119101	7261	1810920091	1	119100	14528	1810912824	2.92482191788551	12.7775683416985	12.7775683416985	0.000350800641173543	0.0294668137901087
chr9	120388868	120581170	-	CDK5RAP2	9	43055	2	192300	5818	1810848333	3	192299	4064	1810850087	2	192300	2293	1810851858	0	192302	1255	1810852896	1	192301	13954	1810840197	0	192302	7261	1810846890	0	192302	14529	1810839622	2.92481596978224	12.7775608119555	12.7775608119555	0.000350802053233901	0.0294668137901087
chr7	66627957	66811189	+	AC027644.4	7	34597	2	183230	5818	1810857403	1	183231	4066	1810859155	1	183231	2294	1810860927	3	183229	1252	1810861969	1	183231	13954	1810849267	0	183232	7261	1810855960	0	183232	14529	1810848692	2.92481644645238	12.7775606685318	12.7775606685318	0.000350802080130386	0.0294668137901087
chr1	185733390	186190949	+	HMCN1	1	6613	5	457554	5815	1810583079	1	457558	4066	1810584828	0	457559	2295	1810586599	1	457558	1254	1810587640	1	457558	13954	1810574940	0	457559	7261	1810581633	0	457559	14529	1810574365	2.92481025646218	12.7775561902672	12.7775561902672	0.000350802919946713	0.0294668137901087
chr17	48136937	48431219	-	SKAP1	17	73529	0	294282	5820	1810746351	0	294282	4067	1810748104	0	294282	2295	1810749876	0	294282	1255	1810750916	11	294271	13944	1810738227	3	294279	7258	1810744913	6	294276	14523	1810737648	-13.2919272672128	12.7678718008101	-12.7678718008101	0.000352623801151752	0.0294668137901087
chr16	424648	523011	+	RAB11FIP3	16	66453	1	98362	5819	1810942271	0	98363	4067	1810944023	0	98363	2295	1810945795	0	98363	1255	1810946835	17	98346	13938	1810934152	4	98359	7257	1810940833	8	98355	14521	1810933569	-2.38973260502237	12.3415088830516	-12.3415088830516	0.000442996814491448	0.0368628724258696
chr10	103111744	103194298	-	NT5C2	10	46889	0	82554	5820	1810958079	0	82554	4067	1810959832	0	82554	2295	1810961604	0	82554	1255	1810962644	6	82548	13949	1810949950	4	82550	7257	1810956642	9	82545	14520	1810949379	-13.240675490868	12.1297801830806	-12.1297801830806	0.000496229688080718	0.0407947694061096
chr3	128725192	128814353	+	RAB7A	3	18044	0	89161	5820	1810951472	0	89161	4067	1810953225	0	89161	2295	1810954997	0	89161	1255	1810956037	8	89153	13947	1810943345	4	89157	7257	1810950035	7	89154	14522	1810942770	-13.2406682062492	12.1297347233631	-12.1297347233631	0.000496241784793683	0.0407947694061096
chr6	61679960	62287225	-	KHDRBS2	6	30766	0	607265	5820	1810433368	0	607265	4067	1810435121	0	607265	2295	1810436893	0	607265	1255	1810437933	5	607260	13950	1810425238	4	607261	7257	1810431931	10	607255	14519	1810424669	-13.2405905445319	12.1292296866886	-12.1292296866886	0.000496376193765191	0.0407947694061096
chr11	66069271	66244744	+	PACS1	11	50552	9	175464	5811	1810865169	2	175471	4065	1810866915	3	175470	2292	1810868688	2	175471	1253	1810869727	41	175432	13914	1810857066	21	175452	7240	1810863740	37	175436	14492	1810856488	-0.845883705137616	11.9565929861274	-11.9565929861274	0.000544543512977502	0.044569993842925
chr2	229763837	229923009	-	TRIP12	2	14187	4	159168	5816	1810881465	3	159169	4064	1810883217	2	159170	2293	1810884988	0	159172	1255	1810886026	1	159171	13954	1810873327	1	159171	7260	1810880021	1	159171	14528	1810872753	2.07761257537448	11.7773374724202	11.7773374724202	0.000599561784658476	0.0482818481718763
