chr	start	end	strand	geneName	chrInt	testIndex	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	Zscore	testStat	signedTestStat	pvalue	adjpvalue
chr16	67028148	67101058	+	CBFB	16	69206	41	72869	19707	1810953836	12	72898	5271	1810968272	1	72909	684	1810972859	12	72898	9771	1810963772	12	72898	3626	1810969917	3	72907	1895	1810971648	61	72849	22933	1810950610	33	72877	18103	1810955440	37	72873	15219	1810958324	3.99253446326592	1276.12666900363	1276.12666900363	0	0
chr3	49939149	50077249	+	RBM6	3	16349	56	138044	19692	1810888661	10	138090	5273	1810903080	3	138097	682	1810907671	21	138079	9762	1810898591	5	138095	3633	1810904720	6	138094	1892	1810906461	55	138045	22939	1810885414	58	138042	18078	1810890275	34	138066	15222	1810893131	3.51079644481299	1259.51565301418	1259.51565301418	0	0
chr3	49727027	49787542	-	IP6K1	3	16316	37	60478	19711	1810966227	4	60511	5279	1810980659	1	60514	684	1810985254	22	60493	9761	1810976177	5	60510	3633	1810982305	4	60511	1894	1810984044	59	60456	22935	1810963003	32	60483	18104	1810967834	29	60486	15227	1810970711	4.08482551244615	1196.78041132214	1196.78041132214	0	0
chr17	42199176	42277391	-	STAT5B	17	72955	59	78156	19689	1810948549	11	78204	5272	1810962966	1	78214	684	1810967554	22	78193	9761	1810958477	8	78207	3630	1810964608	5	78210	1893	1810966345	42	78173	22952	1810945286	27	78188	18109	1810950129	30	78185	15226	1810953012	3.88860564899565	1192.2327433154	1192.2327433154	0	0
chr17	75941506	75980166	-	ACOX1	17	74852	29	38631	19719	1810988074	9	38651	5274	1811002519	3	38657	682	1811007111	20	38640	9763	1810998030	6	38654	3632	1811004161	2	38658	1896	1811005897	39	38621	22955	1810984838	36	38624	18100	1810989693	24	38636	15232	1810992561	4.39410922663633	1144.18316614535	1144.18316614535	0	0
chr1	155335267	155563693	-	ASH1L	1	5388	56	228370	19692	1810798335	13	228413	5270	1810812757	1	228425	684	1810817343	27	228399	9756	1810808271	6	228420	3632	1810814395	4	228422	1894	1810816133	75	228351	22919	1810795108	39	228387	18097	1810799930	46	228380	15210	1810802817	3.08143607930602	1135.28504346544	1135.28504346544	0	0
chr19	49289764	49326185	-	SLC6A16	19	81458	26	36395	19722	1810990310	14	36407	5269	1811004763	1	36420	684	1811009348	12	36409	9771	1811000261	7	36414	3631	1811006401	4	36417	1894	1811008138	28	36393	22966	1810987066	40	36381	18096	1810991936	29	36392	15227	1810994805	4.41114978067466	1101.9381705462	1101.9381705462	0	0
chr17	75320340	75394803	-	GRB2	17	74783	27	74436	19721	1810952269	10	74453	5273	1810966717	0	74463	685	1810971305	16	74447	9767	1810962223	12	74451	3626	1810968364	6	74457	1892	1810970098	44	74419	22950	1810949040	33	74430	18103	1810953887	34	74429	15222	1810956768	3.81850108445858	1033.54021748947	1033.54021748947	0	0
chr1	8436769	8818271	-	RERE	1	506	46	381456	19702	1810645249	17	381485	5266	1810659685	3	381499	682	1810664269	35	381467	9748	1810655203	9	381493	3629	1810661322	4	381498	1894	1810663057	68	381434	22926	1810642025	61	381441	18075	1810646876	48	381454	15208	1810649743	2.65471003177297	1003.18630304933	1003.18630304933	0	0
chr1	27977272	28089564	-	EYA3	1	1488	34	112258	19714	1810914447	10	112282	5273	1810928888	1	112291	684	1810933477	25	112267	9758	1810924403	6	112286	3632	1810930529	4	112288	1894	1810932267	52	112240	22942	1810911219	41	112251	18095	1810916066	25	112267	15231	1810918930	3.49200524155649	998.461435513105	998.461435513105	0	0
chr6	34279678	34393669	-	NUDT3	6	29940	31	113960	19717	1810912745	5	113986	5278	1810927184	0	113991	685	1810931777	16	113975	9767	1810922695	9	113982	3629	1810928833	4	113987	1894	1810930568	53	113938	22941	1810909521	39	113952	18097	1810914365	41	113950	15215	1810917247	3.47698356301554	992.696419811342	992.696419811342	0	0
chr19	48208085	48256912	-	CARD8	19	81309	30	48797	19718	1810977908	9	48818	5274	1810992352	3	48824	682	1810996944	19	48808	9764	1810987862	5	48822	3633	1810993993	4	48823	1894	1810995732	35	48792	22959	1810974667	30	48797	18106	1810979520	24	48803	15232	1810982394	4.10531399195871	992.407486862969	992.407486862969	0	0
chr6	34286968	34427046	-	RPS10-NUDT3	6	29943	32	140046	19716	1810886659	5	140073	5278	1810901097	0	140078	685	1810905690	17	140061	9766	1810896609	9	140069	3629	1810902746	4	140074	1894	1810904481	54	140024	22940	1810883435	39	140039	18097	1810888278	41	140037	15215	1810891160	3.2859137950727	933.550869474188	933.550869474188	0	0
chr17	42315558	42389414	-	STAT3	17	72969	34	73822	19714	1810952883	7	73849	5276	1810967321	0	73856	685	1810971912	19	73837	9764	1810962833	4	73852	3634	1810968963	7	73849	1891	1810970706	45	73811	22949	1810949648	23	73833	18113	1810954484	27	73829	15229	1810957368	3.73447434754264	915.453747760504	915.453747760504	0	0
chr1	153809809	153923030	-	GATAD2B	1	5149	28	113193	19720	1810913512	11	113210	5272	1810927960	1	113220	684	1810932548	21	113200	9762	1810923470	6	113215	3632	1810929600	3	113218	1895	1810931337	44	113177	22950	1810910282	34	113187	18102	1810915130	38	113183	15218	1810918014	3.42110429245924	912.431876899209	912.431876899209	0	0
chr17	81556886	81638112	-	NPLOC4	17	75294	26	81200	19722	1810945505	8	81218	5275	1810959952	0	81226	685	1810964542	11	81215	9772	1810955455	7	81219	3631	1810961596	3	81223	1895	1810963332	45	81181	22949	1810942278	44	81182	18092	1810947135	23	81203	15233	1810949994	3.64534040515018	891.945831365418	891.945831365418	0	0
chr6	31739020	31762676	+	MSH5	6	29648	18	23638	19730	1811003067	9	23647	5274	1811017523	1	23655	684	1811022113	15	23641	9768	1811013029	5	23651	3633	1811019164	2	23654	1896	1811020901	22	23634	22972	1810999825	25	23631	18111	1811004686	25	23631	15231	1811007566	4.56500913507517	872.162341882009	872.162341882009	0	0
chr6	31739019	31764850	+	MSH5-SAPCD1	6	29647	18	25813	19730	1811000892	9	25822	5274	1811015348	1	25830	684	1811019938	15	25816	9768	1811010854	6	25825	3632	1811016990	2	25829	1896	1811018726	22	25809	22972	1810997650	25	25806	18111	1811002511	25	25806	15231	1811005391	4.48516511444932	859.888579248451	859.888579248451	0	0
chr1	150363649	150476566	+	RPRD2	1	4826	45	112872	19703	1810913833	4	112913	5279	1810928257	1	112916	684	1810932852	17	112900	9766	1810923770	4	112913	3634	1810929902	5	112912	1893	1810931643	43	112874	22951	1810910585	31	112886	18105	1810915431	26	112891	15230	1810918306	3.368415260899	845.472340350971	845.472340350971	0	0
chr11	68166406	68214601	-	KMT5B	11	50789	26	48169	19722	1810978536	10	48185	5273	1810992985	2	48193	683	1810997575	15	48180	9768	1810988490	8	48187	3630	1810994628	4	48191	1894	1810996364	20	48175	22974	1810975284	33	48162	18103	1810980155	22	48173	15234	1810983024	3.99083396407466	842.357804746833	842.357804746833	0	0
chr6	34587287	34697767	-	ILRUN	6	29956	34	110446	19714	1810916259	9	110471	5274	1810930699	3	110477	682	1810935291	14	110466	9769	1810926204	3	110477	3635	1810932338	3	110477	1895	1810934078	38	110442	22956	1810913017	38	110442	18098	1810917875	32	110448	15224	1810920749	3.37878825268326	839.353518489283	839.353518489283	0	0
chr22	40044473	40323360	+	TNRC6B	22	87880	40	278847	19708	1810747858	13	278874	5270	1810762296	1	278886	684	1810766882	23	278864	9760	1810757806	3	278884	3635	1810763931	3	278884	1895	1810765671	60	278827	22934	1810744632	45	278842	18091	1810749475	44	278843	15212	1810752354	2.74089307142845	837.199359157588	837.199359157588	0	0
chr17	5281486	5383223	+	RABEP1	17	70842	37	101700	19711	1810925005	10	101727	5273	1810939443	3	101734	682	1810944034	16	101721	9767	1810934949	4	101733	3634	1810941082	3	101734	1895	1810942821	39	101698	22955	1810921761	33	101704	18103	1810926613	22	101715	15234	1810929482	3.42011280407819	818.936738059856	818.936738059856	0	0
chr17	29389930	29544340	+	TAOK1	17	72079	42	154368	19706	1810872337	9	154401	5274	1810886769	1	154409	684	1810891359	24	154386	9759	1810882284	3	154407	3635	1810888408	2	154408	1896	1810890147	34	154376	22960	1810869083	45	154365	18091	1810873952	28	154382	15228	1810876815	3.1214654621354	813.887292014901	813.887292014901	0	0
chr11	68459747	68613882	+	PPP6R3	11	50795	32	154103	19716	1810872602	12	154123	5271	1810887047	1	154134	684	1810891634	20	154115	9763	1810882555	6	154129	3632	1810888686	1	154134	1897	1810890421	52	154083	22942	1810869376	36	154099	18100	1810874218	25	154110	15231	1810877087	3.10712865299268	795.836801663507	795.836801663507	0	0
chr3	48917835	48983620	+	ARIH2	3	16208	27	65758	19721	1810960947	12	65773	5271	1810975397	1	65784	684	1810979984	11	65774	9772	1810970896	5	65780	3633	1810977035	0	65785	1898	1810978770	34	65751	22960	1810957708	28	65757	18108	1810962560	22	65763	15234	1810965434	3.67957406262988	757.113432488404	757.113432488404	0	0
chr3	47585268	47782893	-	SMARCC1	3	16092	40	197585	19708	1810829120	12	197613	5271	1810843557	2	197623	683	1810848145	25	197600	9758	1810839070	6	197619	3632	1810845196	3	197622	1895	1810846933	49	197576	22945	1810825883	35	197590	18101	1810830727	20	197605	15236	1810833592	2.89574027375699	748.82087534992	748.82087534992	0	0
chr12	53530751	53621218	+	AC023509.6	12	55070	34	90433	19714	1810936272	11	90456	5272	1810950714	1	90466	684	1810955302	13	90454	9770	1810946216	8	90459	3630	1810952356	2	90465	1896	1810954090	36	90431	22958	1810933028	27	90440	18109	1810937877	19	90448	15237	1810940749	3.43665049567158	745.330499814823	745.330499814823	0	0
chr6	42563061	42693504	+	UBR2	6	30301	39	130404	19709	1810896301	10	130433	5273	1810910737	2	130441	683	1810915327	21	130422	9762	1810906248	3	130440	3635	1810912375	4	130439	1894	1810914116	41	130402	22953	1810893057	26	130417	18110	1810897900	21	130422	15235	1810900775	3.1714988185892	738.997043057345	738.997043057345	0	0
chr12	53542886	53626996	-	ATF7	12	55071	34	84076	19714	1810942629	11	84099	5272	1810957071	1	84109	684	1810961659	10	84100	9773	1810952570	7	84103	3631	1810958712	2	84108	1896	1810960447	37	84073	22957	1810939386	26	84084	18110	1810944233	19	84091	15237	1810947106	3.4826368071769	738.684855168685	738.684855168685	0	0
chr9	125747198	125967377	+	PBX3	9	43260	37	220142	19711	1810806563	7	220172	5276	1810820998	0	220179	685	1810825589	17	220162	9766	1810816508	7	220172	3631	1810822643	3	220176	1895	1810824379	53	220126	22941	1810803333	32	220147	18104	1810808170	41	220138	15215	1810811059	2.81340678883217	737.747160424013	737.747160424013	0	0
chr1	27408196	27491051	-	WASF2	1	1437	28	82827	19720	1810943878	7	82848	5276	1810958322	1	82854	684	1810962914	16	82839	9767	1810953831	5	82850	3633	1810959965	2	82853	1896	1810961702	36	82819	22958	1810940640	30	82825	18106	1810945492	21	82834	15235	1810948363	3.49083673531875	735.981894833967	735.981894833967	0	0
chr19	6771727	6857360	+	VAV1	19	78105	26	85607	19722	1810941098	7	85626	5276	1810955544	2	85631	683	1810960137	18	85615	9765	1810951055	7	85626	3631	1810957189	1	85632	1897	1810958923	26	85607	22968	1810937852	38	85595	18098	1810942722	21	85612	15235	1810945585	3.45784820953822	726.649352618028	726.649352618028	0	0
chr1	25429896	25500209	+	MACO1	1	1286	26	70287	19722	1810956418	11	70302	5272	1810970868	2	70311	683	1810975457	13	70300	9770	1810966370	7	70306	3631	1810972509	1	70312	1897	1810974243	26	70287	22968	1810953172	24	70289	18112	1810958028	28	70285	15228	1810960912	3.59857320788798	724.535745049361	724.535745049361	0	0
chr12	53506690	53626979	-	ATF7-NPFF	12	55065	37	120252	19711	1810906453	12	120277	5271	1810920893	1	120288	684	1810925480	13	120276	9770	1810916394	8	120281	3630	1810922534	2	120287	1896	1810924268	38	120251	22956	1810903208	28	120261	18108	1810908056	20	120269	15236	1810910928	3.20337780701669	713.325428078882	713.325428078882	0	0
chr6	35580556	35689942	-	FKBP5	6	30006	32	109354	19716	1810917351	4	109382	5279	1810931788	1	109385	684	1810936383	18	109368	9765	1810927302	7	109379	3631	1810933436	3	109383	1895	1810935172	32	109354	22962	1810914105	27	109359	18109	1810918958	29	109357	15227	1810921840	3.25988137649459	703.020590189379	703.020590189379	0	0
chr17	78674047	78783272	-	CYTH1	17	75103	35	109190	19713	1810917515	8	109217	5275	1810931953	2	109223	683	1810936545	14	109211	9769	1810927459	6	109219	3632	1810933596	5	109220	1893	1810935335	29	109196	22965	1810914263	31	109194	18105	1810919123	20	109205	15236	1810921992	3.24151721704738	683.945247075521	683.945247075521	0	0
chr12	57253775	57431808	-	R3HDM2	12	55481	27	178006	19721	1810848699	11	178022	5272	1810863148	1	178032	684	1810867736	19	178014	9764	1810858656	12	178021	3626	1810864794	2	178031	1896	1810866524	42	177991	22952	1810845468	27	178006	18109	1810850311	30	178003	15226	1810853194	2.88410406738623	663.19381715823	663.19381715823	0	0
chr17	77139931	77214329	+	SEC14L1	17	74991	28	74370	19720	1810952335	4	74394	5279	1810966776	2	74396	683	1810971372	9	74389	9774	1810962281	5	74393	3633	1810968422	4	74394	1894	1810970161	34	74364	22960	1810949095	21	74377	18115	1810953940	20	74378	15236	1810956819	3.45888154162577	632.362826418597	632.362826418597	0	0
chr5	177133228	177295762	+	NSD1	5	28123	26	162508	19722	1810864197	16	162518	5267	1810878652	0	162534	685	1810883234	9	162525	9774	1810874145	7	162527	3631	1810880288	1	162533	1897	1810882022	36	162498	22958	1810860961	50	162484	18086	1810865833	15	162519	15241	1810868678	2.90859499458127	627.951419734396	627.951419734396	0	0
chr16	68084343	68218090	+	NFATC3	16	69349	31	133716	19717	1810892989	4	133743	5279	1810907427	0	133747	685	1810912021	26	133721	9757	1810902949	5	133742	3633	1810909073	3	133744	1895	1810910811	46	133701	22948	1810889758	16	133731	18120	1810894586	19	133728	15237	1810897469	3.03892682473227	625.812061539386	625.812061539386	0	0
chr19	41548517	41586843	+	CEACAM21	19	80657	14	38312	19734	1810988393	5	38321	5278	1811002849	0	38326	685	1811007442	12	38314	9771	1810998356	3	38323	3635	1811004492	3	38323	1895	1811006232	22	38304	22972	1810985155	30	38296	18106	1810990021	16	38310	15240	1810992887	3.9319002109607	619.667092603631	619.667092603631	0	0
chr22	50342330	50444374	+	PPP6R2	22	88337	34	102010	19714	1810924695	9	102035	5274	1810939135	0	102044	685	1810943724	19	102025	9764	1810934645	3	102041	3635	1810940774	1	102043	1897	1810942512	28	102016	22966	1810921443	17	102027	18119	1810926290	24	102020	15232	1810929177	3.20400496637456	605.846763884183	605.846763884183	0	0
chr12	6987258	7071032	+	C1S	12	53433	16	83758	19732	1810942947	5	83769	5278	1810957401	0	83774	685	1810961994	19	83755	9764	1810952915	5	83769	3633	1810959046	2	83772	1896	1810960783	38	83736	22956	1810939723	25	83749	18111	1810944568	17	83757	15239	1810947440	3.34015475459245	603.218547557481	603.218547557481	0	0
chrX	155070419	155121318	+	BRCC3	23	91556	11	50888	19737	1810975817	4	50895	5279	1810990275	2	50897	683	1810994871	12	50887	9771	1810985783	7	50892	3631	1810991923	5	50894	1893	1810993661	27	50872	22967	1810972587	22	50877	18114	1810977440	20	50879	15236	1810980318	3.69466528808081	598.143377456348	598.143377456348	0	0
chr1	150646229	150698154	-	GOLPH3L	1	4867	24	51901	19724	1810974804	2	51923	5281	1810989247	0	51925	685	1810993843	10	51915	9773	1810984755	4	51921	3634	1810990894	5	51920	1893	1810992635	27	51898	22967	1810971561	22	51903	18114	1810976414	15	51910	15241	1810979287	3.66555578924829	586.522122114897	586.522122114897	0	0
chr9	129887186	130044189	-	FNBP1	9	43587	31	156972	19717	1810869733	11	156992	5272	1810884178	2	157001	683	1810888767	21	156982	9762	1810879688	4	156999	3634	1810885816	1	157002	1897	1810887553	28	156975	22966	1810866484	30	156973	18106	1810871344	23	156980	15233	1810874217	2.88523052442836	585.976104218513	585.976104218513	0	0
chr17	7856685	7886209	-	NAA38	17	71159	25	29499	19723	1810997206	6	29518	5277	1811011652	1	29523	684	1811016245	5	29519	9778	1811007151	2	29522	3636	1811013293	4	29520	1894	1811015035	20	29504	22974	1810993955	13	29511	18123	1810998806	18	29506	15238	1811001691	4.08211648504347	582.479750775266	582.479750775266	0	0
chr12	6976184	7019476	-	LPCAT3	12	53432	15	43277	19733	1810983428	3	43289	5280	1810997881	0	43292	685	1811002476	12	43280	9771	1810993390	4	43288	3634	1810999527	1	43291	1897	1811001264	31	43261	22963	1810980198	24	43268	18112	1810985049	13	43279	15243	1810987918	3.79075344529412	579.408056442626	579.408056442626	0	0
chr12	54230941	54281122	-	CBX5	12	55139	26	50155	19722	1810976550	8	50173	5275	1810990997	0	50181	685	1810995587	6	50175	9777	1810986495	3	50178	3635	1810992637	1	50180	1897	1810994375	19	50162	22975	1810973297	22	50159	18114	1810978158	20	50161	15236	1810981036	3.66229103860978	564.334567443933	564.334567443933	0	0
chr9	137604743	137711018	+	AL590627.3	9	44095	25	106250	19723	1810920455	10	106265	5273	1810934905	4	106271	681	1810939497	11	106264	9772	1810930406	4	106271	3634	1810936544	4	106271	1894	1810938284	27	106248	22967	1810917211	24	106251	18112	1810922066	20	106255	15236	1810924942	3.11783666081642	557.641999704298	557.641999704298	0	0
chr17	75343404	75373662	+	AC011933.4	17	74784	15	30243	19733	1810996462	5	30253	5278	1811010917	0	30258	685	1811015510	5	30253	9778	1811006417	8	30250	3630	1811012565	4	30254	1894	1811014301	20	30238	22974	1810993221	15	30243	18121	1810998074	15	30243	15241	1811000954	3.98005523218537	521.670637445059	521.670637445059	0	0
chr9	128946698	129007096	+	NUP188	9	43497	20	60378	19728	1810966327	2	60396	5281	1810980774	1	60397	684	1810985371	16	60382	9767	1810976288	1	60397	3637	1810982418	2	60396	1896	1810984159	23	60375	22971	1810963084	21	60377	18115	1810967940	18	60380	15238	1810970817	3.4673319524102	519.565825026482	519.565825026482	0	0
chr1	28368739	28500364	+	PHACTR4	1	1504	27	131598	19721	1810895107	5	131620	5278	1810909550	1	131624	684	1810914144	18	131607	9765	1810905063	3	131622	3635	1810911193	6	131619	1892	1810912936	27	131598	22967	1810891861	16	131609	18120	1810896708	28	131597	15228	1810899600	2.91926927190943	516.8146551596	516.8146551596	0	0
chr17	42457887	42521291	+	ATP6V0A1	17	72975	17	63387	19731	1810963318	6	63398	5277	1810977772	0	63404	685	1810982364	11	63393	9772	1810973277	5	63399	3633	1810979416	2	63402	1896	1810981153	28	63376	22966	1810960083	18	63386	18118	1810964931	17	63387	15239	1810967810	3.4187473884175	509.784891184885	509.784891184885	0	0
chr9	137618012	137764757	+	EHMT1	9	44101	27	146718	19721	1810879987	11	146734	5272	1810894436	4	146741	681	1810899027	12	146733	9771	1810889937	3	146742	3635	1810896073	4	146741	1894	1810897814	28	146717	22966	1810876742	24	146721	18112	1810881596	21	146724	15235	1810884473	2.83318281146344	506.878921198659	506.878921198659	0	0
chr11	65260961	65298685	+	POLA2	11	50401	21	37703	19727	1810989002	6	37718	5277	1811003452	2	37722	683	1811008046	9	37715	9774	1810998955	3	37721	3635	1811005094	0	37724	1898	1811006831	22	37702	22972	1810985757	13	37711	18123	1810990606	14	37710	15242	1810993487	3.79337599463164	506.75168318348	506.75168318348	0	0
chr1	155764843	155858295	-	GON4L	1	5426	22	93430	19726	1810933275	4	93448	5279	1810947722	0	93452	685	1810952316	10	93442	9773	1810943228	4	93448	3634	1810949367	2	93450	1896	1810951105	35	93417	22959	1810930042	27	93425	18109	1810934892	12	93440	15244	1810937757	3.14007404660379	506.392253584229	506.392253584229	0	0
chr17	2059842	2304785	-	SMG6	17	70568	31	244912	19717	1810781793	11	244932	5272	1810796238	2	244941	683	1810800827	15	244928	9768	1810791742	5	244938	3633	1810797877	2	244941	1896	1810799614	38	244905	22956	1810778554	24	244919	18112	1810783398	32	244911	15224	1810786286	2.49836272572942	505.55187361408	505.55187361408	0	0
chr17	4004444	4144030	-	ZZEF1	17	70703	24	139562	19724	1810887143	5	139581	5278	1810901589	0	139586	685	1810906182	8	139578	9775	1810897092	6	139580	3632	1810903235	6	139580	1892	1810904975	27	139559	22967	1810883900	33	139553	18103	1810888764	22	139564	15234	1810891633	2.86053263913652	502.283301655203	502.283301655203	0	0
chr19	10653327	10685765	+	ILF3	19	78454	19	32419	19729	1810994286	6	32432	5277	1811008738	1	32437	684	1811013331	7	32431	9776	1811004239	6	32432	3632	1811010383	1	32437	1897	1811012118	21	32417	22973	1810991042	19	32419	18117	1810995898	6	32432	15250	1810998765	3.89888019552072	501.9879771946	501.9879771946	0	0
chrX	155065320	155148775	-	MTCP1	23	91555	11	83444	19737	1810943261	4	83451	5279	1810957719	2	83453	683	1810962315	12	83443	9771	1810953227	7	83448	3631	1810959367	5	83450	1893	1810961105	27	83428	22967	1810940031	23	83432	18113	1810944885	20	83435	15236	1810947762	3.2091215738476	499.25560175674	499.25560175674	0	0
chr3	51540579	51668667	+	RAD54L2	3	16449	25	128063	19723	1810898642	4	128084	5279	1810913086	0	128088	685	1810917680	15	128073	9768	1810908597	3	128085	3635	1810914730	4	128084	1894	1810916471	32	128056	22962	1810895403	16	128072	18120	1810900245	27	128061	15229	1810903136	2.90754215460202	494.300322646741	494.300322646741	0	0
chr17	48136937	48431219	-	SKAP1	17	73529	41	294241	19707	1810732464	8	294274	5275	1810746896	1	294281	684	1810751487	17	294265	9766	1810742405	3	294279	3635	1810748536	4	294278	1894	1810750277	35	294247	22959	1810729212	31	294251	18105	1810734066	27	294255	15229	1810736942	2.35770194999859	484.835106318351	484.835106318351	0	0
chr14	103385029	103503227	+	MARK3	14	62824	23	118175	19725	1810908530	6	118192	5277	1810922978	3	118195	682	1810927573	16	118182	9767	1810918488	2	118196	3636	1810924619	1	118197	1897	1810926358	34	118164	22960	1810905295	14	118184	18122	1810910133	20	118178	15236	1810913019	2.93067699345634	472.054958135821	472.054958135821	0	0
chr11	65260927	65326543	+	AP000944.5	11	50400	22	65594	19726	1810961111	7	65609	5276	1810975561	2	65614	683	1810980154	10	65606	9773	1810971064	3	65613	3635	1810977202	0	65616	1898	1810978939	25	65591	22969	1810957868	14	65602	18122	1810962715	16	65600	15240	1810965597	3.3351118982161	469.289110023994	469.289110023994	0	0
chr12	56520998	56589503	+	RBMS2	12	55400	14	68491	19734	1810958214	7	68498	5276	1810972672	0	68505	685	1810977263	10	68495	9773	1810968175	2	68503	3636	1810974312	1	68504	1897	1810976051	28	68477	22966	1810954982	21	68484	18115	1810959833	17	68488	15239	1810962709	3.30207656138156	467.661547305994	467.661547305994	0	0
